Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Шипуновская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24744	321	665	240	747	660	156	245	385	966	655	537	218	186	215	286	845	890	142	259	143	785	391	490	706	1068	881	627	935	166	681	754	2656	673	2077	2478	615									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24900	350	700	250	750	650	150	250	400	1000	650	500	200	200	200	300	850	850	150	250	150	800	400	500	700	1100	900	600	950	200	700	750	2700	700	2000	2500	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9416	127	281	118	266	277	77	102	188	344	335	207	102	90	114	100	280	292	69	124	84	280	157	148	232	457	415	270	354	80	229	304	839	275	745	802	252									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	739	12	16	9	28	20	3	2	18	40	12	3	17	3	22	4	33	32	5	8	4	42	16	25	9	8	32	7	22	2	22	39	45	21	31	120	7									
6	Число погашенных избирательных бюллетеней	14745	211	403	123	456	353	70	146	194	616	303	290	81	107	64	196	537	526	76	118	62	478	227	327	459	635	453	323	574	118	449	407	1816	404	1224	1578	341									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	739	12	16	9	28	20	3	2	18	40	12	3	17	3	22	4	33	32	5	8	4	42	16	25	9	8	32	7	22	2	22	39	45	21	31	120	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9411	127	281	118	266	277	77	102	188	344	335	207	102	90	114	100	280	291	69	124	84	280	157	148	232	456	414	270	354	80	229	304	838	275	744	802	252									
9	Число недействительных избирательных бюллетеней	288	1	17	4	8	5	1	4	10	15	8	9	2	5	5	4	4	7	2	4	2	11	4	9	7	17	18	11	8	1	5	9	23	5	11	24	8									
10	Число действительных избирательных бюллетеней	9862	138	280	123	286	292	79	100	196	369	339	201	117	88	131	100	309	316	72	128	86	311	169	164	234	447	428	266	368	81	246	334	860	291	764	898	251									
