Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
1	"Число избирателей, внесенных в список избирателей"	39649	613	131	74	1249	276	204	2263	1752	200	255	186	802	101	369	72	2385	2926	2455	741	2445	709	388	1012	1172	114	1411	325	309	281	899	140	157	1571	2889	1559	374	397	2052	549	1330	1215	382	433	310	172					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40000	640	140	75	1270	290	215	2250	1900	195	265	200	820	100	345	75	2415	2925	2425	715	2450	650	400	1030	1195	180	1460	340	330	285	920	150	170	1560	2925	1625	375	370	2100	550	1290	1220	300	420	285	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17511	335	57	33	541	136	131	1078	691	110	117	96	348	51	191	47	855	1260	866	315	999	289	164	478	508	57	758	121	154	101	416	63	84	825	1266	613	216	216	1046	232	552	511	209	164	112	99					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1111	32	19	8	22	6	0	69	46	8	5	0	18	2	15	1	29	44	144	54	37	6	12	43	21	5	24	2	14	8	46	7	0	48	39	26	12	8	52	29	41	30	6	44	28	1					
6	Число погашенных избирательных бюллетеней	21378	273	64	34	707	148	84	1103	1163	77	143	104	454	47	139	27	1531	1621	1415	346	1414	355	224	509	666	118	678	217	162	176	458	80	86	687	1620	986	147	146	1002	289	697	679	85	212	145	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1111	32	19	8	22	6	0	69	46	8	5	0	18	2	15	1	29	44	144	54	37	6	12	43	21	5	24	2	14	8	46	7	0	48	39	26	12	8	52	29	41	30	6	44	28	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17509	335	57	33	540	136	131	1078	691	110	117	96	348	51	191	47	855	1260	866	315	999	289	164	478	508	57	758	121	154	101	416	63	84	825	1265	613	216	216	1046	232	552	511	209	164	112	99					
9	Число недействительных избирательных бюллетеней	495	13	2	0	9	3	5	27	19	7	5	5	5	0	7	0	21	48	21	7	17	12	8	20	10	3	18	8	5	1	15	2	3	19	36	17	4	4	19	3	20	16	16	10	2	3					
10	Число действительных избирательных бюллетеней	18125	354	74	41	553	139	126	1120	718	111	117	91	361	53	199	48	863	1256	989	362	1019	283	168	501	519	59	764	115	163	108	447	68	81	854	1268	622	224	220	1079	258	573	525	199	198	138	97					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	287	6	0	0	11	3	0	25	21	0	0	3	8	0	2	0	12	20	14	4	12	3	0	6	12	4	12	3	11	3	5	3	1	17	16	8	0	6	12	4	7	6	0	3	1	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	273	6	0	0	11	3	0	25	21	0	0	3	8	0	2	0	12	20	12	4	12	2	0	6	12	4	12	3	11	2	5	2	1	17	14	5	0	4	12	4	7	6	0	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	293	3	2	3	3	3	2	11	7	4	0	1	5	3	1	2	15	11	9	23	5	30	1	5	2	2	5	1	0	2	2	3	2	47	9	5	1	3	3	6	20	7	2	2	16	4					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	2	0	0	0	0	0	0	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	4	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3251	47	16	6	80	9	32	217	111	18	31	10	55	12	35	9	151	177	163	55	153	42	16	87	69	12	277	23	61	12	63	9	10	282	206	91	34	54	147	54	102	102	48	32	14	17					
		17.46%	12.81%	21.05%	14.63%	14.23%	6.34%	24.43%	18.92%	15.06%	15.25%	25.41%	10.42%	15.03%	22.64%	16.99%	18.75%	17.08%	13.57%	16.14%	14.91%	14.77%	14.24%	9.09%	16.70%	13.04%	19.35%	35.42%	18.70%	36.31%	11.01%	13.64%	12.86%	11.90%	32.30%	15.80%	14.24%	14.91%	24.11%	13.39%	20.69%	17.20%	18.85%	22.33%	15.38%	10.00%	17.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3109	109	11	14	125	29	31	214	134	15	16	21	60	15	28	15	164	177	161	69	179	38	26	76	94	13	108	17	9	22	110	13	7	102	260	118	29	30	169	38	54	91	30	34	16	18					
		16.70%	29.70%	14.47%	34.15%	22.24%	20.42%	23.66%	18.66%	18.18%	12.71%	13.11%	21.88%	16.39%	28.30%	13.59%	31.25%	18.55%	13.57%	15.94%	18.70%	17.28%	12.88%	14.77%	14.59%	17.77%	20.97%	13.81%	13.82%	5.36%	20.18%	23.81%	18.57%	8.33%	11.68%	19.94%	18.47%	12.72%	13.39%	15.39%	14.56%	9.11%	16.82%	13.95%	16.35%	11.43%	18.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	125	3	0	0	3	0	2	15	8	0	0	0	0	0	2	0	7	5	8	1	6	2	2	3	3	0	8	0	1	1	0	0	0	6	4	7	2	2	4	4	4	6	2	2	1	1					
		0.67%	0.82%	0.00%	0.00%	0.53%	0.00%	1.53%	1.31%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.79%	0.38%	0.79%	0.27%	0.58%	0.68%	1.14%	0.58%	0.57%	0.00%	1.02%	0.00%	0.60%	0.92%	0.00%	0.00%	0.00%	0.69%	0.31%	1.10%	0.88%	0.89%	0.36%	1.53%	0.67%	1.11%	0.93%	0.96%	0.71%	1.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4641	98	23	12	131	40	20	271	144	19	14	22	124	7	56	3	174	376	260	84	273	96	50	154	154	10	162	24	31	29	91	16	25	188	318	163	44	42	417	54	177	130	23	21	56	15					
		24.92%	26.70%	30.26%	29.27%	23.31%	28.17%	15.27%	23.63%	19.54%	16.10%	11.48%	22.92%	33.88%	13.21%	27.18%	6.25%	19.68%	28.83%	25.74%	22.76%	26.35%	32.54%	28.41%	29.56%	29.11%	16.13%	20.72%	19.51%	18.45%	26.61%	19.70%	22.86%	29.76%	21.53%	24.39%	25.51%	19.30%	18.75%	37.98%	20.69%	29.85%	24.03%	10.70%	10.10%	40.00%	15.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	400	0	0	0	10	1	1	17	12	1	2	0	5	0	2	0	12	39	15	10	31	10	1	2	4	1	20	1	0	4	8	0	0	18	35	33	1	26	31	14	7	9	4	5	1	7					
		2.15%	0.00%	0.00%	0.00%	1.78%	0.70%	0.76%	1.48%	1.63%	0.85%	1.64%	0.00%	1.37%	0.00%	0.97%	0.00%	1.36%	2.99%	1.49%	2.71%	2.99%	3.39%	0.57%	0.38%	0.76%	1.61%	2.56%	0.81%	0.00%	3.67%	1.73%	0.00%	0.00%	2.06%	2.68%	5.16%	0.44%	11.61%	2.82%	5.36%	1.18%	1.66%	1.86%	2.40%	0.71%	7.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6548	95	24	9	204	60	40	385	307	58	54	38	117	19	76	20	355	479	378	141	377	93	72	179	192	23	187	50	61	40	173	30	39	256	439	210	113	63	306	93	228	183	91	103	50	38					
		35.17%	25.89%	31.58%	21.95%	36.30%	42.25%	30.53%	33.57%	41.66%	49.15%	44.26%	39.58%	31.97%	35.85%	36.89%	41.67%	40.16%	36.73%	37.43%	38.21%	36.39%	31.53%	40.91%	34.36%	36.29%	37.10%	23.91%	40.65%	36.31%	36.70%	37.45%	42.86%	46.43%	29.32%	33.67%	32.86%	49.56%	28.13%	27.87%	35.63%	38.45%	33.83%	42.33%	49.52%	35.71%	38.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	3	4	2	0	2	1	0	3	0	2	0	0	0	2	0	0	2	6	0	1	3	5	1	1	4	1	1	0	1					
		0.27%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%	0.23%	0.40%	0.54%	0.00%	0.68%	0.57%	0.00%	0.57%	0.00%	0.26%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.23%	0.46%	0.00%	0.44%	1.34%	0.46%	0.38%	0.17%	0.74%	0.47%	0.48%	0.00%	1.00%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
