Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Мамадышская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909					
1	"Число избирателей, внесенных в список избирателей"	34040	342	545	272	243	269	515	398	143	173	99	111	539	875	281	584	380	1089	704	709	1005	463	156	123	497	451	1667	730	1610	1544	1288	1275	1479	1351	850	456	973	267	350	356	768	402	361	254	553	373	181	156	1505	578	404	361	323	304	273	565	108	992	417					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34712	348	555	270	252	274	517	406	146	176	102	115	550	880	285	592	383	1095	715	725	1025	465	160	126	580	453	1689	745	1625	1565	1330	1335	1485	1400	855	465	990	270	356	362	785	404	370	255	585	375	185	162	1530	587	417	366	325	324	280	565	110	995	425					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32731	302	529	256	243	265	508	392	140	170	92	111	538	859	279	581	380	1045	691	691	973	458	156	118	481	448	1412	696	1531	1452	1227	1228	1415	1309	832	454	953	261	344	350	752	400	356	244	485	351	179	150	1461	535	392	356	307	294	269	545	105	983	397					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	637	37	0	10	0	4	3	0	0	0	7	0	0	0	0	3	0	14	2	3	13	3	0	4	13	0	120	13	55	21	31	25	11	12	13	0	0	0	3	4	11	2	0	8	55	18	0	5	14	33	8	5	14	10	3	9	3	4	11					
6	Число погашенных избирательных бюллетеней	1344	9	26	4	9	5	6	14	6	6	3	4	12	21	6	8	3	36	22	31	39	4	4	4	86	5	157	36	39	92	72	82	59	79	10	11	37	9	9	8	22	2	14	3	45	6	6	7	55	19	17	5	4	20	8	11	2	8	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	637	37	0	10	0	4	3	0	0	0	7	0	0	0	0	3	0	14	2	3	13	3	0	4	13	0	120	13	55	21	31	25	11	12	13	0	0	0	3	4	11	2	0	8	55	18	0	5	14	33	8	5	14	10	3	9	3	4	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32731	302	529	256	243	265	508	392	140	170	92	111	538	859	279	581	380	1045	691	691	973	458	156	118	481	448	1412	696	1531	1452	1227	1228	1415	1309	832	454	953	261	344	350	752	400	356	244	485	351	179	150	1461	535	392	356	307	294	269	545	105	983	397					
9	Число недействительных избирательных бюллетеней	46	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	13	0	0	1	0	4	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0					
10	Число действительных избирательных бюллетеней	33322	339	529	265	242	268	511	392	140	170	99	111	538	859	276	584	380	1059	691	694	984	448	156	122	493	448	1528	709	1586	1473	1258	1253	1421	1313	845	454	953	261	347	354	763	402	356	252	540	369	179	153	1475	568	400	361	321	304	272	551	108	987	408					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	497	5	10	5	5	5	5	5	5	5	5	5	5	12	5	5	5	20	10	10	10	12	5	5	15	10	15	15	15	15	20	15	15	15	10	10	10	5	5	5	5	5	5	5	13	10	5	5	15	10	5	5	5	5	10	10	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	123	1	4	0	0	2	0	1	0	1	0	0	1	1	0	0	0	7	0	0	5	1	2	1	2	0	15	14	10	12	7	2	6	4	2	0	0	0	2	0	1	0	0	1	2	0	1	2	8	0	0	0	0	0	0	4	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	100	3	0	1	1	0	1	0	2	1	2	0	1	3	1	0	2	4	0	0	1	4	1	1	2	0	6	4	3	3	1	3	8	4	5	0	3	0	0	1	0	5	2	3	1	3	0	1	3	0	2	1	0	0	0	1	2	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	374	4	6	5	5	3	5	4	5	4	5	5	4	11	5	5	5	13	10	10	5	11	3	4	13	10	0	1	5	3	13	13	9	11	8	10	10	5	3	5	4	5	5	4	11	10	4	3	7	10	5	5	5	5	10	6	5	9	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	413	1	10	4	0	3	11	2	4	3	0	0	3	10	2	3	1	10	7	1	3	1	1	3	6	1	15	5	22	31	26	5	72	7	16	0	15	6	1	2	2	13	5	13	5	16	2	0	14	3	3	2	2	6	1	0	1	9	3					
		1.24%	0.29%	1.89%	1.50%	0.00%	1.12%	2.15%	0.51%	2.86%	1.76%	0.00%	0.00%	0.56%	1.16%	0.72%	0.51%	0.26%	0.94%	1.01%	0.14%	0.30%	0.22%	0.64%	2.46%	1.21%	0.22%	0.98%	0.71%	1.39%	2.10%	2.07%	0.40%	5.05%	0.53%	1.89%	0.00%	1.57%	2.30%	0.29%	0.56%	0.26%	3.23%	1.40%	5.16%	0.93%	4.34%	1.12%	0.00%	0.95%	0.53%	0.75%	0.55%	0.62%	1.97%	0.37%	0.00%	0.93%	0.91%	0.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	545	0	8	5	1	1	6	4	3	2	5	0	1	5	1	4	2	8	5	2	5	3	0	2	7	2	46	12	33	22	27	77	92	31	8	4	4	8	2	2	7	1	1	14	12	11	1	3	13	6	5	2	2	3	1	8	0	3	2					
		1.63%	0.00%	1.51%	1.88%	0.41%	0.37%	1.17%	1.02%	2.14%	1.18%	5.05%	0.00%	0.19%	0.58%	0.36%	0.68%	0.53%	0.76%	0.72%	0.29%	0.51%	0.65%	0.00%	1.64%	1.42%	0.45%	3.00%	1.69%	2.08%	1.49%	2.15%	6.15%	6.45%	2.35%	0.95%	0.88%	0.42%	3.07%	0.58%	0.56%	0.92%	0.25%	0.28%	5.56%	2.22%	2.98%	0.56%	1.94%	0.88%	1.06%	1.25%	0.55%	0.62%	0.99%	0.37%	1.44%	0.00%	0.30%	0.49%					
