Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Бурлинская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672					
1	"Число избирателей, внесенных в список избирателей"	10024	1780	879	1109	222	697	183	502	114	305	750	187	166	272	433	260	665	120	908	472					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9590	1600	800	1100	200	700	180	500	120	300	700	180	150	290	400	250	650	120	900	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5192	879	431	528	110	370	98	260	70	194	420	82	83	110	209	170	342	83	456	297					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	443	72	23	37	0	25	6	25	4	15	20	15	17	21	8	17	59	11	53	15					
6	Число погашенных избирательных бюллетеней	3955	649	346	535	90	305	76	215	46	91	260	83	50	159	183	63	249	26	391	138					
7	Число избирательных бюллетеней в переносных ящиках для голосования	443	72	23	37	0	25	6	25	4	15	20	15	17	21	8	17	59	11	53	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5192	879	431	528	110	370	98	260	70	194	420	82	83	110	209	170	342	83	456	297					
9	Число недействительных избирательных бюллетеней	156	29	4	10	5	20	2	8	1	1	19	2	5	1	9	6	5	0	13	16					
10	Число действительных избирательных бюллетеней	5479	922	450	555	105	375	102	277	73	208	421	95	95	130	208	181	396	94	496	296					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	120	31	8	15	2	6	2	5	1	3	7	2	1	3	4	2	10	1	8	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	100	30	8	14	2	2	2	5	0	0	6	0	1	1	4	0	7	1	8	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	5	2	7	2	2	2	4	1	1	1	2	3	4	2	4	6	3	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	20	1	0	1	0	4	0	0	1	3	1	2	0	2	0	2	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1192	263	119	150	23	101	16	55	5	24	77	16	22	27	46	24	74	5	86	59					
		21.15%	27.66%	26.21%	26.55%	20.91%	25.57%	15.38%	19.30%	6.76%	11.48%	17.50%	16.49%	22.00%	20.61%	21.20%	12.83%	18.45%	5.32%	16.90%	18.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	771	86	51	66	8	61	13	42	17	58	47	10	23	17	36	37	63	12	93	31					
		13.68%	9.04%	11.23%	11.68%	7.27%	15.44%	12.50%	14.74%	22.97%	27.75%	10.68%	10.31%	23.00%	12.98%	16.59%	19.79%	15.71%	12.77%	18.27%	9.94%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	5	1	3	3	2	1	4	2	0	1	3	0	2	0	1	7	0	3	1					
		0.69%	0.53%	0.22%	0.53%	2.73%	0.51%	0.96%	1.40%	2.70%	0.00%	0.23%	3.09%	0.00%	1.53%	0.00%	0.53%	1.75%	0.00%	0.59%	0.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1194	159	87	90	20	67	10	85	4	56	100	7	12	26	32	31	137	53	173	45					
		21.19%	16.72%	19.16%	15.93%	18.18%	16.96%	9.62%	29.82%	5.41%	26.79%	22.73%	7.22%	12.00%	19.85%	14.75%	16.58%	34.16%	56.38%	33.99%	14.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	37	6	5	3	2	2	0	1	2	1	4	0	0	1	0	0	0	2	4	4					
		0.66%	0.63%	1.10%	0.53%	1.82%	0.51%	0.00%	0.35%	2.70%	0.48%	0.91%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	2.13%	0.79%	1.28%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2227	400	185	242	48	139	61	89	42	68	190	59	38	56	94	87	115	22	136	156					
		39.52%	42.06%	40.75%	42.83%	43.64%	35.19%	58.65%	31.23%	56.76%	32.54%	43.18%	60.82%	38.00%	42.75%	43.32%	46.52%	28.68%	23.40%	26.72%	50.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	3	2	1	1	3	1	1	1	1	2	0	0	1	0	1	0	0	1	0					
		0.34%	0.32%	0.44%	0.18%	0.91%	0.76%	0.96%	0.35%	1.35%	0.48%	0.45%	0.00%	0.00%	0.76%	0.00%	0.53%	0.00%	0.00%	0.20%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
