Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Чунская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28177	1135	1498	896	978	1309	1283	1448	1279	1201	931	320	1079	1362	1039	785	212	910	827	753	1077	372	265	1112	312	170	484	412	482	544	517	326	1386	187	464	366	132	124	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26600	1000	1400	900	900	1300	1200	1400	1200	1100	900	300	1000	1300	1000	800	200	900	800	700	1000	350	250	1000	300	150	450	400	450	500	500	300	1300	150	450	350	100	100	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8361	240	484	303	295	468	424	429	372	380	278	107	321	412	325	256	57	247	173	156	305	66	42	301	89	70	92	117	128	182	219	126	403	70	106	129	33	51	105									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1032	6	17	9	14	24	21	23	0	28	2	14	44	41	21	21	2	40	48	63	60	31	15	53	21	28	25	35	62	42	40	13	51	6	72	15	14	7	4									
6	Число погашенных избирательных бюллетеней	17186	754	899	588	591	808	755	948	828	692	620	179	635	847	654	523	141	613	579	481	635	253	193	646	190	52	333	248	260	276	241	161	846	74	272	185	53	42	91									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1053	6	17	9	14	24	21	23	0	28	2	14	44	41	21	21	2	40	48	63	60	31	15	53	21	28	25	35	62	42	40	13	51	6	72	36	14	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8361	240	484	303	295	468	424	429	372	380	278	107	321	412	325	256	57	247	173	156	305	66	42	301	89	70	92	117	128	182	219	126	403	70	106	129	33	51	105									
9	Число недействительных избирательных бюллетеней	170	7	7	2	9	6	7	6	4	3	4	4	8	13	3	5	2	9	2	1	6	2	3	6	1	1	1	2	2	5	12	6	10	1	2	4	1	2	1									
10	Число действительных избирательных бюллетеней	9244	239	494	310	300	486	438	446	368	405	276	117	357	440	343	272	57	278	219	218	359	95	54	348	109	97	116	150	188	219	247	133	444	75	176	161	46	56	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	715	20	30	20	20	30	30	30	30	30	20	10	20	30	20	20	15	20	20	15	30	10	10	20	10	25	15	10	15	15	15	15	20	10	20	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	196	6	9	20	3	16	14	7	3	6	6	0	3	8	8	2	0	4	3	1	1	1	1	0	0	25	0	5	13	14	2	1	3	3	2	4	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	110	2	2	7	2	3	11	10	5	4	4	2	2	1	2	1	1	1	2	1	3	2	4	1	1	3	2	8	4	2	1	2	3	2	3	3	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	519	14	21	0	17	14	16	23	27	24	14	10	17	22	12	18	15	16	17	14	29	9	9	20	10	0	15	5	2	1	13	14	17	7	18	11	9	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	1	0	0	0	2	0	4	1	0	2	0	5	4	3	0	2	1	3	0	3	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	91	0	5	5	6	6	6	1	6	3	2	0	2	4	0	2	2	7	2	1	1	1	0	4	0	1	0	2	3	5	1	2	4	1	1	2	0	2	1									
		0.97%	0.00%	0.99%	1.60%	1.94%	1.22%	1.35%	0.22%	1.61%	0.74%	0.71%	0.00%	0.55%	0.88%	0.00%	0.72%	3.39%	2.44%	0.90%	0.46%	0.27%	1.03%	0.00%	1.13%	0.00%	1.02%	0.00%	1.32%	1.58%	2.23%	0.39%	1.44%	0.88%	1.32%	0.56%	1.21%	0.00%	3.45%	0.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	401	11	24	15	19	10	19	20	11	19	18	5	18	20	15	15	2	15	8	3	23	2	0	9	5	7	4	11	7	8	7	8	9	9	8	8	3	0	6									
		4.26%	4.47%	4.79%	4.81%	6.15%	2.03%	4.27%	4.42%	2.96%	4.66%	6.43%	4.13%	4.93%	4.42%	4.34%	5.42%	3.39%	5.23%	3.62%	1.37%	6.30%	2.06%	0.00%	2.54%	4.55%	7.14%	3.42%	7.24%	3.68%	3.57%	2.70%	5.76%	1.98%	11.84%	4.49%	4.85%	6.38%	0.00%	5.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	176	2	11	4	11	8	13	16	4	5	6	1	4	11	7	3	0	4	3	3	12	4	1	6	1	3	5	2	2	3	4	1	9	0	4	2	0	0	1									
		1.87%	0.81%	2.20%	1.28%	3.56%	1.63%	2.92%	3.54%	1.08%	1.23%	2.14%	0.83%	1.10%	2.43%	2.02%	1.08%	0.00%	1.39%	1.36%	1.37%	3.29%	4.12%	1.75%	1.69%	0.91%	3.06%	4.27%	1.32%	1.05%	1.34%	1.54%	0.72%	1.98%	0.00%	2.25%	1.21%	0.00%	0.00%	0.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3129	63	161	85	82	136	112	120	93	107	82	50	123	166	121	89	28	83	72	73	102	40	25	133	42	38	56	47	70	108	104	71	149	37	70	66	24	39	62									
		33.24%	25.61%	32.14%	27.24%	26.54%	27.64%	25.17%	26.55%	25.00%	26.23%	29.29%	41.32%	33.70%	36.64%	34.97%	32.13%	47.46%	28.92%	32.58%	33.33%	27.95%	41.24%	43.86%	37.57%	38.18%	38.78%	47.86%	30.92%	36.84%	48.21%	40.15%	51.08%	32.82%	48.68%	39.33%	40.00%	51.06%	67.24%	56.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	2	3	1	1	5	2	4	0	2	0	0	1	2	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	0	0									
