Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Бавлинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10161	1003	330	818	122	364	376	271	817	598	805	368	619	393	262	274	118	640	153	594	412	228	596									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10500	1033	330	845	123	384	393	287	848	599	806	386	646	396	274	286	125	663	161	618	431	241	625									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9179	932	314	675	104	353	321	233	695	548	654	267	588	372	253	266	113	616	149	556	378	216	576									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	677	48	0	126	18	5	44	32	104	10	80	91	20	4	3	6	5	11	0	29	25	8	8									
6	Число погашенных избирательных бюллетеней	644	53	16	44	1	26	28	22	49	41	72	28	38	20	18	14	7	36	12	33	28	17	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	677	48	0	126	18	5	44	32	104	10	80	91	20	4	3	6	5	11	0	29	25	8	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9178	932	314	675	104	353	321	233	695	548	654	266	588	372	253	266	113	616	149	556	378	216	576									
9	Число недействительных избирательных бюллетеней	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2									
10	Число действительных избирательных бюллетеней	9844	980	314	794	122	358	365	265	799	558	734	357	608	376	256	271	118	627	148	585	403	224	582									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	342	28	9	25	5	15	15	10	25	20	25	15	20	15	10	10	5	20	5	20	15	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	342	28	9	25	5	15	15	10	25	20	25	15	20	15	10	10	5	20	5	20	15	10	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	1	2	3	8	0	2	1	2	2	2	4	20	0	0	2	2	2	0	0	4	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	12	0	1	1	1	1	0	1	1	1	3	1	1	0	0	0	1	1	2	1	1	1									
		0.31%	1.22%	0.00%	0.12%	0.82%	0.28%	0.27%	0.00%	0.13%	0.18%	0.14%	0.84%	0.16%	0.27%	0.00%	0.00%	0.00%	0.16%	0.67%	0.34%	0.25%	0.45%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	77	16	0	1	3	1	1	5	1	2	1	3	1	17	6	5	1	1	1	2	3	0	6									
		0.78%	1.63%	0.00%	0.12%	2.46%	0.28%	0.27%	1.89%	0.13%	0.36%	0.14%	0.84%	0.16%	4.52%	2.34%	1.84%	0.85%	0.16%	0.67%	0.34%	0.74%	0.00%	1.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	0	0	1	0	1	1	0	1	2	2	1	1	1	2	0	0	1	2	3	0	0	2									
		0.21%	0.00%	0.00%	0.12%	0.00%	0.28%	0.27%	0.00%	0.13%	0.36%	0.27%	0.28%	0.16%	0.27%	0.78%	0.00%	0.00%	0.16%	1.34%	0.51%	0.00%	0.00%	0.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9160	868	299	755	112	342	354	236	776	535	673	336	575	330	242	240	107	596	124	526	383	215	536									
		92.95%	88.57%	95.22%	94.26%	91.80%	95.53%	96.99%	89.06%	97.12%	95.88%	91.69%	94.12%	94.57%	87.77%	94.53%	88.24%	90.68%	95.06%	83.22%	89.91%	95.04%	95.98%	91.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0									
		0.04%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.25%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	194	18	8	8	1	3	2	13	4	7	31	9	12	9	3	7	1	11	13	9	3	4	18									
		1.97%	1.84%	2.55%	0.99%	0.82%	0.84%	0.55%	4.91%	0.50%	1.25%	4.22%	2.52%	1.97%	2.39%	1.17%	2.57%	0.85%	1.75%	8.72%	1.54%	0.74%	1.79%	3.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	0	1	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0									
		0.10%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	1.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.03%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0									
		0.05%	0.00%	0.00%	0.12%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.17%	0.25%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	0	0	0	0	1	0	1	0	1	0	0	1	0	0	3	0	1	1	2	1	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.38%	0.00%	0.18%	0.00%	0.00%	0.16%	0.00%	0.00%	1.10%	0.00%	0.16%	0.67%	0.34%	0.25%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	264	49	7	25	2	5	4	5	15	9	22	4	9	11	2	14	8	16	3	32	3	2	17									
		2.68%	5.00%	2.23%	3.12%	1.64%	1.40%	1.10%	1.89%	1.88%	1.61%	2.99%	1.12%	1.48%	2.93%	0.78%	5.15%	6.78%	2.55%	2.01%	5.47%	0.74%	0.89%	2.91%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0									
		0.07%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.85%	0.00%	0.00%	0.17%	0.50%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	53	17	0	0	0	3	2	0	1	1	4	1	8	1	0	0	0	0	2	7	2	2	2									
		0.54%	1.73%	0.00%	0.00%	0.00%	0.84%	0.55%	0.00%	0.13%	0.18%	0.54%	0.28%	1.32%	0.27%	0.00%	0.00%	0.00%	0.00%	1.34%	1.20%	0.50%	0.89%	0.34%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
