Выборы Президента Российской Федерации																																																																																
Дата голосования: 02.03.2008																																																																																
																																																																																
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
	Число участковых избирательных комиссий	73																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																														
																																																																																
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799					
1	"Число избирателей, включенных в списки избирателей"	140934	582	2772	2811	2351	2125	2319	2516	2706	1752	2069	2250	2462	2327	2559	2237	2121	2438	2409	2801	2769	2252	2566	1290	1485	2583	1931	2079	2261	2444	1345	1694	1998	2273	2452	1636	1086	2524	1332	1576	2427	1759	2025	2427	2111	392	1721	2311	1967	1736	2686	2598	2769	2752	2570	2393	2434	2365	2640	2485	2110	2486	2505	2366	837	200	311	334	416	131	319	520	207	441					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	128535	550	2500	2600	2200	1900	2200	2300	2500	1600	1900	2100	2300	2300	2500	1700	1900	2300	2300	2500	2300	2100	2400	1150	1400	2300	1800	1800	1900	2150	1100	1550	1800	2100	2300	1550	800	2300	1200	1400	2250	1600	1750	2350	2000	350	1500	2100	1800	1600	2400	2400	2500	2500	2300	2200	2200	2200	2400	2300	1950	2300	2300	2150	800	180	300	320	350	130	318	541	205	441					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	91707	392	1706	1915	1462	1403	1501	1535	1743	1159	1352	1544	1635	1525	1766	1592	1329	1596	1573	1804	1767	1454	1724	862	991	1626	1222	1289	1690	2108	655	1128	1656	1587	1649	1145	473	1683	580	848	1425	1059	1143	1525	1332	212	1017	1561	1214	1109	1738	1658	1798	1847	1718	1544	1611	1414	1553	1638	1358	1603	1564	1511	556	156	227	232	302	130	312	426	171	374					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2050	26	11	15	11	19	8	45	11	22	31	20	22	17	20	44	60	17	32	15	19	29	35	4	0	8	34	27	17	10	314	34	9	19	32	17	212	15	42	20	23	26	27	31	29	7	6	17	15	20	10	12	16	23	14	8	9	4	12	14	18	20	30	34	34	4	7	29	8	0	6	94	34	66					
6	Число погашенных избирательных бюллетеней	34778	132	783	670	727	478	691	720	746	419	517	536	643	758	714	64	511	687	695	681	514	617	641	284	409	666	544	484	193	32	131	388	135	494	619	388	115	602	578	532	802	515	580	794	639	131	477	522	571	471	652	730	686	630	568	648	580	782	835	648	574	677	706	605	210	20	66	59	40	0	0	21	0	1					
