Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945					
1	"Число избирателей, внесенных в список"	129781	598	2304	2555	2504	2567	2794	2728	2593	2119	1877	2328	2623	2422	2051	1960	2597	2314	2223	2159	2362	2574	1324	1214	2020	1995	2207	1964	1742	2164	2412	2420	1395	1572	1077	1848	1211	2183	2213	2695	2368	2220	2209	1607	2268	2422	2453	2513	2641	2573	2624	2529	2788	2720	2605	2451	2463	2261	753	192	387	298	436	102	296	470	205	468	551					
2	Число полученных избирательных бюллетеней	130340	600	2300	2600	2500	2600	2800	2700	2600	2100	1900	2400	2600	2500	2100	2000	2600	2400	2100	2000	2300	2600	1500	1200	2000	2100	2200	2000	1700	2200	2400	2400	2200	1500	1000	1800	1200	2200	2100	2700	2400	2200	2300	1600	2200	2400	2400	2500	2700	2500	2600	2500	2700	2700	2600	2300	2500	2300	800	200	400	300	350	150	300	480	210	500	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	83552	418	1440	1752	1652	1758	1910	1668	1539	1410	1163	1508	1653	1639	1345	1255	1732	1500	1442	1310	1481	1688	1016	830	1247	1248	1358	1281	1564	1436	1863	1661	1378	1043	472	1232	572	1160	1275	1480	1402	1262	1464	1025	1482	1545	1590	1543	1749	1675	1615	1552	1770	1673	1757	1533	1443	1378	403	122	198	217	324	71	268	409	127	102	474					
5	"Число избирательных бюллетеней, выданных вне помещения"	2125	35	8	12	22	17	9	20	44	17	18	25	22	29	42	41	29	28	23	15	25	28	2	0	36	37	16	19	6	30	7	7	17	10	293	8	44	19	30	18	28	38	15	6	8	3	4	24	16	13	20	14	12	8	12	22	38	54	27	8	10	48	0	24	28	60	76	326	75					
6	Число погашенных избирательных бюллетеней	44663	147	852	836	826	825	881	1012	1017	673	719	867	925	832	713	704	839	872	635	675	794	884	482	370	717	815	826	700	130	734	530	732	805	447	235	560	584	1021	795	1202	970	900	821	569	710	852	806	933	935	812	965	934	918	1019	831	745	1019	868	370	70	192	35	26	55	4	11	7	72	1					
7	Число избирательных бюллетеней в переносных ящиках	2125	35	8	12	22	17	9	20	44	17	18	25	22	29	42	41	29	28	23	15	25	28	2	0	36	37	16	19	6	30	7	7	17	10	293	8	44	19	30	18	28	38	15	6	8	3	4	24	16	13	20	14	12	8	12	22	38	54	27	8	10	48	0	24	28	60	76	326	75					
8	Число бюллетеней в стационарных ящиках для голосования	83523	418	1440	1749	1651	1758	1906	1666	1538	1409	1163	1508	1653	1639	1342	1255	1731	1500	1442	1310	1480	1688	1016	830	1247	1247	1358	1277	1563	1436	1863	1661	1378	1043	472	1231	572	1160	1275	1480	1402	1262	1464	1025	1482	1545	1590	1543	1748	1673	1615	1551	1770	1673	1757	1532	1443	1378	403	122	198	217	324	71	268	409	127	102	474					
9	Число недействительных избирательных бюллетеней	856	13	7	10	13	20	12	15	13	14	15	20	19	12	10	8	12	8	7	8	12	15	11	11	10	16	22	9	4	11	15	11	24	17	14	8	13	26	20	15	14	12	18	12	10	4	14	15	16	14	8	22	18	15	22	22	20	24	7	2	3	1	6	2	10	11	0	2	12					
10	Число действительных избирательных бюллетеней	84792	440	1441	1751	1660	1755	1903	1671	1569	1412	1166	1513	1656	1656	1374	1288	1748	1520	1458	1317	1493	1701	1007	819	1273	1268	1352	1287	1565	1455	1855	1657	1371	1036	751	1231	603	1153	1285	1483	1416	1288	1461	1019	1480	1544	1580	1552	1748	1672	1627	1543	1764	1666	1747	1532	1461	1408	423	128	205	264	318	93	286	458	203	426	537					
11	Число полученных открепительных  удостоверений	4600	20	80	85	80	85	85	85	75	80	70	100	100	100	90	90	100	80	100	80	65	95	80	80	100	70	150	100	150	100	120	120	50	70	40	60	40	50	50	80	80	55	70	70	80	50	60	60	60	100	80	80	60	60	80	80	70	70	15	15	15	15	20	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	2777	17	67	62	58	45	53	55	63	53	40	60	56	53	51	43	64	54	75	50	36	66	37	41	53	46	64	64	122	51	87	61	42	19	16	27	14	26	33	71	48	25	58	26	34	41	42	26	51	55	64	43	38	31	49	50	29	36	9	2	9	3	13	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3430	14	15	26	32	31	21	27	26	22	13	13	17	23	59	30	53	21	28	22	19	17	29	22	20	22	28	52	40	22	29	19	36	8	255	21	8	10	22	26	19	12	21	25	32	23	19	10	30	42	19	14	16	19	22	26	16	20	3	2	2	0	99	61	281	410	178	262	549					
14	Число неиспользованных открепительных удостоверений	1823	3	13	23	22	40	32	30	12	27	30	40	44	47	39	47	36	26	25	30	29	29	43	39	47	24	86	36	28	49	33	59	8	51	24	33	26	24	17	9	32	30	12	44	46	9	18	34	9	45	16	37	22	29	31	30	41	34	6	13	6	12	7	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	109	0	1	2	4	2	2	1	0	2	2	3	1	2	0	1	0	0	3	1	2	2	1	0	1	1	2	2	0	5	1	0	4	1	1	3	3	6	2	3	1	3	1	2	0	5	3	4	1	4	0	1	2	2	5	3	1	1	1	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	3744	9	69	80	85	79	127	82	67	85	59	72	95	83	69	87	104	87	59	76	61	84	31	29	58	56	42	32	38	45	59	140	66	62	18	76	30	51	48	50	50	32	78	36	65	51	66	64	89	69	69	73	72	72	69	36	50	58	10	2	6	6	17	2	16	13	1	6	16					
		4.37%	1.99%	4.77%	4.54%	5.08%	4.45%	6.63%	4.86%	4.24%	5.96%	5.00%	4.70%	5.67%	4.98%	4.99%	6.71%	5.91%	5.69%	4.03%	5.74%	4.05%	4.90%	3.05%	3.49%	4.52%	4.36%	3.06%	2.47%	2.42%	3.07%	3.16%	8.39%	4.73%	5.89%	2.35%	6.13%	4.87%	4.33%	3.68%	3.34%	3.50%	2.46%	5.27%	3.49%	4.36%	3.29%	4.14%	4.08%	5.05%	4.09%	4.22%	4.66%	4.04%	4.28%	3.90%	2.32%	3.38%	4.05%	2.33%	1.54%	2.88%	2.26%	5.25%	2.11%	5.41%	2.77%	0.49%	1.40%	2.91%					
19	. Малышкин Олег Александрович	1327	6	25	23	21	23	30	30	28	15	16	24	15	35	19	27	34	14	23	17	22	21	15	11	18	18	25	14	20	25	18	15	18	12	33	14	8	26	19	25	18	28	27	18	36	15	28	29	30	17	19	26	32	34	34	20	25	34	15	1	2	6	6	0	7	4	6	3	5					
