Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Аларская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48					
1	"Число избирателей, внесенных в список избирателей"	19994	997	125	171	115	490	105	638	95	77	460	120	91	760	328	76	1275	114	139	250	553	530	160	339	116	234	543	237	2235	723	2043	1149	117	224	324	112	168	119	423	175	498	151	256	118	639	124	528	224	506					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19395	1000	100	160	100	480	100	650	100	70	450	100	90	750	300	75	1250	110	150	250	550	550	160	330	100	240	530	230	2170	660	2000	1000	110	200	300	110	160	110	400	170	500	150	250	120	650	120	540	200	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10746	579	90	89	74	259	56	271	35	29	325	77	63	459	173	39	497	59	82	87	229	298	97	152	60	179	343	150	1855	232	901	446	63	97	170	61	95	64	244	76	268	116	192	86	233	56	250	140	250					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1361	30	0	38	5	31	14	70	27	5	14	9	4	111	15	5	43	14	9	52	18	28	22	19	2	14	28	11	296	61	33	18	1	15	6	4	12	20	31	31	50	10	11	4	46	15	22	10	27					
6	Число погашенных избирательных бюллетеней	7288	391	10	33	21	190	30	309	38	36	111	14	23	180	112	31	710	37	59	111	303	224	41	159	38	47	159	69	19	367	1066	536	46	88	124	45	53	26	125	63	182	24	47	30	371	49	268	50	223					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1361	30	0	38	5	31	14	70	27	5	14	9	4	111	15	5	43	14	9	52	18	28	22	19	2	14	28	11	296	61	33	18	1	15	6	4	12	20	31	31	50	10	11	4	46	15	22	10	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10745	579	90	89	74	259	56	271	34	29	325	77	63	459	173	39	497	59	82	87	229	298	97	152	60	179	343	150	1855	232	901	446	63	97	170	61	95	64	244	76	268	116	192	86	233	56	250	140	250					
9	Число недействительных избирательных бюллетеней	163	3	0	0	0	0	1	4	3	0	2	0	0	4	2	1	5	1	0	0	6	2	0	1	1	1	6	2	64	7	9	6	1	1	2	3	3	0	2	2	1	2	0	1	3	0	3	3	5					
10	Число действительных избирательных бюллетеней	11943	606	90	127	79	290	69	337	58	34	337	86	67	566	186	43	535	72	91	139	241	324	119	170	61	192	365	159	2087	286	925	458	63	111	174	62	104	84	273	105	317	124	203	89	276	71	269	147	272					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	8	3	3	1	6	3	6	3	3	7	3	0	6	6	3	2	3	6	3	6	6	3	3	3	3	3	3	76	8	39	12	0	3	6	0	3	3	6	3	0	0	3	3	6	3	6	3	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	263	8	3	3	1	6	2	6	0	0	7	3	0	6	4	0	2	3	6	3	0	6	3	0	3	3	3	3	76	6	36	12	0	0	6	0	2	3	6	2	0	0	3	3	6	3	6	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	141	1	1	1	0	1	1	1	0	1	0	0	0	3	2	0	7	1	0	2	3	5	1	0	1	1	1	1	70	5	6	3	0	0	4	0	0	1	1	3	3	0	1	1	4	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	31	0	0	0	0	0	1	0	3	3	0	0	0	0	2	3	0	0	0	0	6	0	0	3	0	0	0	0	0	2	3	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
