Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Ногайская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170					
1	"Число избирателей, внесенных в список избирателей"	10378	2162	1610	1021	2848	164	1457	133	983					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10500	2237	1635	1023	2861	165	1467	136	976					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8907	1896	1446	917	2198	137	1296	106	911					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	470	29	35	12	360	11	6	13	4					
6	Число погашенных избирательных бюллетеней	1123	312	154	94	303	17	165	17	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	470	29	35	12	360	11	6	13	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8907	1896	1446	917	2198	137	1296	106	911					
9	Число недействительных избирательных бюллетеней	9	0	0	0	0	0	9	0	0					
10	Число действительных избирательных бюллетеней	9368	1925	1481	929	2558	148	1293	119	915					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	43	9	6	5	9	2	5	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	1	1	1	0	2	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	42	9	5	5	9	2	5	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	100	51	8	5	20	1	9	1	5					
		1.07%	2.65%	0.54%	0.54%	0.78%	0.68%	0.69%	0.84%	0.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	19	7	6	0	1	1	1	1	2					
		0.20%	0.36%	0.41%	0.00%	0.04%	0.68%	0.08%	0.84%	0.22%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	3	14	1	5	0	2	1	3					
		0.31%	0.16%	0.95%	0.11%	0.20%	0.00%	0.15%	0.84%	0.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1582	327	245	150	492	67	105	50	146					
		16.87%	16.99%	16.54%	16.15%	19.23%	45.27%	8.06%	42.02%	15.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	3	2	1	20	0	2	0	14					
		0.45%	0.16%	0.14%	0.11%	0.78%	0.00%	0.15%	0.00%	1.53%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7573	1525	1203	770	2014	79	1172	66	744					
		80.76%	79.22%	81.23%	82.88%	78.73%	53.38%	90.02%	55.46%	81.31%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	9	3	2	6	0	2	0	1					
		0.25%	0.47%	0.20%	0.22%	0.23%	0.00%	0.15%	0.00%	0.11%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
