Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Атнинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017					
1	"Число избирателей, внесенных в списки"	10208	2090	215	376	670	464	192	334	140	379	659	629	333	283	354	261	134	345	223	666	160	517	149	195	196	244					
2	"Число бюллетеней, полученных участковыми комиссиями"	10305	2122	216	378	671	463	196	335	144	376	664	634	337	285	357	265	136	347	226	669	160	523	153	200	200	248					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9276	1913	213	332	653	440	161	282	134	345	602	517	275	224	354	243	124	331	207	586	155	481	149	161	170	224					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	917	171	2	44	17	23	31	52	6	31	57	112	57	56	0	18	10	14	16	79	5	36	0	34	26	20					
6	Число погашенных бюллетеней	112	38	1	2	1	0	4	1	4	0	5	5	5	5	3	4	2	2	3	4	0	6	4	5	4	4					
7	Число бюллетеней в переносных ящиках для голосования	917	171	2	44	17	23	31	52	6	31	57	112	57	56	0	18	10	14	16	79	5	36	0	34	26	20					
8	Число бюллетеней в стационарных ящиках для голосования	9276	1913	213	332	653	440	161	282	134	345	602	517	275	224	354	243	124	331	207	586	155	481	149	161	170	224					
9	Число недействительных бюллетеней	60	4	1	25	0	0	0	9	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	10133	2080	214	351	670	463	192	325	140	376	659	609	332	280	354	261	133	345	223	665	160	517	149	195	196	244					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	40	4	7	13	8	4	6	4	7	13	13	6	6	7	5	4	7	4	13	3	10	3	4	4	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	65	35	0	1	2	0	2	1	0	4	2	2	4	0	2	2	0	0	0	1	0	2	1	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	13	2	1	2	3	0	2	0	2	3	2	1	0	1	0	0	0	0	1	2	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	135	5	4	6	11	8	2	5	4	3	11	11	2	6	5	3	4	7	4	12	3	8	2	4	2	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	29	26	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.28%	1.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	13	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.12%	0.47%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	27	23	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0					
		0.26%	1.10%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	11	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	2	0	0	0	0	0	2					
		0.10%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.84%	0.0%	0.74%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%					
28	"11. ""Истинные патриоты России"""	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
