Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Белокалитвинская районная																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №131	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
1	"Число избирателей, внесенных в списки избирателей"	87155	1995	2067	1448	2603	1405	1127	2103	1931	1762	1844	1617	1739	1666	1708	1847	1937	2607	1826	673	555	952	1565	1342	1450	611	253	186	1428	1302	1318	698	605	669	204	2631	2367	2076	1788	1744	1724	2122	1911	652	121	962	505	225	581	1675	1611	513	661	818	367	743	1845	805	394	443	492	949	80	899	400	622	1077	1051	478	819	163	1928	234	217	1124	295					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79508	1873	1863	1263	2303	1204	978	1754	1720	1592	1622	1462	1535	1522	1540	1696	1735	2388	1640	636	528	932	1428	1232	1307	555	234	176	1306	1186	1193	642	559	613	193	2416	2173	1895	1636	1626	1548	1980	1706	608	126	884	457	196	533	1525	1510	478	643	817	364	697	1694	740	369	425	447	864	77	827	363	556	1002	1002	442	747	154	1831	220	210	1030	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47478	1028	963	557	1248	762	554	928	1049	1056	1153	999	1060	1087	874	1041	1169	1477	934	359	297	485	747	677	632	301	178	130	611	540	696	430	312	319	146	1207	1178	1079	930	932	915	1095	1124	375	80	634	320	157	327	957	1043	251	369	506	228	483	920	559	255	332	336	623	56	541	295	444	639	544	317	601	110	893	170	172	521	161					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4508	41	40	71	159	44	34	186	46	28	44	63	91	62	15	22	27	62	55	51	16	72	25	42	84	42	27	21	61	69	60	68	35	51	17	143	212	189	55	68	87	110	22	100	32	107	38	19	52	119	76	53	77	61	21	31	58	63	67	29	53	87	7	108	6	26	80	97	37	30	14	99	26	8	87	23					
6	Число погашенных избирательных бюллетеней	27522	804	860	635	896	398	390	640	625	508	425	400	384	373	651	633	539	849	651	226	215	375	656	513	591	212	29	25	634	577	437	144	212	243	30	1066	783	627	651	626	546	775	560	133	14	143	99	20	154	449	391	174	197	250	115	183	716	118	47	64	58	154	14	178	62	86	283	361	88	116	30	839	24	30	422	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4508	41	40	71	159	44	34	186	46	28	44	63	91	62	15	22	27	62	55	51	16	72	25	42	84	42	27	21	61	69	60	68	35	51	17	143	212	189	55	68	87	110	22	100	32	107	38	19	52	119	76	53	77	61	21	31	58	63	67	29	53	87	7	108	6	26	80	97	37	30	14	99	26	8	87	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47471	1028	962	557	1248	762	554	928	1049	1056	1153	999	1060	1087	874	1041	1169	1477	934	359	297	485	747	677	632	301	178	130	611	540	696	430	312	319	146	1207	1178	1079	926	932	915	1095	1124	375	80	634	320	157	327	956	1043	251	369	506	228	483	920	559	255	332	336	622	56	541	295	444	639	544	317	601	110	893	170	172	521	161					
9	Число недействительных избирательных бюллетеней	326	2	11	6	6	18	1	6	7	8	9	4	5	4	5	10	66	6	0	4	6	2	2	2	5	2	1	0	6	6	4	0	2	0	2	8	4	4	11	5	9	7	6	1	1	1	4	0	1	7	0	1	4	3	0	6	4	0	1	2	6	1	0	0	3	0	3	0	0	0	0	3	0	1	1	0					
10	Число действительных избирательных бюллетеней	51653	1067	991	622	1401	788	587	1108	1088	1076	1188	1058	1146	1145	884	1053	1130	1533	989	406	307	555	770	717	711	341	204	151	666	603	752	498	345	370	161	1342	1386	1264	970	995	993	1198	1140	474	111	740	354	176	378	1068	1119	303	442	564	249	508	974	622	321	359	383	708	63	649	298	470	716	641	354	631	124	989	196	179	607	184					
