Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Эвено-Бытантайская №34										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №696	УИК №697	УИК №698					
1	"Число избирателей, внесенных в списки"	1665	169	1084	412					
2	"Число бюллетеней, полученных участковыми комиссиями"	1800	200	1150	450					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	112	27	46	39					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1066	123	636	307					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	153	6	115	32					
6	Число погашенных бюллетеней	469	44	353	72					
7	Число бюллетеней в переносных ящиках для голосования	265	33	161	71					
8	Число бюллетеней в стационарных ящиках для голосования	1066	123	636	307					
9	Число недействительных бюллетеней	29	2	21	6					
10	Число действительных бюллетеней	1302	154	776	372					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	20	35	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	11	25	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	3	18	4					
14	Число погашенных открепительных удостоверений	47	9	10	28					
15	Число открепительных удостоверений выданных ТИК	5	1	4	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	83	6	39	38					
		6.23%	3.84%	4.89%	10.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	83	8	53	22					
		6.23%	5.12%	6.64%	5.82%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	44	6	23	15					
		3.30%	3.84%	2.88%	3.96%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2	0	2	0					
		0.15%	0.0%	0.25%	0.0%					
22	"5. ""За Русь Святую"""	2	0	1	1					
		0.15%	0.0%	0.12%	0.26%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	2	1	1					
		0.30%	1.28%	0.12%	0.26%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	1	3	0					
		0.30%	0.64%	0.37%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	0	0	1					
		0.07%	0.0%	0.0%	0.26%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	1	1	0					
		0.15%	0.64%	0.12%	0.0%					
27	"10. ""Аграрная партия России"""	16	4	7	5					
		1.20%	2.56%	0.87%	1.32%					
28	"11. ""Истинные патриоты России"""	3	0	1	2					
		0.22%	0.0%	0.12%	0.52%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	3	0	3	0					
		0.22%	0.0%	0.37%	0.0%					
30	"13. ""Демократическая партия России"""	3	0	3	0					
		0.22%	0.0%	0.37%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	0	2	0					
		0.15%	0.0%	0.25%	0.0%					
32	"15. ""Партия СЛОН"""	2	2	0	0					
		0.15%	1.28%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	120	26	72	22					
		9.01%	16.66%	9.03%	5.82%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	4	3	5					
		0.90%	2.56%	0.37%	1.32%					
35	"18. ""ЛДПР"""	24	1	12	11					
		1.80%	0.64%	1.50%	2.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	13	1	8	4					
		0.97%	0.64%	1.00%	1.05%					
37	"20. ""Политическая партия ""Единая Россия"""	695	81	407	207					
		52.21%	51.92%	51.06%	54.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	0	0	2					
		0.15%	0.0%	0.0%	0.52%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	152	10	112	30					
		11.41%	6.41%	14.05%	7.93%					
										
41	Против всех	30	1	23	6					
		2.25%	0.64%	2.88%	1.58%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
