Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
1	"Число избирателей, внесенных в список"	162394	2155	688	1494	2676	2689	1327	951	874	2389	2541	2625	2046	2296	577	2357	2572	2358	2646	2842	1336	2656	2524	2767	2207	2757	2685	2542	2927	2280	2906	2237	2692	2796	2591	2281	2204	2995	2948	2312	2049	1547	911	1034	2107	799	2009	1424	1437	1169	2081	2272	2126	2027	2456	1368	2337	1168	1825	1856	1603	2606	1853	2726	1998	1772	2816	2186	1728	2187	696	2035	1894	1915	1246	1890	233	2425	1385	1480	112	223	48	40	172	50	60	1328	335	206	139	87	36	90	46					
2	Число полученных избирательных бюллетеней	154177	2072	639	1424	2442	2560	1255	887	838	2253	2359	2482	1931	2178	550	2256	2831	2239	2515	2703	1260	2513	2396	2656	2092	2621	2535	2414	2774	2180	2766	2200	2526	2610	2455	2172	2065	2787	2797	2212	1934	1454	860	1010	2000	745	1860	1350	1360	1120	1980	2252	2020	1920	2365	1290	2080	1160	1736	1750	1530	2480	1775	2606	1897	1468	2630	1910	1640	2093	670	1990	1810	1814	1160	1794	230	2300	1313	1408	122	220	49	40	150	50	60	1260	400	210	135	85	37	100	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	84308	1062	282	790	1207	1539	678	333	425	1105	1351	1437	1021	1051	295	1014	1357	1242	1369	1417	655	1176	1353	1431	1148	1391	1403	1207	1529	1125	1465	1180	1344	1388	1343	1162	1229	1554	1092	888	886	680	505	555	1173	381	1059	913	657	659	1279	1210	1119	1191	1450	870	1230	748	926	767	782	1474	1008	1502	1129	846	1671	1278	1016	1253	396	1251	981	866	480	1219	120	1295	605	707	112	197	43	40	146	50	60	567	329	203	135	83	34	88	46					
5	"Число избирательных бюллетеней, выданных вне помещения"	2900	58	12	29	38	38	57	45	11	36	42	17	19	64	25	75	13	36	22	44	36	49	14	19	11	22	7	10	8	17	16	12	9	8	6	17	13	11	13	50	132	93	30	30	26	30	117	19	43	23	49	35	38	33	34	28	6	12	31	5	51	21	33	31	44	0	33	9	13	11	18	50	49	21	48	10	106	12	42	37	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	66969	952	345	605	1197	983	520	509	402	1112	966	1028	891	1063	230	1167	1461	961	1124	1242	569	1288	1029	1206	933	1208	1125	1197	1237	1038	1285	1008	1173	1214	1106	993	823	1222	1692	1274	916	681	325	425	801	334	684	418	660	438	652	1007	863	696	881	392	844	400	779	978	697	985	734	1073	724	622	926	623	611	829	256	689	780	927	632	565	4	993	666	664	10	23	6	0	4	0	0	275	71	7	0	2	3	12	4					
7	Число избирательных бюллетеней в переносных ящиках	2900	58	12	29	38	38	57	45	11	36	42	17	19	64	25	75	13	36	22	44	36	49	14	19	11	22	7	10	8	17	16	12	9	8	6	17	13	11	13	50	132	93	30	30	26	30	117	19	43	23	49	35	38	33	34	28	6	12	31	5	51	21	33	31	44	0	33	9	13	11	18	50	49	21	48	10	106	12	42	37	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	84252	1062	282	790	1206	1539	678	333	425	1105	1351	1435	1021	1050	295	1014	1344	1242	1369	1415	655	1176	1353	1431	1148	1391	1400	1207	1528	1125	1465	1180	1333	1388	1343	1162	1229	1554	1092	888	886	680	505	555	1170	381	1059	913	657	659	1277	1209	1117	1190	1450	870	1228	748	926	762	782	1473	1007	1500	1129	845	1671	1278	1016	1253	396	1251	981	866	480	1219	120	1294	605	707	112	197	43	40	146	50	60	567	329	203	135	83	34	88	46					
9	Число недействительных избирательных бюллетеней	453	3	0	3	6	8	1	0	6	8	8	5	3	6	5	3	18	6	8	4	8	5	13	7	5	10	7	11	5	9	4	10	4	9	7	7	9	4	8	4	11	4	6	1	1	2	3	1	5	4	2	5	4	5	4	0	0	3	4	4	7	5	3	6	4	0	9	4	4	3	2	7	4	8	7	7	3	6	8	4	5	1	0	1	0	1	0	21	3	1	1	0	1	1	0					
10	Число действительных избирательных бюллетеней	86699	1117	294	816	1238	1569	734	378	430	1133	1385	1447	1037	1108	315	1086	1339	1272	1383	1455	683	1220	1354	1443	1154	1403	1400	1206	1531	1133	1477	1182	1338	1387	1342	1172	1233	1561	1097	934	1007	769	529	584	1195	409	1173	931	695	678	1324	1239	1151	1218	1480	898	1234	757	953	763	826	1489	1037	1525	1169	845	1695	1283	1025	1261	412	1294	1026	879	521	1222	223	1300	639	740	107	196	43	39	146	49	60	964	326	202	134	83	33	87	46					
