Выборы Президента Российской Федерации																																																																																																																		
Дата голосования: 04.03.2012																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Курск, Центральная																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования																																																																																																																		
																																																																																																																		
	Число участковых избирательных комиссий	103																																																																																																																
	Число участковых избирательных комиссий, приступивших к передаче сведений	103																																																																																																																
																																																																																																																		
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201									
1	Число избирателей, включенных в список избирателей	172984	736	1283	2295	2507	1135	1746	2065	1124	2256	2230	2912	2609	919	1919	693	2035	3152	2105	2202	2526	1308	2324	992	2303	2472	2046	1966	2005	1879	2520	2254	2182	2176	1218	2780	2735	2752	2685	2542	2202	2851	1498	2981	2141	1426	849	1019	2003	833	1159	1501	1366	1140	2379	1143	2180	1702	2537	1220	2056	906	1485	2026	1662	1589	1836	1401	2479	1588	2777	2762	1263	2215	2457	659	1881	1737	2390	1251	1683	275	1563	1507	2783	2756	487	2975	1411	2040	3527	54	38	497	262	150	125	33	76	90	121	201	37	155									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	142945	600	1100	1900	2000	950	1400	1700	1700	1800	1800	2300	2100	800	1550	550	1700	2500	1700	1800	2100	1050	1900	850	1900	2050	1700	1600	1650	1550	2050	1850	1800	1800	950	2300	2250	2250	2150	2100	1800	2350	1250	2400	1750	1200	700	850	1600	700	900	1200	1150	900	2000	950	1800	1500	2100	1000	1650	750	1250	1650	1350	1300	1500	1150	2050	1550	2250	2250	1050	1850	2050	550	1550	1450	1900	1050	1400	250	1300	1200	2300	2300	400	2400	1150	1700	2650	54	40	500	262	150	125	33	76	90	122	200	38	155									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	103946	404	729	1308	1611	673	928	1188	1088	1404	1365	1820	1327	464	1007	440	1097	2402	1192	1280	1467	729	1305	479	1400	1487	1234	1151	1128	1081	1499	1300	1250	1225	743	1629	1579	1593	1477	1539	1286	1740	821	1446	1122	770	461	661	1239	450	710	970	709	677	1511	721	1322	1047	1687	824	1526	640	740	1131	964	885	1125	874	1459	1470	1630	1476	857	1414	1487	428	1234	1038	1355	610	1174	240	773	832	1753	1714	290	1581	864	1339	2027	54	38	497	262	150	125	33	73	90	111	195	37	155									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3034	5	33	31	42	41	38	39	36	51	388	32	62	16	60	10	46	16	71	16	49	27	33	0	22	27	14	16	14	21	17	23	12	24	3	21	7	17	16	24	5	24	7	37	61	49	20	26	44	16	73	42	28	15	67	22	46	32	43	41	9	15	17	35	62	45	23	26	38	0	42	55	3	15	39	15	50	42	73	39	10	0	66	32	29	25	3	23	12	37	33	0	0	0	0	0	0	0	3	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	35965	191	338	561	347	236	434	473	576	345	47	448	711	320	483	100	557	82	437	504	584	294	562	371	478	536	452	433	508	448	534	527	538	551	204	650	664	640	657	537	509	586	422	917	567	381	219	163	317	234	117	188	413	208	422	207	432	421	370	135	115	95	493	484	324	370	352	250	553	80	578	719	190	421	524	107	266	370	472	401	216	10	461	336	518	561	107	796	274	324	590	0	2	3	0	0	0	0	0	0	11	5	1	0									
