Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Kлепиковская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20463	1650	1426	1459	958	1571	898	952	1539	844	1280	359	102	191	137	91	744	281	1532	315	202	783	174	597	257	326	417	469	243	326	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20330	1670	1420	1450	960	1580	900	940	1550	850	1290	350	90	190	130	80	740	280	1530	310	190	790	160	580	260	310	400	460	230	310	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8114	739	671	661	332	529	360	400	464	286	479	139	41	76	54	50	343	130	558	166	65	244	91	213	117	173	176	217	90	119	131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1459	31	28	39	29	23	12	61	84	53	20	55	33	48	52	16	53	46	60	38	77	137	15	95	15	35	88	62	42	69	43									
6	Число погашенных избирательных бюллетеней	10757	900	721	750	599	1028	528	479	1002	511	791	156	16	66	24	14	344	104	912	106	48	409	54	272	128	102	136	181	98	122	156									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1459	31	28	39	29	23	12	61	84	53	20	55	33	48	52	16	53	46	60	38	77	137	15	95	15	35	88	62	42	69	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8114	739	671	661	332	529	360	400	464	286	479	139	41	76	54	50	343	130	558	166	65	244	91	213	117	173	176	217	90	119	131									
9	Число недействительных избирательных бюллетеней	160	22	17	15	3	11	9	6	18	3	7	2	1	1	0	2	7	6	4	2	0	11	0	3	2	2	2	1	0	1	2									
10	Число действительных избирательных бюллетеней	9413	748	682	685	358	541	363	455	530	336	492	192	73	123	106	64	389	170	614	202	142	370	106	305	130	206	262	278	132	187	172									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	15	15	15	10	15	10	10	15	10	15	5	3	3	3	3	7	3	15	4	3	7	3	5	4	5	5	5	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	13	8	13	4	4	5	1	4	5	11	5	0	0	0	0	2	0	8	1	0	3	0	1	1	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	218	5	14	21	2	6	2	9	2	2	2	6	4	1	6	11	11	0	13	0	6	7	6	11	0	14	13	12	16	5	11									
14	Число погашенных неиспользованных открепительных удостоверений	136	2	7	2	6	11	5	9	11	5	4	0	3	3	3	3	5	3	7	3	3	4	3	4	3	5	5	5	4	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	1	1	4	0	0	0	1	2	0	4	0	0	0	1	0	0	0	1	0	0	6	0	0	0	2	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	129	11	13	12	3	8	4	7	3	1	10	3	0	3	2	0	0	7	13	3	0	1	1	3	2	1	1	11	2	2	2									
		1.35%	1.43%	1.86%	1.71%	0.83%	1.45%	1.08%	1.52%	0.55%	0.29%	2.00%	1.55%	0.00%	2.42%	1.89%	0.00%	0.00%	3.98%	2.10%	1.47%	0.00%	0.26%	0.94%	0.97%	1.52%	0.48%	0.38%	3.94%	1.52%	1.06%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	300	22	17	26	16	18	8	13	20	13	23	10	1	5	5	5	14	3	19	5	6	12	2	5	4	2	7	4	3	6	6									
		3.13%	2.86%	2.43%	3.71%	4.43%	3.26%	2.15%	2.82%	3.65%	3.83%	4.61%	5.15%	1.35%	4.03%	4.72%	7.58%	3.54%	1.70%	3.07%	2.45%	4.23%	3.15%	1.89%	1.62%	3.03%	0.96%	2.65%	1.43%	2.27%	3.19%	3.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	161	15	15	15	4	9	9	9	8	5	6	1	2	2	4	3	8	5	8	0	1	7	2	3	0	2	3	4	3	2	6									
		1.68%	1.95%	2.15%	2.14%	1.11%	1.63%	2.42%	1.95%	1.46%	1.47%	1.20%	0.52%	2.70%	1.61%	3.77%	4.55%	2.02%	2.84%	1.29%	0.00%	0.70%	1.84%	1.89%	0.97%	0.00%	0.96%	1.14%	1.43%	2.27%	1.06%	3.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5450	373	375	336	173	325	200	291	258	188	277	113	56	80	77	30	213	95	390	143	101	213	69	218	76	151	192	148	87	104	98									
		56.93%	48.44%	53.65%	48.00%	47.92%	58.88%	53.76%	63.12%	47.08%	55.46%	55.51%	58.25%	75.68%	64.52%	72.64%	45.45%	53.79%	53.98%	63.11%	70.10%	71.13%	55.91%	65.09%	70.78%	57.58%	72.60%	72.73%	53.05%	65.91%	55.32%	56.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	59	6	4	12	2	0	1	3	4	1	1	0	0	1	0	2	1	1	5	0	0	2	1	3	1	3	0	3	0	2	0									
		0.62%	0.78%	0.57%	1.71%	0.55%	0.00%	0.27%	0.65%	0.73%	0.29%	0.20%	0.00%	0.00%	0.81%	0.00%	3.03%	0.25%	0.57%	0.81%	0.00%	0.00%	0.52%	0.94%	0.97%	0.76%	1.44%	0.00%	1.08%	0.00%	1.06%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	2	1	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2									
		0.15%	0.26%	0.14%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	2.70%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1520	142	120	135	62	90	61	60	83	63	89	30	6	18	11	16	87	32	86	10	8	49	14	39	25	21	17	69	19	28	30									
		15.88%	18.44%	17.17%	19.29%	17.17%	16.30%	16.40%	13.02%	15.15%	18.58%	17.84%	15.46%	8.11%	14.52%	10.38%	24.24%	21.97%	18.18%	13.92%	4.90%	5.63%	12.86%	13.21%	12.66%	18.94%	10.10%	6.44%	24.73%	14.39%	14.89%	17.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	9	1	5	1	4	2	2	4	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1	1	1	1	0	0	0	1									
		0.40%	1.17%	0.14%	0.71%	0.28%	0.72%	0.54%	0.43%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.32%	0.00%	0.00%	0.00%	0.94%	0.32%	0.76%	0.48%	0.38%	0.00%	0.00%	0.00%	0.57%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	1	2	2	2	2	0	1	3	2	2	1	0	0	0	2	1	1	4	0	0	0	1	0	0	0	0	2	1	0	3									
		0.34%	0.13%	0.29%	0.29%	0.55%	0.36%	0.00%	0.22%	0.55%	0.59%	0.40%	0.52%	0.00%	0.00%	0.00%	3.03%	0.25%	0.57%	0.65%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.72%	0.76%	0.00%	1.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	1	1	0	0	3	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1									
		0.13%	0.13%	0.14%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	14	6	4	3	1	7	2	3	2	2	1	0	2	1	0	3	2	8	3	4	6	1	2	0	3	4	6	0	1	0									
		0.95%	1.82%	0.86%	0.57%	0.83%	0.18%	1.88%	0.43%	0.55%	0.59%	0.40%	0.52%	0.00%	1.61%	0.94%	0.00%	0.76%	1.14%	1.29%	1.47%	2.82%	1.57%	0.94%	0.65%	0.00%	1.44%	1.52%	2.15%	0.00%	0.53%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1370	114	112	118	76	65	57	61	126	51	72	28	6	11	5	5	44	22	65	31	22	69	12	27	21	18	32	26	17	36	21									
