Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Молчановская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
1	"Число избирателей, внесенных в список избирателей"	11812	733	687	712	715	722	688	704	68	122	313	135	34	191	251	222	306	99	397	504	689	507	666	601	512	151	455	628					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10480	650	550	650	650	650	650	650	50	100	250	120	20	170	220	200	250	80	350	450	600	450	600	550	450	120	400	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5346	293	335	290	364	350	309	356	34	49	155	76	17	88	89	87	139	52	160	265	324	224	275	270	225	49	200	271					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	570	27	39	17	33	22	15	9	0	13	19	10	0	17	17	15	10	11	19	51	43	17	44	36	18	19	28	21					
6	Число погашенных избирательных бюллетеней	4564	330	176	343	253	278	326	285	16	38	76	34	3	65	114	98	101	17	171	134	233	209	281	244	207	52	172	308					
7	Число избирательных бюллетеней в переносных ящиках для голосования	570	27	39	17	33	22	15	9	0	13	19	10	0	17	17	15	10	11	19	51	43	17	44	36	18	19	28	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5346	293	335	290	364	350	309	356	34	49	155	76	17	88	89	87	139	52	160	265	324	224	275	270	225	49	200	271					
9	Число недействительных избирательных бюллетеней	106	5	11	5	5	3	5	6	1	1	2	0	0	2	1	4	3	0	4	4	12	1	8	12	3	0	5	3					
10	Число действительных избирательных бюллетеней	5810	315	363	302	392	369	319	359	33	61	172	86	17	103	105	98	146	63	175	312	355	240	311	294	240	68	223	289					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	25	25	25	25	25	25	25	5	10	10	10	5	10	10	10	10	5	10	15	15	15	15	15	15	10	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	77	5	4	3	4	12	8	10	0	2	1	1	0	0	1	0	1	5	3	2	3	3	0	1	4	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	4	7	4	7	2	0	4	1	2	3	2	1	2	1	1	1	1	2	2	1	2	2	2	1	1	1	1					
