Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Заозерская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в списки избирателей"	8984	1799	1771	1819	1873	1722					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7000	1400	1400	1400	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	8	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5464	1190	1078	1084	1075	1037					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	28	4	8	7	5	4					
6	Число погашенных избирательных бюллетеней	1500	206	314	301	320	359					
7	Число избирательных бюллетеней в переносных ящиках для голосования	36	4	8	15	5	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5461	1189	1077	1084	1074	1037					
9	Число недействительных избирательных бюллетеней	59	17	13	7	11	11					
10	Число действительных избирательных бюллетеней	5438	1176	1072	1092	1068	1030					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	40	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	80	13	19	18	15	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	47	6	11	10	14	6					
14	Число погашенных неиспользованных открепительных удостоверений	120	27	21	22	25	25					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	7	12	17	9	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	70	14	13	17	14	12					
		1.27%	1.17%	1.20%	1.55%	1.30%	1.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	64	13	12	11	16	12					
		1.16%	1.09%	1.11%	1.00%	1.48%	1.15%					
20	3.Политическая партия «Демократическая партия России»	5	1	0	1	0	3					
		0.09%	0.08%	0.00%	0.09%	0.00%	0.29%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	271	85	59	33	54	40					
		4.93%	7.12%	5.44%	3.00%	5.00%	3.84%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	16	3	2	3	6	2					
		0.29%	0.25%	0.18%	0.27%	0.56%	0.19%					
23	6.Политическая партия «Партия социальной справедливости»	10	1	0	6	1	2					
		0.18%	0.08%	0.00%	0.55%	0.09%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	1342	273	260	275	278	256					
		24.41%	22.88%	23.96%	25.02%	25.76%	24.59%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	465	111	93	72	84	105					
		8.46%	9.30%	8.57%	6.55%	7.78%	10.09%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	109	27	16	16	11	39					
		1.98%	2.26%	1.47%	1.46%	1.02%	3.75%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3050	642	610	650	594	554					
		55.48%	53.81%	56.22%	59.14%	55.05%	53.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	36	6	7	8	10	5					
		0.65%	0.50%	0.65%	0.73%	0.93%	0.48%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
