Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Медынская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8660	239	184	122	587	325	217	97	189	2924	2825	144	344	463									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9100	254	228	161	640	365	245	112	237	2900	2850	169	410	529									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4538	169	138	46	365	225	124	79	150	1316	1298	107	231	290									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	938	65	45	75	101	95	64	15	39	96	138	29	60	116									
6	Число погашенных избирательных бюллетеней	3624	20	45	40	174	45	57	18	48	1488	1414	33	119	123									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	938	65	45	75	101	95	64	15	39	96	138	29	60	116									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4538	169	138	46	365	225	124	79	150	1316	1298	107	231	290									
9	Число недействительных избирательных бюллетеней	105	2	1	0	10	12	2	0	0	27	35	5	3	8									
10	Число действительных избирательных бюллетеней	5371	232	182	121	456	308	186	94	189	1385	1401	131	288	398									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	628	30	20	30	43	50	30	30	45	100	90	30	70	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	467	10	13	30	43	35	30	23	45	35	49	24	70	60									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	2	6	6	7	8	4	8	9	33	23	5	12	9									
14	Число погашенных неиспользованных открепительных удостоверений	161	20	7	0	0	15	0	7	0	65	41	6	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	169	12	38	14	24	19	0	9	4	18	22	3	1	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
