Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Жигулевская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №8276									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46625	2274	2269	2618	2145	2387	2352	1664	1044	2580	2034	2618	2484	2219	1920	2275	2263	2243	2373	2586	661	114	1201	901	718	314	368									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59508	2000	2000	2000	2000	2000	2000	1500	1000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	600	114	1200	800	700	294	19800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23694	1198	1278	1211	1071	1346	1397	807	454	963	992	1401	1434	1135	1113	1195	1002	1165	1282	1179	338	75	663	409	351	217	18									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2282	79	58	73	156	57	107	140	65	53	48	70	50	51	27	27	31	45	86	180	49	10	112	96	203	60	349									
6	Число погашенных избирательных бюллетеней	33532	723	664	716	773	597	496	553	481	984	960	529	516	814	360	778	967	790	632	641	213	29	425	295	146	17	19433									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2282	79	58	73	156	57	107	140	65	53	48	70	50	51	27	27	31	45	86	180	49	10	112	96	203	60	349									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23571	1198	1276	1211	1071	1346	1396	806	454	953	992	1347	1434	1135	1075	1189	1002	1165	1282	1169	337	75	663	409	351	217	18									
9	Число недействительных избирательных бюллетеней	916	42	42	41	60	53	48	43	20	39	38	75	46	51	31	46	35	28	36	59	10	1	30	19	15	6	2									
10	Число действительных избирательных бюллетеней	24937	1235	1292	1243	1167	1350	1455	903	499	967	1002	1342	1438	1135	1071	1170	998	1182	1332	1290	376	84	745	486	539	271	365									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	609	36	35	20	24	35	45	20	10	25	30	20	40	30	20	20	20	30	30	20	10	9	30	10	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	455	32	24	14	19	30	39	12	5	22	23	16	38	19	18	11	17	25	27	15	6	5	21	8	3	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	477	26	10	9	18	29	18	14	6	13	36	52	15	26	13	14	12	13	17	9	7	23	22	23	18	28	6									
14	Число погашенных неиспользованных открепительных удостоверений	154	4	11	6	5	5	6	8	5	3	7	4	2	11	2	9	3	5	3	5	4	4	9	2	7	4	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	2	1	2	1	4	5	2	1	0	3	3	5	1	4	0	1	2	4	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	410	15	10	25	17	16	21	16	6	14	17	14	27	31	31	23	20	21	18	25	3	2	9	12	6	1	10									
		1.59%	1.17%	0.75%	1.95%	1.39%	1.14%	1.40%	1.69%	1.16%	1.39%	1.63%	0.99%	1.82%	2.61%	2.81%	1.89%	1.94%	1.74%	1.32%	1.85%	0.78%	2.35%	1.16%	2.38%	1.08%	0.36%	2.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	845	35	44	39	64	46	55	33	13	36	32	41	42	40	37	32	37	46	41	43	16	4	16	30	12	8	3									
		3.27%	2.74%	3.30%	3.04%	5.22%	3.28%	3.66%	3.49%	2.50%	3.58%	3.08%	2.89%	2.83%	3.37%	3.36%	2.63%	3.58%	3.80%	2.99%	3.19%	4.15%	4.71%	2.06%	5.94%	2.17%	2.89%	0.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	521	19	22	26	50	38	40	24	1	14	17	33	17	21	21	21	20	27	35	19	7	2	19	7	12	2	7									
		2.02%	1.49%	1.65%	2.02%	4.07%	2.71%	2.66%	2.54%	0.19%	1.39%	1.63%	2.33%	1.15%	1.77%	1.91%	1.73%	1.94%	2.23%	2.56%	1.41%	1.81%	2.35%	2.45%	1.39%	2.17%	0.72%	1.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9833	477	480	477	475	454	573	388	228	430	421	461	500	434	381	487	403	428	571	507	160	32	353	193	308	124	88									
		38.03%	37.35%	35.98%	37.15%	38.71%	32.36%	38.12%	41.01%	43.93%	42.74%	40.48%	32.53%	33.69%	36.59%	34.57%	40.05%	39.01%	35.37%	41.74%	37.58%	41.45%	37.65%	45.55%	38.22%	55.60%	44.77%	23.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	217	8	6	6	8	26	20	7	6	3	6	16	13	3	6	4	13	5	18	18	4	1	8	2	1	1	8									
		0.84%	0.63%	0.45%	0.47%	0.65%	1.85%	1.33%	0.74%	1.16%	0.30%	0.58%	1.13%	0.88%	0.25%	0.54%	0.33%	1.26%	0.41%	1.32%	1.33%	1.04%	1.18%	1.03%	0.40%	0.18%	0.36%	2.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	113	4	2	6	5	4	10	3	3	8	4	4	6	4	4	7	1	4	15	9	1	0	2	2	1	1	3									
		0.44%	0.31%	0.15%	0.47%	0.41%	0.29%	0.67%	0.32%	0.58%	0.80%	0.38%	0.28%	0.40%	0.34%	0.36%	0.58%	0.10%	0.33%	1.10%	0.67%	0.26%	0.00%	0.26%	0.40%	0.18%	0.36%	0.82%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5133	337	378	249	221	244	225	180	101	195	206	406	301	204	192	216	197	251	256	248	73	15	147	110	101	56	24									
		19.85%	26.39%	28.34%	19.39%	18.01%	17.39%	14.97%	19.03%	19.46%	19.38%	19.81%	28.65%	20.28%	17.20%	17.42%	17.76%	19.07%	20.74%	18.71%	18.38%	18.91%	17.65%	18.97%	21.78%	18.23%	20.22%	6.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	219	9	10	12	8	4	23	2	3	2	9	10	15	7	10	9	4	9	7	7	1	0	5	3	1	5	44									
