Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Елецкая																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537					
1	"Число избирателей, внесенных в список"	22317	1881	324	479	341	805	215	291	996	255	291	368	134	585	208	218	1410	1127	761	261	190	116	1062	1218	668	2181	590	526	940	286	1061	1182	325	777	245					
2	Число полученных избирательных бюллетеней	22211	1887	327	483	340	794	216	286	1000	237	288	357	127	585	208	221	1408	1120	753	261	183	111	1078	1240	667	2092	581	511	944	285	1070	1210	329	769	243					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14192	1428	180	325	245	509	123	133	613	128	148	222	73	426	118	96	955	642	530	171	86	71	742	943	452	1114	285	191	529	133	748	817	185	654	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	4087	203	100	72	45	185	73	107	203	84	82	91	37	48	49	86	183	282	87	44	62	29	154	118	176	309	179	120	169	80	236	181	114	63	36					
6	Число погашенных избирательных бюллетеней	3932	256	47	86	50	100	20	46	184	25	58	44	17	111	41	39	270	196	136	46	35	11	182	179	39	669	117	200	246	72	86	212	30	52	30					
7	Число избирательных бюллетеней в переносных ящиках	4087	203	100	72	45	185	73	107	203	84	82	91	37	48	49	86	183	282	87	44	62	29	154	118	176	309	179	120	169	80	236	181	114	63	36					
8	Число бюллетеней в стационарных ящиках для голосования	14192	1428	180	325	245	509	123	133	613	128	148	222	73	426	118	96	955	642	530	171	86	71	742	943	452	1114	285	191	529	133	748	817	185	654	177					
9	Число недействительных избирательных бюллетеней	165	3	2	6	1	2	1	2	12	3	1	3	0	5	2	1	10	12	9	1	5	0	10	19	1	12	7	4	7	2	6	2	0	11	3					
10	Число действительных избирательных бюллетеней	18114	1628	278	391	289	692	195	238	804	209	229	310	110	469	165	181	1128	912	608	214	143	100	886	1042	627	1411	457	307	691	211	978	996	299	706	210					
11	Число полученных открепительных  удостоверений	440	20	10	10	10	10	10	10	20	10	10	10	10	10	10	10	20	20	10	10	10	10	20	20	10	25	10	10	15	10	20	20	10	10	10					
12	Число выданных открепительных удостоверений	142	8	0	7	2	0	0	0	13	1	1	3	0	5	0	0	3	6	2	0	0	0	6	20	0	6	1	0	12	5	20	20	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	132	1	1	5	4	5	0	6	2	3	4	8	8	4	2	0	8	15	7	2	2	2	0	4	3	11	0	2	4	2	4	4	1	4	4					
14	Число неиспользованных открепительных удостоверений	298	12	10	3	8	10	10	10	7	9	9	7	10	5	10	10	17	14	8	10	10	10	14	0	10	19	9	10	3	5	0	0	10	9	10					
