Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Бузулукская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26510	473	381	545	76	153	336	362	119	339	148	1060	529	584	391	114	1548	744	173	951	330	89	443	541	167	563	562	1549	464	376	348	159	1638	408	735	209	556	775	536	513	1116	270	422	421	632	1587	1353	596	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25675	470	380	540	75	140	340	360	120	340	140	1050	530	600	390	115	1550	750	170	940	330	85	440	540	160	560	560	1500	450	360	350	150	1500	400	700	200	500	720	520	500	1000	250	400	400	600	1500	1330	550	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9848	188	80	206	35	68	164	131	55	172	70	389	280	178	132	55	488	234	63	302	108	45	165	217	50	163	200	546	184	127	131	56	759	162	289	57	278	284	264	239	353	90	204	186	263	481	352	239	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1739	60	104	39	15	16	37	36	20	10	26	45	52	84	51	18	38	25	13	34	79	17	35	15	9	40	107	10	17	17	19	11	67	29	32	38	38	30	50	61	53	28	15	28	58	47	41	23	2									
6	Число погашенных избирательных бюллетеней	14088	222	196	295	25	56	139	193	45	158	44	616	198	338	207	42	1024	491	94	604	143	23	240	308	101	357	253	944	249	216	200	83	674	209	379	105	184	406	206	200	594	132	181	186	279	972	937	288	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1739	60	104	39	15	16	37	36	20	10	26	45	52	84	51	18	38	25	13	34	79	17	35	15	9	40	107	10	17	17	19	11	67	29	32	38	38	30	50	61	53	28	15	28	58	47	41	23	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9848	188	80	206	35	68	164	131	55	172	70	389	280	178	132	55	488	234	63	302	108	45	165	217	50	163	200	546	184	127	131	56	759	162	289	57	278	284	264	239	353	90	204	186	263	481	352	239	66									
9	Число недействительных избирательных бюллетеней	371	3	9	3	1	3	3	7	4	1	1	19	3	5	3	0	10	3	2	5	5	0	5	9	1	10	110	14	8	0	7	1	19	4	6	3	3	6	10	9	3	3	8	4	9	12	10	6	1									
10	Число действительных избирательных бюллетеней	11216	245	175	242	49	81	198	160	71	181	95	415	329	257	180	73	516	256	74	331	182	62	195	223	58	193	197	542	193	144	143	66	807	187	315	92	313	308	304	291	403	115	211	210	312	516	383	256	67									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	267	5	6	6	2	3	4	4	3	4	3	10	5	6	5	3	10	8	3	10	5	2	5	5	2	5	5	12	5	5	5	2	12	5	6	2	5	10	5	5	10	2	5	5	6	12	12	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	194	5	6	6	1	3	4	4	1	4	3	10	5	6	5	2	10	0	3	0	4	0	5	5	1	2	5	12	2	2	2	1	12	5	6	1	5	4	5	5	9	0	5	5	6	1	2	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	0	8	1	3	6	0	1	0	1	0	6	1	1	0	2	1	3	0	1	1	2	1	9	1	0	9	5	1	1	3	2	7	3	3	0	2	3	2	1	4	5	3	2	2	8	6	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	73	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	8	0	10	1	2	0	0	1	3	0	0	3	3	3	1	0	0	0	1	0	6	0	0	1	2	0	0	0	11	10	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0									
