Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Клинцовская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122					
1	"Число избирателей, внесенных в списки избирателей"	16439	777	512	790	461	341	685	86	710	366	401	354	191	817	1038	485	408	342	861	613	472	118	926	757	194	179	508	135	823	650	1095	344					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16000	770	510	780	450	340	670	80	700	360	380	350	180	800	1030	450	400	300	850	600	450	110	900	740	180	160	500	120	800	650	1070	320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9169	390	207	348	265	216	378	66	475	255	270	196	145	479	601	297	286	229	478	417	284	75	523	392	97	114	247	112	446	286	446	149					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	814	43	73	94	63	30	70	12	15	16	0	30	0	11	0	0	0	0	75	13	15	7	9	5	33	0	19	8	95	17	8	53					
6	Число погашенных избирательных бюллетеней	6017	337	230	338	122	94	222	2	210	89	110	124	35	310	429	153	114	71	297	170	151	28	368	343	50	46	234	0	259	347	616	118					
7	Число избирательных бюллетеней в переносных ящиках для голосования	814	43	73	94	63	30	70	12	15	16	0	30	0	11	0	0	0	0	75	13	15	7	9	5	33	0	19	8	95	17	8	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9169	390	207	348	265	216	378	66	475	255	270	196	145	479	601	297	286	229	478	417	284	75	523	392	97	114	247	112	446	286	446	149					
9	Число недействительных избирательных бюллетеней	73	5	4	1	1	0	4	0	3	3	2	5	2	4	5	2	1	1	10	2	2	1	2	1	0	0	3	3	0	1	3	2					
10	Число действительных избирательных бюллетеней	9910	428	276	441	327	246	444	78	487	268	268	221	143	486	596	295	285	228	543	428	297	81	530	396	130	114	263	117	541	302	451	200					
