Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Клинцовская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103					
1	"Число избирателей, внесенных в список избирателей"	15601	712	467	656	383	699	354	677	310	398	324	171	891	881	450	362	401	864	584	540	745	893	182	178	521	122	778	637	1116	305					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15585	700	470	660	380	715	350	670	310	390	330	160	900	880	450	370	400	860	600	540	730	890	190	180	520	120	750	630	1120	320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8766	429	227	380	236	425	250	416	211	262	149	152	321	411	203	223	271	602	303	253	449	385	102	54	370	85	487	336	633	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1960	82	107	83	48	142	55	40	18	47	34	0	84	80	49	93	26	59	120	154	25	79	33	51	41	16	152	87	73	82					
6	Число погашенных избирательных бюллетеней	4859	189	136	197	96	148	45	214	81	81	147	8	495	389	198	54	103	199	177	133	256	426	55	75	109	19	111	207	414	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1960	82	107	83	48	142	55	40	18	47	34	0	84	80	49	93	26	59	120	154	25	79	33	51	41	16	152	87	73	82					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8766	429	227	380	236	425	250	416	211	262	149	152	321	411	203	223	271	602	303	253	449	385	102	54	370	85	487	336	633	141					
9	Число недействительных избирательных бюллетеней	542	4	13	91	0	15	43	2	2	5	52	0	12	3	1	33	6	101	3	3	3	1	6	2	3	0	14	2	120	2					
10	Число действительных избирательных бюллетеней	10184	507	321	372	284	552	262	454	227	304	131	152	393	488	251	283	291	560	420	404	471	463	129	103	408	101	625	421	586	221					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	156	10	9	3	1	8	1	10	3	3	7	1	14	17	0	0	1	2	4	9	6	4	2	0	4	0	16	10	9	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	151	10	9	3	1	8	1	10	2	3	7	0	14	17	0	0	1	2	3	9	6	4	1	0	4	0	16	10	9	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	182	18	4	5	6	15	2	10	1	3	1	3	1	6	0	1	30	10	2	1	16	1	2	7	1	1	2	17	15	1					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	0	2	1	0	3	1	0	4	0	0	0	1	1	1	0	0	0	2	2	6	1	0	0	2	1	12	1	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	708	36	28	17	15	29	7	38	18	28	12	7	30	54	19	21	43	59	24	28	38	31	7	13	13	3	20	19	41	10					
		6.60%	7.05%	8.38%	3.67%	5.28%	5.11%	2.30%	8.33%	7.86%	9.06%	6.56%	4.61%	7.41%	10.99%	7.54%	6.65%	14.48%	8.93%	5.67%	6.88%	8.02%	6.68%	5.19%	12.38%	3.16%	2.97%	3.13%	4.49%	5.81%	4.48%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	585	26	31	10	24	25	5	25	27	3	9	2	31	34	23	20	34	10	27	32	28	49	6	3	12	4	10	19	37	19					
		5.45%	5.09%	9.28%	2.16%	8.45%	4.41%	1.64%	5.48%	11.79%	0.97%	4.92%	1.32%	7.65%	6.92%	9.13%	6.33%	11.45%	1.51%	6.38%	7.86%	5.91%	10.56%	4.44%	2.86%	2.92%	3.96%	1.56%	4.49%	5.24%	8.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	61	8	0	1	0	2	0	5	1	2	0	0	2	5	2	1	4	4	2	8	6	2	0	0	2	1	0	0	2	1					
		0.57%	1.57%	0.00%	0.22%	0.00%	0.35%	0.00%	1.10%	0.44%	0.65%	0.00%	0.00%	0.49%	1.02%	0.79%	0.32%	1.35%	0.61%	0.47%	1.97%	1.27%	0.43%	0.00%	0.00%	0.49%	0.99%	0.00%	0.00%	0.28%	0.45%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1212	72	34	36	24	79	13	65	34	17	14	19	49	59	45	15	88	53	39	46	81	46	11	17	46	3	49	44	85	29					
		11.30%	14.09%	10.18%	7.78%	8.45%	13.93%	4.26%	14.25%	14.85%	5.50%	7.65%	12.50%	12.10%	12.02%	17.86%	4.75%	29.63%	8.02%	9.22%	11.30%	17.09%	9.91%	8.15%	16.19%	11.19%	2.97%	7.67%	10.40%	12.04%	13.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	2	2	5	0	6	1	2	1	0	0	2	4	2	1	1	7	3	5	0	13	2	3	0	3	0	0	2	2	1					
		0.65%	0.39%	0.60%	1.08%	0.00%	1.06%	0.33%	0.44%	0.44%	0.00%	0.00%	1.32%	0.99%	0.41%	0.40%	0.32%	2.36%	0.45%	1.18%	0.00%	2.74%	0.43%	2.22%	0.00%	0.73%	0.00%	0.00%	0.47%	0.28%	0.45%					
