Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    ТИК Кировского района г.Перми																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055					
1	"Число избирателей, внесенных в списки избирателей"	102356	1535	1798	1886	2748	1716	1911	2371	1538	1947	2068	2257	2262	1236	1971	1741	1851	1584	1635	1837	1783	1425	2096	1831	2304	2173	1723	1699	2054	2253	1516	1800	2201	2418	2344	2696	2676	2067	1873	1674	1935	887	2074	1799	1643	2278	1372	2220	2647	2403	2631	2380	599	490	284	216					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99600	1500	1800	1900	2700	1700	1900	2300	1500	1900	2000	2200	2200	1200	1900	1300	1800	1600	1600	1800	1700	1400	2000	1800	2300	2100	1700	1700	2000	2200	1400	1800	2200	2400	2300	2700	2600	2000	1800	1600	1900	800	2000	1700	1600	2200	1300	2200	2600	2400	2500	2300	500	500	300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50966	799	944	989	1461	735	780	1137	833	952	1005	1068	987	374	895	949	1067	750	933	847	987	784	1058	994	1187	1196	932	968	1098	1177	775	927	1187	1368	1104	1378	1191	1068	1046	833	943	378	1079	958	877	1125	578	1027	1144	987	1168	980	319	307	218	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1539	24	19	21	40	18	10	25	15	24	21	20	24	7	47	7	24	12	12	21	20	17	26	23	32	24	28	19	14	28	15	40	30	27	14	39	60	21	13	10	16	12	22	31	16	17	15	21	23	19	28	75	3	183	66	101					
6	Число погашенных избирательных бюллетеней	47095	677	837	890	1199	947	1110	1138	652	924	974	1112	1189	819	958	344	709	838	655	932	693	599	916	783	1081	880	740	713	888	995	610	833	983	1005	1182	1283	1349	911	741	757	941	410	899	711	707	1058	707	1152	1433	1394	1304	1245	178	10	16	84					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1539	24	19	21	40	18	10	25	15	24	21	20	24	7	47	7	24	12	12	21	20	17	26	23	32	24	28	19	14	28	15	40	30	27	14	39	60	21	13	10	16	12	22	31	16	17	15	21	23	19	28	75	3	183	66	101					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50934	799	942	987	1461	732	780	1137	832	952	1004	1068	987	374	894	949	1066	750	933	846	984	784	1056	994	1187	1196	932	966	1098	1177	774	927	1187	1367	1104	1375	1191	1067	1046	833	943	378	1079	957	877	1122	577	1027	1143	987	1167	980	319	307	218	115					
9	Число недействительных избирательных бюллетеней	587	17	10	12	14	4	8	12	13	13	15	13	21	6	11	8	8	12	5	7	16	6	15	12	6	12	15	18	3	10	14	10	13	15	13	15	11	12	7	6	17	5	8	7	7	17	6	13	19	8	12	16	5	4	2	3					
10	Число действительных избирательных бюллетеней	51886	806	951	996	1487	746	782	1150	834	963	1010	1075	990	375	930	948	1082	750	940	860	988	795	1067	1005	1213	1208	945	967	1109	1195	775	957	1204	1379	1105	1399	1240	1076	1052	837	942	385	1093	981	886	1122	586	1035	1147	998	1183	1039	317	486	282	213					
