Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кочковская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №825									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12067	85	982	301	1018	308	1514	2385	987	887	439	566	910	871	523	144	147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11850	80	1000	300	1000	300	1500	2400	950	900	400	550	900	800	500	140	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4124	20	368	119	343	116	436	926	339	278	110	182	317	281	169	60	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	501	17	60	19	20	11	120	30	23	33	32	22	32	30	25	22	5									
6	Число погашенных избирательных бюллетеней	7225	43	572	162	637	173	944	1444	588	589	258	346	551	489	306	58	65									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	501	17	60	19	20	11	120	30	23	33	32	22	32	30	25	22	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4124	20	368	119	343	116	436	926	339	278	110	182	317	281	169	60	60									
9	Число недействительных избирательных бюллетеней	159	0	24	5	19	9	12	35	6	8	5	3	14	12	2	0	5									
10	Число действительных избирательных бюллетеней	4466	37	404	133	344	118	544	921	356	303	137	201	335	299	192	82	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	5	10	10	20	10	20	35	18	10	7	10	14	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	170	3	10	1	20	10	20	35	18	3	7	10	14	10	4	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	1	7	2	7	8	4	7	10	3	4	9	0	23	5	3	11									
14	Число погашенных неиспользованных открепительных удостоверений	29	2	0	9	0	0	0	0	0	7	0	0	0	0	6	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	0	11	0	8	0	0	22	4	12	2	1	7	11	3	1	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	49	0	7	0	1	0	7	7	3	4	3	2	5	3	1	4	2									
		1.06%	0.00%	1.64%	0.00%	0.28%	0.00%	1.26%	0.73%	0.83%	1.29%	2.11%	0.98%	1.43%	0.96%	0.52%	4.88%	3.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	217	1	21	4	19	4	31	45	25	15	5	13	12	10	4	5	3									
		4.69%	2.70%	4.91%	2.90%	5.23%	3.15%	5.58%	4.71%	6.91%	4.82%	3.52%	6.37%	3.44%	3.22%	2.06%	6.10%	4.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	0	10	2	10	2	9	14	8	7	2	8	9	3	4	1	1									
		1.95%	0.00%	2.34%	1.45%	2.75%	1.57%	1.62%	1.46%	2.21%	2.25%	1.41%	3.92%	2.58%	0.96%	2.06%	1.22%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1982	30	190	60	137	60	259	398	138	163	51	103	134	123	77	33	26									
		42.85%	81.08%	44.39%	43.48%	37.74%	47.24%	46.58%	41.63%	38.12%	52.41%	35.92%	50.49%	38.40%	39.55%	39.69%	40.24%	40.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	0	1	1	4	3	0	4	3	0	0	0	1	2	0	1	0									
		0.43%	0.00%	0.23%	0.72%	1.10%	2.36%	0.00%	0.42%	0.83%	0.00%	0.00%	0.00%	0.29%	0.64%	0.00%	1.22%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	0	0	0	0	3	2	1	1	0	0	2	0	4	0	0									
		0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.21%	0.28%	0.32%	0.00%	0.00%	0.57%	0.00%	2.06%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1174	2	80	41	104	33	131	223	117	62	51	45	115	77	52	24	17									
		25.38%	5.41%	18.69%	29.71%	28.65%	25.98%	23.56%	23.33%	32.32%	19.94%	35.92%	22.06%	32.95%	24.76%	26.80%	29.27%	26.15%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	0	1	1	0	2	2	1	0	0	0	0	6	1	0	0									
		0.30%	0.00%	0.00%	0.72%	0.28%	0.00%	0.36%	0.21%	0.28%	0.00%	0.00%	0.00%	0.00%	1.93%	0.52%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	0	1	0	1	0	3	5	0	0	0	0	0	0	0	0	0									
		0.22%	0.00%	0.23%	0.00%	0.28%	0.00%	0.54%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.66%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	0	2	2	3	0	3	4	3	1	0	2	1	2	1	0	0									
		0.52%	0.00%	0.47%	1.45%	0.83%	0.00%	0.54%	0.42%	0.83%	0.32%	0.00%	0.98%	0.29%	0.64%	0.52%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	757	4	77	21	54	16	85	187	50	38	24	27	47	66	46	9	6									
		16.37%	10.81%	17.99%	15.22%	14.88%	12.60%	15.29%	19.56%	13.81%	12.22%	16.90%	13.24%	13.47%	21.22%	23.71%	10.98%	9.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	3	0	1	0	0	1	1	3	0	0	1	0	0	0	0									
		0.22%	0.00%	0.70%	0.00%	0.28%	0.00%	0.00%	0.10%	0.28%	0.96%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	101	0	12	1	9	0	10	28	6	9	1	1	8	7	2	2	5									
		2.18%	0.00%	2.80%	0.72%	2.48%	0.00%	1.80%	2.93%	1.66%	2.89%	0.70%	0.49%	2.29%	2.25%	1.03%	2.44%	7.69%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
