Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
"Наименование Избирательной комиссии:    Пермь, Дзержинская"																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	123468	2532	2004	1896	2365	2074	1213	1634	1376	1757	1545	2000	2058	1536	1578	2386	1751	1327	1504	2008	1817	307	1671	2106	2125	1560	2393	2397	2184	1714	2318	2253	1729	2359	2210	2739	2057	2328	2138	1808	2759	1919	2142	2052	2698	2999	2969	2831	2006	1998	1606	1742	1710	2692	2186	2754	1438	1919	2517	2493	2773	193	51	216	48									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89978	1800	1400	1400	1700	1500	900	1100	1000	1300	1100	1400	1500	1100	1100	1700	1300	1000	1100	1500	1300	278	1200	1500	1500	1200	1700	1700	1600	1300	1700	1600	1300	1700	1600	2000	1500	1700	1500	1300	2000	1400	1600	1500	1900	2100	2100	2000	1400	1500	1200	1300	1300	1900	1600	2000	1100	1400	1800	1800	2000	250	150	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41936	951	744	775	888	698	415	590	444	619	551	531	637	535	589	892	672	424	503	628	683	71	575	712	702	478	677	718	789	620	823	864	663	877	784	905	760	752	724	707	995	694	734	663	835	1048	1025	917	660	494	389	490	540	824	598	942	446	646	947	689	932	143	51	216	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	488	6	10	12	8	1	3	5	10	5	8	23	14	11	16	16	17	6	17	42	15	1	15	11	7	12	6	10	7	5	3	8	10	5	4	3	4	6	12	7	3	3	6	0	5	5	6	2	9	5	4	8	7	8	7	11	2	4	7	1	4	0	0	0	0									
6	Число погашенных избирательных бюллетеней	47553	843	646	613	804	800	482	505	546	676	541	846	849	554	495	792	611	570	580	830	602	206	610	777	791	710	1017	972	804	675	874	728	627	818	812	1092	736	942	764	586	1002	703	860	837	1060	1047	1069	1081	731	1001	807	802	753	1068	995	1047	652	750	846	1110	1064	107	99	84	252									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	483	6	10	12	8	1	3	0	10	5	8	23	14	11	16	16	17	6	17	42	15	1	15	11	7	12	6	10	7	5	3	8	10	5	4	3	4	6	12	7	3	3	6	0	5	5	6	2	9	5	4	8	7	8	7	11	2	4	7	1	4	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41796	951	743	759	888	698	415	583	444	618	529	531	637	534	582	890	672	424	503	628	683	71	574	711	674	454	672	716	789	620	823	862	662	877	782	905	759	752	724	707	995	694	734	663	835	1048	1022	909	660	494	388	490	540	824	596	942	446	645	946	689	932	143	51	216	48									
9	Число недействительных избирательных бюллетеней	1931	37	37	34	41	30	16	39	32	37	38	26	27	34	31	39	25	15	18	45	35	3	19	33	19	42	48	35	45	23	26	50	31	25	29	40	32	24	26	37	38	19	19	52	47	42	24	36	29	46	31	24	32	39	25	50	22	23	32	22	26	13	6	11	0									
10	Число действительных избирательных бюллетеней	40348	920	716	737	855	669	402	544	422	586	499	528	624	511	567	867	664	415	502	625	663	69	570	689	662	424	630	691	751	602	800	820	641	857	757	868	731	734	710	677	960	678	721	611	793	1011	1004	875	640	453	361	474	515	793	578	903	426	626	921	668	910	130	45	205	48									
