Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Район Филёвский парк																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №3190	УИК №3191									
1	"Число избирателей, внесенных в списки"	46985	2280	2615	2063	1683	1377	2293	2326	1247	2316	2331	2626	1699	2471	1244	1913	1664	2232	2365	2524	2609	2089	1493	1157	314	54									
2	"Число бюллетеней, полученных участковыми комиссиями"	43360	2070	2350	1760	1530	1160	2080	2080	1090	2110	2120	2400	1530	2260	1100	1730	1520	2000	2140	2290	2350	1790	2150	1050	600	100									
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26815	1184	1364	1129	945	767	1356	1360	751	1192	1353	1508	936	1317	721	976	837	1189	1356	1433	1464	1222	1454	633	314	54									
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	856	47	39	113	26	16	40	30	22	52	33	22	30	72	19	24	15	17	33	30	37	76	39	24	0	0									
6	Число погашенных бюллетеней	15689	839	947	518	559	377	684	690	317	866	734	870	564	871	360	730	668	794	751	827	849	492	657	393	286	46									
7	Число бюллетеней в переносных ящиках для голосования	855	47	39	112	26	16	40	30	22	52	33	22	30	72	19	24	15	17	33	30	37	76	39	24	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	26730	1177	1353	1129	919	767	1356	1355	751	1183	1353	1504	929	1314	720	976	835	1188	1353	1433	1461	1220	1453	633	314	54									
9	Число недействительных бюллетеней	325	24	11	24	12	12	17	21	10	10	11	15	7	21	7	6	10	6	16	20	17	20	16	8	4	0									
10	Число действительных бюллетеней	27260	1200	1381	1217	933	771	1379	1364	763	1225	1375	1511	952	1365	732	994	840	1199	1370	1443	1481	1276	1476	649	310	54									
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	629	30	30	26	30	15	45	30	15	30	28	35	25	40	15	25	15	25	30	25	30	25	35	25	0	0									
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	468	20	28	18	17	7	27	19	9	18	25	32	15	34	13	20	12	13	26	24	25	16	32	18	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	425	13	15	18	21	21	15	15	18	12	19	6	18	23	19	10	16	14	14	17	21	18	34	13	24	11									
14	Число погашенных открепительных удостоверений	161	10	2	8	13	8	18	11	6	12	3	3	10	6	2	5	3	12	4	1	5	9	3	7	0	0									
15	Число открепительных удостоверений выданных ТИК	9	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	1	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
18	"1. ""ЕДИНЕНИЕ"""	164	15	8	9	8	4	7	11	3	8	9	7	4	2	5	6	3	11	7	9	5	5	10	2	6	0									
		0.59%	1.22%	0.57%	0.72%	0.84%	0.51%	0.50%	0.79%	0.38%	0.64%	0.64%	0.45%	0.41%	0.14%	0.67%	0.6%	0.35%	0.91%	0.50%	0.61%	0.33%	0.38%	0.67%	0.30%	1.91%	0.0%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2138	80	124	99	90	70	145	102	93	81	102	100	104	134	67	47	28	175	72	92	101	55	118	46	10	3									
		7.75%	6.53%	8.90%	7.97%	9.52%	8.93%	10.38%	7.36%	12.03%	6.55%	7.35%	6.55%	10.84%	9.66%	9.06%	4.7%	3.29%	14.52%	5.19%	6.28%	6.74%	4.24%	7.90%	7.00%	3.18%	5.55%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	585	20	32	30	21	10	26	30	9	44	24	37	18	37	17	23	15	17	24	52	16	31	29	13	9	1									
		2.12%	1.63%	2.29%	2.41%	2.22%	1.27%	1.86%	2.16%	1.16%	3.56%	1.73%	2.42%	1.87%	2.66%	2.30%	2.3%	1.76%	1.41%	1.73%	3.55%	1.06%	2.39%	1.94%	1.97%	2.86%	1.85%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2837	125	125	125	109	116	150	125	101	123	151	125	127	130	106	70	71	137	126	139	162	97	208	69	16	4									
		10.28%	10.21%	8.97%	10.07%	11.53%	14.81%	10.74%	9.02%	13.06%	9.95%	10.89%	8.19%	13.24%	9.37%	14.34%	7.0%	8.35%	11.36%	9.09%	9.50%	10.81%	7.48%	13.94%	10.50%	5.09%	7.40%									
22	"5. ""За Русь Святую"""	115	6	10	2	0	5	8	3	4	3	12	2	9	3	0	4	2	5	10	7	7	4	3	3	2	1									
		0.41%	0.49%	0.71%	0.16%	0.0%	0.63%	0.57%	0.21%	0.51%	0.24%	0.86%	0.13%	0.93%	0.21%	0.0%	0.4%	0.23%	0.41%	0.72%	0.47%	0.46%	0.30%	0.20%	0.45%	0.63%	1.85%									
23	"6. ""Объединенная Российская партия ""Русь"""	59	0	6	1	3	1	4	2	1	1	4	5	1	7	2	3	1	4	3	2	3	2	0	2	1	0									
		0.21%	0.0%	0.43%	0.08%	0.31%	0.12%	0.28%	0.14%	0.12%	0.08%	0.28%	0.32%	0.10%	0.50%	0.27%	0.3%	0.11%	0.33%	0.21%	0.13%	0.20%	0.15%	0.0%	0.30%	0.31%	0.0%									
24	"7. ""Новый курс - Автомобильная Россия"""	465	30	15	34	7	19	22	28	13	12	23	36	13	15	10	29	18	21	30	28	29	11	13	8	1	0									
		1.68%	2.45%	1.07%	2.73%	0.74%	2.42%	1.57%	2.02%	1.68%	0.97%	1.65%	2.35%	1.35%	1.08%	1.35%	2.9%	2.11%	1.74%	2.16%	1.91%	1.93%	0.84%	0.87%	1.21%	0.31%	0.0%									
25	"8. ""Народно-республиканская партия России"""	20	0	2	1	0	0	1	0	2	1	1	0	0	3	1	5	0	0	0	0	0	0	1	1	1	0									
		0.07%	0.0%	0.14%	0.08%	0.0%	0.0%	0.07%	0.0%	0.25%	0.08%	0.07%	0.0%	0.0%	0.21%	0.13%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.15%	0.31%	0.0%									
26	"9. ""Российская экологическая партия ""Зеленые"""	212	16	14	9	6	5	16	14	7	0	9	18	13	11	6	3	8	6	11	8	10	5	6	9	1	1									
		0.76%	1.30%	1.00%	0.72%	0.63%	0.63%	1.14%	1.01%	0.90%	0.0%	0.64%	1.17%	1.35%	0.79%	0.81%	0.3%	0.94%	0.49%	0.79%	0.54%	0.66%	0.38%	0.40%	1.36%	0.31%	1.85%									
27	"10. ""Аграрная партия России"""	548	19	26	24	18	8	39	24	12	26	21	39	19	31	9	18	14	18	38	29	47	33	25	8	2	1									
		1.98%	1.55%	1.86%	1.93%	1.90%	1.02%	2.79%	1.73%	1.55%	2.10%	1.51%	2.55%	1.98%	2.23%	1.21%	1.8%	1.64%	1.49%	2.74%	1.98%	3.13%	2.54%	1.67%	1.21%	0.63%	1.85%									
28	"11. ""Истинные патриоты России"""	22	2	0	0	2	0	0	0	0	9	0	0	0	0	0	1	0	0	0	4	1	2	0	0	1	0									
		0.07%	0.16%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.1%	0.0%	0.0%	0.0%	0.27%	0.06%	0.15%	0.0%	0.0%	0.31%	0.0%									
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	310	14	15	18	12	4	11	18	11	23	15	8	15	19	5	10	15	17	12	18	11	10	16	10	2	1									
		1.12%	1.14%	1.07%	1.45%	1.26%	0.51%	0.78%	1.29%	1.42%	1.86%	1.08%	0.52%	1.56%	1.37%	0.67%	1.0%	1.76%	1.41%	0.86%	1.23%	0.73%	0.77%	1.07%	1.52%	0.63%	1.85%									
30	"13. ""Демократическая партия России"""	28	4	0	3	0	1	2	4	0	0	2	0	0	2	1	2	0	0	0	1	2	2	1	0	1	0									
		0.10%	0.32%	0.0%	0.24%	0.0%	0.12%	0.14%	0.28%	0.0%	0.0%	0.14%	0.0%	0.0%	0.14%	0.13%	0.2%	0.0%	0.0%	0.0%	0.06%	0.13%	0.15%	0.06%	0.0%	0.31%	0.0%									
31	"14. ""Великая Россия - Евразийский Союз"""	53	2	6	6	2	0	1	1	3	2	3	4	0	2	4	0	0	0	2	2	3	2	1	6	1	0									
		0.19%	0.16%	0.43%	0.48%	0.21%	0.0%	0.07%	0.07%	0.38%	0.16%	0.21%	0.26%	0.0%	0.14%	0.54%	0.0%	0.0%	0.0%	0.14%	0.13%	0.20%	0.15%	0.06%	0.91%	0.31%	0.0%									
32	"15. ""Партия СЛОН"""	55	1	4	4	4	0	6	4	1	2	2	6	2	1	1	1	2	3	3	2	5	0	0	1	0	0									
