Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Горнозаводская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721					
1	"Число избирателей, внесенных в списки"	22384	2450	2360	2476	2675	253	328	1041	1509	738	388	1307	68	870	2066	840	488	790	555	383	314	485					
2	"Число бюллетеней, полученных участковыми комиссиями"	22490	2440	2310	2470	2640	240	320	1040	1550	730	390	1300	70	890	2120	870	530	810	580	380	350	460					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	0	0	0	0	0	0	0	0	0	0	74	0	29	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12309	1457	1364	1406	1455	140	150	589	893	368	221	640	58	329	1031	522	256	423	283	227	222	275					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1296	84	133	81	78	38	50	72	95	78	30	109	2	98	90	74	62	31	44	15	16	16					
6	Число погашенных бюллетеней	8782	899	813	983	1107	62	120	379	562	284	139	477	10	434	999	274	212	356	253	138	112	169					
7	Число бюллетеней в переносных ящиках для голосования	1399	84	133	81	78	38	50	72	95	78	30	183	2	127	90	74	62	31	44	15	16	16					
8	Число бюллетеней в стационарных ящиках для голосования	12301	1457	1363	1405	1453	140	150	589	893	368	221	640	58	326	1031	522	256	423	283	227	222	274					
9	Число недействительных бюллетеней	218	28	17	21	23	5	5	10	7	6	4	0	0	17	23	21	4	16	6	2	3	0					
10	Число действительных бюллетеней	13482	1513	1479	1465	1508	173	195	651	981	440	247	823	60	436	1098	575	314	438	321	240	235	290					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	506	50	46	56	59	15	5	30	31	18	10	20	0	4	44	25	15	30	15	10	15	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	444	49	46	56	59	7	3	22	30	12	2	17	0	4	44	14	15	25	15	6	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	205	13	45	17	29	5	3	6	3	2	4	13	1	4	19	3	7	8	15	1	3	4					
14	Число погашенных открепительных удостоверений	62	1	0	0	0	8	2	8	1	6	8	3	0	0	0	11	0	5	0	4	5	0					
15	Число открепительных удостоверений выданных ТИК	24	4	3	6	1	0	0	1	1	0	0	1	1	1	2	1	0	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	242	17	26	27	21	4	3	14	13	12	6	18	1	8	18	12	5	10	3	8	10	6					
		1.76%	1.10%	1.73%	1.81%	1.37%	2.24%	1.5%	2.11%	1.31%	2.69%	2.39%	2.18%	1.66%	1.76%	1.60%	2.01%	1.57%	2.20%	0.91%	3.30%	4.20%	2.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1002	143	151	147	142	5	7	42	40	14	3	34	0	34	196	9	1	9	14	2	4	5					
		7.31%	9.27%	10.09%	9.89%	9.27%	2.80%	3.5%	6.35%	4.04%	3.13%	1.19%	4.13%	0.0%	7.50%	17.48%	1.51%	0.31%	1.98%	4.28%	0.82%	1.68%	1.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	515	62	60	50	43	4	7	33	40	20	9	24	1	24	37	37	15	9	17	7	6	10					
		3.75%	4.02%	4.01%	3.36%	2.80%	2.24%	3.5%	4.99%	4.04%	4.48%	3.58%	2.91%	1.66%	5.29%	3.30%	6.20%	4.71%	1.98%	5.19%	2.89%	2.52%	3.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	506	87	60	65	69	4	4	18	36	4	2	19	0	20	79	7	4	8	9	3	2	6					
		3.69%	5.64%	4.01%	4.37%	4.50%	2.24%	2.0%	2.72%	3.64%	0.89%	0.79%	2.30%	0.0%	4.41%	7.04%	1.17%	1.25%	1.76%	2.75%	1.23%	0.84%	2.06%					
22	"5. ""За Русь Святую"""	69	4	5	6	7	2	0	3	3	3	1	5	2	6	5	5	3	2	1	2	2	2					
		0.50%	0.25%	0.33%	0.40%	0.45%	1.12%	0.0%	0.45%	0.30%	0.67%	0.39%	0.60%	3.33%	1.32%	0.44%	0.83%	0.94%	0.44%	0.30%	0.82%	0.84%	0.68%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	0	3	6	6	0	4	1	2	1	2	1	0	3	3	4	2	3	0	0	1	0					
		0.30%	0.0%	0.20%	0.40%	0.39%	0.0%	2.0%	0.15%	0.20%	0.22%	0.79%	0.12%	0.0%	0.66%	0.26%	0.67%	0.62%	0.66%	0.0%	0.0%	0.42%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	183	19	14	23	35	1	1	6	9	7	1	5	0	12	17	11	4	6	2	0	5	5					
		1.33%	1.23%	0.93%	1.54%	2.28%	0.56%	0.5%	0.90%	0.91%	1.56%	0.39%	0.60%	0.0%	2.64%	1.51%	1.84%	1.25%	1.32%	0.61%	0.0%	2.10%	1.72%					
25	"8. ""Народно-республиканская партия России"""	22	1	0	1	6	1	0	2	1	1	1	2	0	2	2	2	0	0	0	0	0	0					
		0.16%	0.06%	0.0%	0.06%	0.39%	0.56%	0.0%	0.30%	0.10%	0.22%	0.39%	0.24%	0.0%	0.44%	0.17%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	42	5	7	7	3	0	1	4	0	0	0	1	0	1	7	2	0	2	0	1	1	0					
		0.30%	0.32%	0.46%	0.47%	0.19%	0.0%	0.5%	0.60%	0.0%	0.0%	0.0%	0.12%	0.0%	0.22%	0.62%	0.33%	0.0%	0.44%	0.0%	0.41%	0.42%	0.0%					
27	"10. ""Аграрная партия России"""	343	43	43	37	34	0	6	17	28	11	6	15	5	14	28	10	4	13	19	4	2	4					
		2.50%	2.79%	2.87%	2.48%	2.22%	0.0%	3.0%	2.57%	2.83%	2.46%	2.39%	1.82%	8.33%	3.09%	2.49%	1.67%	1.25%	2.86%	5.81%	1.65%	0.84%	1.37%					
28	"11. ""Истинные патриоты России"""	15	2	0	1	3	1	0	1	1	1	0	3	0	0	1	1	0	0	0	0	0	0					
