Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Юрьянская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304					
1	"Число избирателей, внесенных в список"	17852	340	172	138	114	283	245	166	87	227	524	192	81	347	379	1050	913	499	381	274	2965	2124	2196	2230	1925					
2	Число полученных избирательных бюллетеней	18200	360	180	150	130	300	260	170	100	260	540	200	100	350	410	1080	950	510	390	280	3000	2130	2200	2200	1950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9825	193	105	119	75	214	143	101	69	146	292	119	60	172	196	622	509	266	289	175	1498	1080	1238	1150	994					
5	"Число избирательных бюллетеней, выданных вне помещения"	1255	9	27	1	30	21	35	30	7	38	100	41	6	53	70	90	45	121	0	34	120	147	53	92	85					
6	Число погашенных избирательных бюллетеней	7120	158	48	30	25	65	82	39	24	76	148	40	34	125	144	368	396	123	101	71	1382	903	909	958	871					
7	Число избирательных бюллетеней в переносных ящиках	1255	9	27	1	30	21	35	30	7	38	100	41	6	53	70	90	45	121	0	34	120	147	53	92	85					
8	Число бюллетеней в стационарных ящиках для голосования	9825	193	105	119	75	214	143	101	69	146	292	119	60	172	196	622	509	266	289	175	1498	1080	1238	1150	994					
9	Число недействительных избирательных бюллетеней	99	3	0	0	0	1	0	2	0	5	4	0	0	5	0	2	2	1	0	2	10	13	28	10	11					
10	Число действительных избирательных бюллетеней	10981	199	132	120	105	234	178	129	76	179	388	160	66	220	266	710	552	386	289	207	1608	1214	1263	1232	1068					
11	Число полученных открепительных  удостоверений	200	5	10	10	5	5	5	10	5	2	10	5	5	10	10	10	10	10	10	5	18	10	10	10	10					
12	Число выданных открепительных удостоверений	89	0	2	4	5	3	5	0	5	0	4	1	1	0	5	4	4	2	1	2	15	5	10	8	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	2	0	2	0	0	3	1	2	0	4	2	0	3	1	8	8	1	2	1	10	12	4	2	3					
14	Число неиспользованных открепительных удостоверений	111	5	8	6	0	2	0	10	0	2	6	4	4	10	5	6	6	8	9	3	3	5	0	2	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
