Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Новомосковская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647					
1	"Число избирателей, внесенных в список избирателей"	120289	1695	889	1964	2261	2150	1806	2113	2359	2156	1976	2158	2032	2523	145	2497	2570	2715	1962	2201	2561	2639	2121	1498	2030	1947	1453	2189	2052	2114	1737	2422	1950	1971	1978	2141	2051	2250	2138	2082	2521	2448	1936	2359	2137	2110	2114	2034	1288	352	2042	731	1953	1979	1748	1137	1277	260	199	469	290	472	261	1281	1589	262	282	1053	366	117	187	245	796	752	414	391	619	40	282					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117613	1650	850	1950	2300	2100	1750	2085	2300	2048	2000	2200	2000	2400	160	2500	2500	2700	1900	2200	2500	2600	2000	1500	2000	1900	1400	2000	2000	2000	1700	2400	1950	1950	2000	2000	2000	2200	2000	2000	2500	2500	1900	2000	2000	2000	2000	2000	1250	330	2000	650	1900	2000	1700	1100	1250	260	190	470	280	450	250	1250	1600	250	290	980	360	105	170	235	820	770	400	370	1000	40	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	82610	1506	364	1156	1248	1525	1233	1723	1291	1667	1470	1920	1622	1739	127	1826	1436	1534	1069	1415	1404	2491	1553	1141	1413	1469	1060	1476	1826	1341	1204	1846	1732	1393	1844	1233	973	1800	1208	1668	2341	1873	1678	1946	1318	979	1066	1340	850	227	866	360	1494	1558	1192	914	892	175	113	248	167	167	111	730	837	126	194	519	157	37	109	183	407	350	253	269	296	40	282					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6395	54	131	98	144	190	57	72	142	128	109	71	72	111	0	56	80	49	61	63	85	106	68	52	91	79	60	136	74	65	68	87	51	57	46	104	88	52	82	59	69	72	66	54	53	60	51	55	51	3	132	92	69	49	129	97	77	45	74	135	76	133	82	138	125	75	45	303	51	57	18	8	127	107	55	43	321	0	0					
6	Число погашенных избирательных бюллетеней	28608	90	355	696	908	385	460	290	867	253	421	209	306	550	33	618	984	1117	770	722	1011	3	379	307	496	352	280	388	100	594	428	467	167	500	110	663	939	348	710	273	90	555	156	0	629	961	883	605	349	100	1002	198	337	393	379	89	281	40	3	87	37	150	57	382	638	49	51	158	152	11	43	44	286	313	92	58	383	0	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6395	54	131	98	144	190	57	72	142	128	109	71	72	111	0	56	80	49	61	63	85	106	68	52	91	79	60	136	74	65	68	87	51	57	46	104	88	52	82	59	69	72	66	54	53	60	51	55	51	3	132	92	69	49	129	97	77	45	74	135	76	133	82	138	125	75	45	303	51	57	18	8	127	107	55	43	321	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82587	1506	364	1156	1247	1525	1233	1723	1291	1667	1470	1920	1622	1739	127	1822	1436	1534	1069	1415	1402	2480	1553	1141	1413	1469	1060	1476	1826	1341	1204	1846	1732	1388	1844	1233	973	1800	1208	1668	2341	1873	1678	1946	1318	979	1066	1340	850	227	866	360	1494	1558	1192	914	892	175	113	248	167	167	111	730	837	126	194	519	157	37	109	183	407	350	253	269	296	40	282					
9	Число недействительных избирательных бюллетеней	1184	10	8	17	20	1	7	23	29	18	19	17	21	21	0	13	21	32	21	66	28	19	27	19	65	15	20	36	27	19	18	21	24	16	19	19	30	21	13	19	18	25	18	18	14	23	10	14	18	0	20	6	22	32	14	11	1	0	3	0	5	1	3	12	24	1	1	4	0	0	3	1	5	2	1	2	10	0	3					
10	Число действительных избирательных бюллетеней	87798	1550	487	1237	1371	1714	1283	1772	1404	1777	1560	1974	1673	1829	127	1865	1495	1551	1109	1412	1459	2567	1594	1174	1439	1533	1100	1576	1873	1387	1254	1912	1759	1429	1871	1318	1031	1831	1277	1708	2392	1920	1726	1982	1357	1016	1107	1381	883	230	978	446	1541	1575	1307	1000	968	220	184	383	238	299	190	856	938	200	238	818	208	94	124	190	529	455	307	310	607	40	279					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1917	25	22	24	35	25	27	35	33	36	38	55	35	34	19	46	40	41	33	41	41	40	35	20	30	20	23	36	45	30	27	35	32	23	38	25	33	20	33	31	45	39	18	36	31	30	30	24	15	3	38	13	35	43	20	15	15	10	3	8	6	8	3	18	56	3	3	15	3	5	3	11	13	5	30	3	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1912	25	22	24	35	25	27	35	33	36	38	55	35	33	19	46	40	41	33	41	41	40	35	20	30	20	23	36	45	30	27	35	32	23	38	25	33	20	33	31	45	39	18	36	31	30	28	24	15	1	38	13	35	43	20	15	15	10	3	8	6	8	3	18	56	3	3	15	3	5	3	11	13	5	30	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2306	26	19	30	19	29	68	93	35	138	49	49	34	106	33	51	24	26	17	19	25	35	87	20	30	33	43	43	21	21	25	29	22	21	23	57	31	31	22	24	14	30	21	47	54	33	23	22	25	6	51	59	15	12	14	8	10	4	7	7	7	12	10	8	13	9	10	28	11	10	10	8	6	7	4	4	22	23	134					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	783	3	6	13	19	22	20	15	8	16	42	27	18	16	61	26	11	23	12	6	14	15	15	9	22	15	7	13	18	16	9	14	20	8	11	16	15	14	10	10	18	21	9	15	16	10	10	3	3	0	1	2	6	3	6	0	7	1	1	1	2	2	0	1	5	1	1	1	0	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12153	172	99	314	347	250	236	315	311	274	237	267	315	205	14	291	248	220	196	225	250	306	223	152	176	260	174	270	204	249	199	265	148	195	172	240	169	196	181	285	233	235	188	208	138	158	208	183	119	22	159	46	66	134	146	100	98	16	26	40	22	36	9	109	115	20	23	85	26	11	6	17	55	59	25	28	112	9	13					
		13.66%	11.03%	20.00%	25.04%	24.95%	14.58%	18.29%	17.55%	21.70%	15.26%	15.01%	13.41%	18.60%	11.08%	11.02%	15.50%	16.36%	13.90%	17.35%	15.22%	16.81%	11.83%	13.76%	12.74%	11.70%	16.80%	15.54%	16.75%	10.74%	17.71%	15.64%	13.71%	8.30%	13.49%	9.10%	17.95%	15.93%	10.58%	14.03%	16.50%	9.67%	12.08%	10.78%	10.40%	10.07%	15.21%	18.62%	13.12%	13.21%	9.57%	15.93%	10.18%	4.22%	8.34%	11.05%	9.89%	10.11%	7.27%	13.90%	10.44%	9.05%	12.00%	4.66%	12.56%	11.95%	9.95%	9.62%	10.34%	12.50%	11.70%	4.72%	8.90%	10.30%	12.91%	8.12%	8.97%	18.15%	22.50%	4.61%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9001	117	35	111	146	208	116	112	148	157	139	144	109	190	39	140	200	224	181	141	186	180	203	106	131	114	121	216	143	140	120	267	129	152	152	139	156	170	141	151	209	184	153	191	113	150	147	133	84	49	166	49	189	127	136	109	123	26	14	26	23	41	11	99	132	11	25	89	34	5	15	62	67	65	38	32	73	1	26					
		10.12%	7.50%	7.07%	8.85%	10.50%	12.13%	8.99%	6.24%	10.33%	8.75%	8.80%	7.23%	6.43%	10.27%	30.71%	7.45%	13.19%	14.15%	16.02%	9.54%	12.51%	6.96%	12.52%	8.89%	8.71%	7.36%	10.80%	13.40%	7.53%	9.96%	9.43%	13.81%	7.23%	10.52%	8.04%	10.40%	14.70%	9.18%	10.93%	8.74%	8.67%	9.46%	8.77%	9.55%	8.24%	14.44%	13.16%	9.53%	9.32%	21.30%	16.63%	10.84%	12.09%	7.90%	10.30%	10.78%	12.69%	11.82%	7.49%	6.79%	9.47%	13.67%	5.70%	11.41%	13.72%	5.47%	10.46%	10.83%	16.35%	5.32%	11.81%	32.46%	12.55%	14.22%	12.34%	10.26%	11.83%	2.50%	9.22%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	751	9	5	18	15	14	12	10	18	19	17	12	11	14	1	24	21	19	10	12	24	19	10	8	10	11	1	16	20	13	14	12	10	19	13	9	7	18	11	13	13	16	7	17	10	16	16	7	8	0	10	2	13	12	12	11	7	0	1	3	2	2	2	7	8	0	0	12	1	0	0	2	3	2	0	1	6	1	2					
