Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Багаевская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК  132					
1	"Число избирателей, внесенных в списки"	26971	2534	2672	2564	2376	2574	605	692	275	312	936	466	852	2326	855	898	423	1142	175	354	1306	633	419	558	812	212					
2	"Число бюллетеней, полученных участковыми комиссиями"	26809	2523	2707	2525	2338	2490	601	694	269	320	939	460	855	2337	830	877	400	1132	175	350	1341	630	412	551	816	237					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14169	1187	1386	985	1169	1145	254	424	179	170	649	312	552	1143	502	533	258	563	102	227	725	337	244	407	556	160					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1028	48	63	83	62	40	123	19	8	11	23	25	48	85	28	22	46	74	17	20	69	37	26	12	26	13					
6	Число погашенных бюллетеней	11612	1288	1258	1457	1107	1305	224	251	82	139	267	123	255	1109	300	322	96	495	56	103	547	256	142	132	234	64					
7	Число бюллетеней в переносных ящиках для голосования	1028	48	63	83	62	40	123	19	8	11	23	25	48	85	28	22	46	74	17	20	69	37	26	12	26	13					
8	Число бюллетеней в стационарных ящиках для голосования	14097	1187	1378	985	1107	1145	254	422	179	170	649	312	552	1143	502	533	258	563	102	227	725	337	244	407	556	160					
9	Число недействительных бюллетеней	288	10	21	18	11	29	2	13	2	8	24	11	20	18	6	7	7	12	6	5	6	6	7	10	29	0					
10	Число действительных бюллетеней	14837	1225	1420	1050	1158	1156	375	428	185	173	648	326	580	1210	524	548	297	625	113	242	788	368	263	409	553	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	50	50	40	30	30	10	15	10	10	15	10	15	30	15	15	15	25	10	10	25	15	15	15	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	123	22	11	13	5	7	0	6	0	0	6	1	5	0	2	1	8	3	0	0	8	15	3	6	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	13	12	3	2	3	5	2	6	4	2	2	3	5	2	5	7	7	4	3	4	6	5	3	4	3					
14	Число погашенных открепительных удостоверений	377	28	39	27	25	23	10	9	10	10	9	9	10	30	13	14	7	22	10	10	17	0	12	9	15	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	379	16	19	14	18	19	11	24	4	5	17	19	12	23	23	20	8	19	3	8	34	12	12	14	19	6					
		2.50%	1.29%	1.31%	1.31%	1.53%	1.60%	2.91%	5.44%	2.13%	2.76%	2.52%	5.63%	2.0%	1.87%	4.33%	3.60%	2.63%	2.98%	2.52%	3.23%	4.28%	3.20%	4.44%	3.34%	3.26%	3.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	276	25	30	17	15	9	8	12	3	5	11	8	9	27	9	4	4	15	7	3	11	10	6	9	16	3					
		1.82%	2.02%	2.08%	1.59%	1.28%	0.75%	2.12%	2.72%	1.60%	2.76%	1.63%	2.37%	1.5%	2.19%	1.69%	0.72%	1.31%	2.35%	5.88%	1.21%	1.38%	2.67%	2.22%	2.14%	2.74%	1.73%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	400	43	40	28	37	32	10	20	11	2	12	10	23	23	12	10	8	9	0	5	15	13	7	9	12	9					
		2.64%	3.48%	2.77%	2.62%	3.16%	2.70%	2.65%	4.53%	5.88%	1.10%	1.78%	2.96%	3.83%	1.87%	2.26%	1.80%	2.63%	1.41%	0.0%	2.02%	1.88%	3.47%	2.59%	2.14%	2.06%	5.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	257	33	17	25	34	11	3	7	8	1	7	0	2	10	2	12	3	11	4	10	12	7	5	24	7	2					
		1.69%	2.67%	1.17%	2.34%	2.90%	0.92%	0.79%	1.58%	4.27%	0.55%	1.04%	0.0%	0.33%	0.81%	0.37%	2.16%	0.98%	1.72%	3.36%	4.04%	1.51%	1.87%	1.85%	5.72%	1.20%	1.15%					
22	"5. ""За Русь Святую"""	110	4	15	4	14	10	4	1	0	1	1	4	1	5	3	6	4	13	2	1	3	5	3	6	0	0					
		0.72%	0.32%	1.04%	0.37%	1.19%	0.84%	1.06%	0.22%	0.0%	0.55%	0.14%	1.18%	0.16%	0.40%	0.56%	1.08%	1.31%	2.04%	1.68%	0.40%	0.37%	1.33%	1.11%	1.43%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	2	4	1	2	2	2	2	0	0	2	0	2	0	1	2	2	2	2	0	3	5	1	0	3	1					
		0.27%	0.16%	0.27%	0.09%	0.17%	0.16%	0.53%	0.45%	0.0%	0.0%	0.29%	0.0%	0.33%	0.0%	0.18%	0.36%	0.65%	0.31%	1.68%	0.0%	0.37%	1.33%	0.37%	0.0%	0.51%	0.57%					
24	"7. ""Новый курс - Автомобильная Россия"""	93	4	9	13	10	13	2	1	0	1	4	3	3	9	2	5	0	4	0	1	2	3	0	3	0	1					
		0.61%	0.32%	0.62%	1.21%	0.85%	1.09%	0.53%	0.22%	0.0%	0.55%	0.59%	0.89%	0.5%	0.73%	0.37%	0.90%	0.0%	0.62%	0.0%	0.40%	0.25%	0.80%	0.0%	0.71%	0.0%	0.57%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	0	0	1	0	1	0	0	1	1	2	1	2	2	0	1	0	1	1	2	0	0	2	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.22%	0.0%	0.0%	0.14%	0.29%	0.33%	0.08%	0.37%	0.36%	0.0%	0.15%	0.0%	0.40%	0.12%	0.53%	0.0%	0.0%	0.34%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	1	4	0	6	2	0	2	0	1	0	2	1	0	0	4	1	2	0	0	5	1	0	1	3	0					
		0.23%	0.08%	0.27%	0.0%	0.51%	0.16%	0.0%	0.45%	0.0%	0.55%	0.0%	0.59%	0.16%	0.0%	0.0%	0.72%	0.32%	0.31%	0.0%	0.0%	0.62%	0.26%	0.0%	0.23%	0.51%	0.0%					
27	"10. ""Аграрная партия России"""	673	22	47	47	45	39	4	14	10	7	49	14	25	51	17	41	11	62	6	9	42	44	11	39	13	4					
		4.44%	1.78%	3.26%	4.40%	3.84%	3.29%	1.06%	3.17%	5.34%	3.86%	7.29%	4.15%	4.16%	4.15%	3.20%	7.38%	3.61%	9.73%	5.04%	3.64%	5.28%	11.76%	4.07%	9.30%	2.23%	2.31%					
28	"11. ""Истинные патриоты России"""	44	2	3	1	2	7	1	2	0	1	0	2	0	6	4	0	0	0	0	0	1	2	2	1	7	0					
		0.29%	0.16%	0.20%	0.09%	0.17%	0.59%	0.26%	0.45%	0.0%	0.55%	0.0%	0.59%	0.0%	0.48%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.53%	0.74%	0.23%	1.20%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	308	27	19	27	14	32	6	9	5	0	15	11	9	21	16	10	12	17	7	3	11	5	4	16	9	3					
		2.03%	2.18%	1.31%	2.52%	1.19%	2.70%	1.59%	2.04%	2.67%	0.0%	2.23%	3.26%	1.5%	1.71%	3.01%	1.80%	3.94%	2.66%	5.88%	1.21%	1.38%	1.33%	1.48%	3.81%	1.54%	1.73%					
30	"13. ""Демократическая партия России"""	48	1	6	0	5	4	0	1	0	0	1	1	6	3	1	0	1	1	1	0	3	4	3	2	4	0					
		0.31%	0.08%	0.41%	0.0%	0.42%	0.33%	0.0%	0.22%	0.0%	0.0%	0.14%	0.29%	1.0%	0.24%	0.18%	0.0%	0.32%	0.15%	0.84%	0.0%	0.37%	1.06%	1.11%	0.47%	0.68%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	44	4	0	3	1	5	1	1	0	3	5	0	4	4	1	0	0	1	0	2	0	0	0	4	4	1					
		0.29%	0.32%	0.0%	0.28%	0.08%	0.42%	0.26%	0.22%	0.0%	1.65%	0.74%	0.0%	0.66%	0.32%	0.18%	0.0%	0.0%	0.15%	0.0%	0.80%	0.0%	0.0%	0.0%	0.95%	0.68%	0.57%					
32	"15. ""Партия СЛОН"""	18	1	1	0	1	3	0	0	0	0	2	0	0	2	0	1	0	1	0	1	2	0	0	1	1	1					
		0.11%	0.08%	0.06%	0.0%	0.08%	0.25%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.16%	0.0%	0.18%	0.0%	0.15%	0.0%	0.40%	0.25%	0.0%	0.0%	0.23%	0.17%	0.57%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1254	122	137	113	139	130	34	37	16	6	27	21	36	68	20	44	25	50	2	10	79	11	12	30	60	25					
		8.29%	9.87%	9.50%	10.58%	11.89%	10.97%	9.01%	8.39%	8.55%	3.31%	4.01%	6.23%	6.0%	5.53%	3.77%	7.92%	8.22%	7.84%	1.68%	4.04%	9.94%	2.94%	4.44%	7.15%	10.30%	14.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	3	2	4	3	4	1	2	2	1	4	0	0	0	0	3	0	4	0	0	2	2	0	0	1	1					
		0.25%	0.24%	0.13%	0.37%	0.25%	0.33%	0.26%	0.45%	1.06%	0.55%	0.59%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.62%	0.0%	0.0%	0.25%	0.53%	0.0%	0.0%	0.17%	0.57%					
35	"18. ""ЛДПР"""	1909	161	205	156	162	150	60	46	9	14	93	39	93	164	71	52	24	86	17	30	108	28	19	51	47	24					
		12.62%	13.03%	14.22%	14.60%	13.85%	12.65%	15.91%	10.43%	4.81%	7.73%	13.83%	11.57%	15.5%	13.35%	13.39%	9.36%	7.89%	13.50%	14.28%	12.14%	13.60%	7.48%	7.03%	12.17%	8.07%	13.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	277	38	36	20	26	28	4	2	4	2	11	5	6	7	5	8	11	7	3	6	10	7	5	10	10	6					
		1.83%	3.07%	2.49%	1.87%	2.22%	2.36%	1.06%	0.45%	2.13%	1.10%	1.63%	1.48%	1.0%	0.57%	0.94%	1.44%	3.61%	1.09%	2.52%	2.42%	1.25%	1.87%	1.85%	2.38%	1.71%	3.46%					
37	"20. ""Политическая партия ""Единая Россия"""	5545	480	522	365	334	373	157	178	69	83	274	140	210	475	240	201	107	207	32	117	316	141	102	120	240	62					
		36.66%	38.86%	36.22%	34.17%	28.57%	31.47%	41.64%	40.36%	36.89%	45.85%	40.77%	41.54%	35.0%	38.68%	45.28%	36.21%	35.19%	32.49%	26.89%	47.36%	39.79%	37.70%	37.77%	28.63%	41.23%	35.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	57	9	7	6	0	2	0	0	0	0	2	3	4	8	1	3	1	3	1	0	3	1	1	0	2	0					
		0.37%	0.72%	0.48%	0.56%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.29%	0.89%	0.66%	0.65%	0.18%	0.54%	0.32%	0.47%	0.84%	0.0%	0.37%	0.26%	0.37%	0.0%	0.34%	0.0%					
39	"22. ""Развитие предпринимательства"""	34	2	3	4	1	1	0	0	0	0	2	0	0	6	0	3	0	1	0	0	2	1	1	1	4	2					
		0.22%	0.16%	0.20%	0.37%	0.08%	0.08%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.48%	0.0%	0.54%	0.0%	0.15%	0.0%	0.0%	0.25%	0.26%	0.37%	0.23%	0.68%	1.15%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2352	167	235	162	229	243	56	56	37	31	68	30	117	236	75	105	65	86	12	13	104	48	57	33	69	18					
		15.55%	13.52%	16.30%	15.16%	19.58%	20.50%	14.85%	12.69%	19.78%	17.12%	10.11%	8.90%	19.5%	19.21%	14.15%	18.91%	21.38%	13.50%	10.08%	5.26%	13.09%	12.83%	21.11%	7.87%	11.85%	10.40%					
																																
41	Против всех	625	58	59	40	60	36	11	10	7	9	40	13	15	61	19	12	10	23	14	22	19	16	12	35	20	4					
		4.13%	4.69%	4.09%	3.74%	5.13%	3.03%	2.91%	2.26%	3.74%	4.97%	5.95%	3.85%	2.5%	4.96%	3.58%	2.16%	3.28%	3.61%	11.76%	8.90%	2.39%	4.27%	4.44%	8.35%	3.43%	2.31%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
