Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Грайворонская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22049	1339	1245	1199	1252	165	623	1190	433	697	859	996	333	309	316	1447	532	306	516	713	571	198	362	227	226	465	166	230	437	1003	260	333	492	123	485	115	544	1342									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22400	1337	1295	1217	1260	165	620	1226	431	707	860	1018	336	317	322	1472	546	318	528	720	576	204	379	232	230	470	168	232	455	1017	261	314	509	129	491	119	562	1357									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14822	907	758	587	822	100	498	679	173	456	324	480	228	225	216	896	359	166	393	603	475	162	307	187	148	330	104	169	307	764	210	228	345	81	360	97	415	1263									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2267	25	48	139	35	23	69	117	131	111	80	106	40	42	25	158	35	66	92	63	40	23	39	38	31	61	32	32	73	139	30	58	56	28	61	15	46	60									
6	Число погашенных избирательных бюллетеней	5311	405	489	491	403	42	53	430	127	140	456	432	68	50	81	418	152	86	43	54	61	19	33	7	51	79	32	31	75	114	21	28	108	20	70	7	101	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2267	25	48	139	35	23	69	117	131	111	80	106	40	42	25	158	35	66	92	63	40	23	39	38	31	61	32	32	73	139	30	58	56	28	61	15	46	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14822	907	758	587	822	100	498	679	173	456	324	480	228	225	216	896	359	166	393	603	475	162	307	187	148	330	104	169	307	764	210	228	345	81	360	97	415	1263									
9	Число недействительных избирательных бюллетеней	162	12	2	6	9	0	4	11	2	13	6	8	7	3	2	12	4	0	0	8	2	0	0	0	4	0	0	4	1	2	0	4	9	0	3	1	4	19									
10	Число действительных избирательных бюллетеней	16927	920	804	720	848	123	563	785	302	554	398	578	261	264	239	1042	390	232	485	658	513	185	346	225	175	391	136	197	379	901	240	282	392	109	418	111	457	1304									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	293	20	20	15	10	3	8	15	3	10	10	15	3	5	5	10	8	5	5	10	10	6	5	5	3	5	3	5	5	10	5	5	5	3	5	3	5	25									
