Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Куртамышская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в список"	27427	1998	1689	1068	758	1151	1177	1925	941	1096	1310	454	393	163	633	615	166	302	132	455	110	377	123	129	634	144	66	160	563	58	331	90	48	359	200	174	199	549	79	341	107	911	359	196	272	451	112	264	452	647	219	101	100	597	862	100	119	134	138	80	46					
2	Число полученных избирательных бюллетеней	27650	1800	1600	1100	700	1100	1200	1700	900	1000	1300	500	420	180	650	620	180	330	140	450	120	400	140	150	680	160	80	180	600	70	340	100	60	350	220	190	220	550	100	350	120	1000	370	210	290	480	130	300	450	680	220	110	120	620	900	120	130	150	160	100	60					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16640	1070	899	591	398	623	637	981	532	723	712	297	204	115	421	382	107	212	78	286	81	259	76	93	380	106	53	121	278	40	240	68	41	278	162	116	132	405	73	229	69	501	202	118	181	333	87	191	314	414	151	71	81	407	525	93	84	94	116	69	40					
5	"Число избирательных бюллетеней, выданных вне помещения"	2023	74	81	49	25	45	93	90	64	18	81	35	98	13	60	61	12	25	23	38	5	26	20	19	44	3	3	11	74	15	15	3	3	37	25	28	36	23	5	21	8	106	59	29	28	37	10	29	63	47	29	20	8	26	73	7	9	26	5	0	3					
6	Число погашенных избирательных бюллетеней	8987	656	620	460	277	432	470	629	304	259	507	168	118	52	169	177	61	93	39	126	34	115	44	38	256	51	24	48	248	15	85	29	16	35	33	46	52	122	22	100	43	393	109	63	81	110	33	80	73	219	40	19	31	187	302	20	37	30	39	31	17					
7	Число избирательных бюллетеней в переносных ящиках	2023	74	81	49	25	45	93	90	64	18	81	35	98	13	60	61	12	25	23	38	5	26	20	19	44	3	3	11	74	15	15	3	3	37	25	28	36	23	5	21	8	106	59	29	28	37	10	29	63	47	29	20	8	26	73	7	9	26	5	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	16636	1070	899	591	398	622	637	981	531	723	712	297	204	115	421	380	107	212	78	286	81	259	76	93	380	106	53	121	278	40	240	68	41	278	162	116	132	405	73	229	69	501	202	118	181	333	87	191	314	414	151	71	81	407	525	93	84	94	116	69	40					
9	Число недействительных избирательных бюллетеней	111	16	11	7	1	4	4	5	1	2	1	4	1	2	4	3	1	0	0	1	1	2	0	0	1	0	0	1	3	0	2	0	0	0	1	0	0	1	0	1	0	2	1	0	0	4	2	1	1	3	0	0	0	2	5	0	2	3	1	2	1					
10	Число действительных избирательных бюллетеней	18548	1128	969	633	422	663	726	1066	594	739	792	328	301	126	477	438	118	237	101	323	85	283	96	112	423	109	56	131	349	55	253	71	44	315	186	144	168	427	78	249	77	605	260	147	209	366	95	219	376	458	180	91	89	431	593	100	91	117	120	67	42					
11	Число полученных открепительных  удостоверений	700	20	20	20	20	10	20	20	20	20	20	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	187	13	12	5	7	1	10	18	2	8	8	3	3	0	13	8	0	8	0	6	0	2	0	1	1	0	0	0	4	0	3	0	0	5	1	0	0	6	0	1	0	8	1	5	3	3	0	0	6	3	0	0	1	5	2	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	2	5	7	5	9	6	5	4	10	1	2	0	0	3	2	0	3	0	1	0	0	0	1	1	4	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	1	0	0	3	0	0	0	1	0	2	2	0	2	4	0	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	513	7	8	15	13	9	10	2	18	12	12	7	7	10	7	2	10	2	10	4	10	8	10	9	9	10	10	10	6	10	7	10	10	5	9	10	10	4	10	9	10	2	9	5	7	7	10	10	4	7	10	10	9	5	8	10	9	10	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	463	24	32	23	14	22	23	28	21	41	25	5	5	6	5	9	1	6	0	8	0	11	4	1	8	5	0	4	1	1	3	0	0	2	2	3	3	8	0	9	1	12	11	3	2	3	4	6	4	12	1	3	4	7	20	0	2	2	1	2	0					
		2.48%	2.10%	3.27%	3.59%	3.31%	3.30%	3.15%	2.61%	3.53%	5.53%	3.15%	1.51%	1.66%	4.69%	1.04%	2.04%	0.84%	2.53%	0.00%	2.47%	0.00%	3.86%	4.17%	0.89%	1.89%	4.59%	0.00%	3.03%	0.28%	1.82%	1.18%	0.00%	0.00%	0.63%	1.07%	2.08%	1.79%	1.87%	0.00%	3.60%	1.30%	1.98%	4.21%	2.04%	0.96%	0.81%	4.12%	2.73%	1.06%	2.60%	0.56%	3.30%	4.49%	1.62%	3.34%	0.00%	2.15%	1.67%	0.83%	2.90%	0.00%					
19	. Малышкин Олег Александрович	814	60	26	27	17	19	23	46	38	19	22	16	11	4	12	16	9	20	1	19	5	22	7	8	38	3	3	7	12	0	7	3	0	9	14	9	12	13	0	19	14	19	23	9	7	25	8	6	7	28	11	2	7	30	15	1	3	0	1	0	2					
		4.36%	5.24%	2.65%	4.22%	4.02%	2.85%	3.15%	4.30%	6.39%	2.56%	2.77%	4.82%	3.64%	3.12%	2.49%	3.63%	7.56%	8.44%	0.99%	5.86%	5.81%	7.72%	7.29%	7.14%	8.96%	2.75%	5.36%	5.30%	3.41%	0.00%	2.75%	4.23%	0.00%	2.86%	7.49%	6.25%	7.14%	3.04%	0.00%	7.60%	18.18%	3.13%	8.81%	6.12%	3.35%	6.76%	8.25%	2.73%	1.86%	6.07%	6.11%	2.20%	7.87%	6.93%	2.51%	1.00%	3.23%	0.00%	0.83%	0.00%	4.65%					
20	. Миронов Сергей Михайлович	159	8	8	7	3	3	10	9	9	7	12	4	3	2	3	2	2	3	1	5	0	1	0	2	6	0	0	1	3	1	2	1	0	1	1	1	1	4	0	2	1	5	3	0	0	6	0	1	1	5	1	0	0	3	2	0	0	3	0	0	0					
