Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Усть-Канская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №242									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11077	315	266	147	350	79	93	217	166	399	111	1684	516	783	1053	95	133	1222	134	367	85	469	95	143	587	1568									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10800	290	271	147	344	80	92	213	167	402	113	1565	513	771	1051	95	133	1203	131	365	85	467	99	143	610	1450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5754	141	154	74	186	48	57	138	119	298	102	724	259	481	500	55	69	647	83	193	63	249	58	91	310	655									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	287	10	10	4	10	3	10	6	3	8	0	16	16	10	25	4	0	18	6	10	4	18	3	4	20	69									
6	Число погашенных избирательных бюллетеней	4759	139	107	69	148	29	25	69	45	96	11	825	238	280	526	36	64	538	42	162	18	200	38	48	280	726									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	287	10	10	4	10	3	10	6	3	8	0	16	16	10	25	4	0	18	6	10	4	18	3	4	20	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5754	141	154	74	186	48	57	138	119	298	102	724	259	481	500	55	69	647	83	193	63	249	58	91	310	655									
9	Число недействительных избирательных бюллетеней	136	2	5	1	0	0	2	3	5	0	2	13	5	17	13	1	5	19	2	2	0	7	0	2	6	24									
10	Число действительных избирательных бюллетеней	5905	149	159	77	196	51	65	141	117	306	100	727	270	474	512	58	64	646	87	201	67	260	61	93	324	700									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	189	3	5	3	5	3	3	3	3	5	3	38	10	10	15	3	3	15	3	3	3	5	3	3	5	34									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	1	5	0	0	0	0	0	2	2	0	26	10	1	3	0	1	11	0	1	0	5	3	0	3	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	7	2	0	5	0	2	1	9	1	1	13	5	15	3	1	1	6	4	3	0	2	1	1	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	85	2	0	3	5	3	3	3	1	3	3	12	0	9	12	3	2	4	3	2	3	0	0	3	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	1	0	0	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	193	5	3	1	5	2	4	4	3	6	0	27	7	32	23	3	3	23	3	1	3	1	1	2	12	19									
		3.19%	3.31%	1.83%	1.28%	2.55%	3.92%	5.97%	2.78%	2.46%	1.96%	0.00%	3.65%	2.55%	6.52%	4.38%	5.08%	4.35%	3.46%	3.37%	0.49%	4.48%	0.37%	1.64%	2.11%	3.64%	2.62%									
