Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Калачеевская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43579	2156	2107	625	2245	641	2366	2452	2339	1230	315	2482	1583	1353	1453	715	434	513	1716	1264	577	1489	234	235	1731	1439	438	1781	1221	378	405	589	300	350	245	599	546	308	233	1055	735	434	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44200	2150	2110	627	2170	638	2374	2458	2341	1257	310	2530	1609	1374	1479	749	437	524	1761	1312	596	1492	240	236	1735	1477	451	1799	1242	422	412	606	304	364	275	630	561	323	236	1084	751	444	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19991	926	744	221	736	375	1561	686	897	363	154	1015	571	419	486	493	267	314	696	761	239	489	106	93	836	629	255	774	450	291	186	467	254	200	174	428	360	175	159	787	593	222	139									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4525	116	132	55	250	31	172	145	71	178	47	250	63	93	170	127	22	85	254	259	237	209	31	29	190	181	28	50	184	21	78	78	24	46	22	65	73	58	32	174	97	58	40									
6	Число погашенных избирательных бюллетеней	19684	1108	1234	351	1184	232	641	1627	1373	716	109	1265	975	862	823	129	148	125	811	292	120	794	103	114	709	667	168	975	608	110	148	61	26	118	79	137	128	90	45	123	61	164	131									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4525	116	132	55	250	31	172	145	71	178	47	250	63	93	170	127	22	85	254	259	237	209	31	29	190	181	28	50	184	21	78	78	24	46	22	65	73	58	32	174	97	58	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19984	926	743	220	736	375	1561	686	892	363	154	1015	571	419	486	493	267	314	696	761	239	489	106	93	836	629	255	774	450	291	186	467	254	200	174	428	360	175	159	787	593	222	139									
9	Число недействительных избирательных бюллетеней	283	16	11	7	16	9	0	22	9	3	2	3	12	7	18	6	0	6	23	2	1	14	1	1	4	7	1	13	20	0	21	5	1	1	0	0	4	3	3	4	3	3	1									
10	Число действительных избирательных бюллетеней	24226	1026	864	268	970	397	1733	809	954	538	199	1262	622	505	638	614	289	393	927	1018	475	684	136	121	1022	803	282	811	614	312	243	540	277	245	196	493	429	230	188	957	687	277	178									
