Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Казань, Кировская"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138					
1	"Число избирателей, внесенных в списки избирателей"	81092	1730	2595	2752	412	2325	2154	2590	2460	1635	1815	2320	2073	1857	2112	2351	2178	1942	1672	1133	1737	2309	1912	2858	2443	1855	533	1215	1994	1945	2007	1073	536	892	1120	1035	1889	2352	2341	2661	2541	1961	1823	325	794	167	535	83	50					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	74800	1500	2300	2500	350	2100	2000	2400	2200	1400	1700	2200	1900	1600	2000	2200	2000	1900	1500	1000	1600	2200	1700	2400	2300	1700	500	900	1800	1800	2000	1000	450	850	1400	1000	1800	2200	2200	2500	2400	1800	1600	300	700	200	600	100	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63939	1343	2090	2164	327	1784	1868	2002	1870	1182	1412	1993	1622	1432	1661	1841	1386	1714	1344	833	1242	1872	1508	2331	1914	1444	414	868	1544	1595	1479	799	425	711	1076	878	1577	1921	1790	2271	2010	1357	1428	200	588	167	535	77	50					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2378	27	89	48	4	80	44	174	65	52	82	55	73	61	43	92	60	47	50	37	37	52	40	42	41	37	29	15	58	30	81	36	10	35	44	56	48	57	49	79	48	45	137	63	26	0	0	0	0					
6	Число погашенных избирательных бюллетеней	8483	130	121	288	19	236	88	224	265	166	206	152	205	107	296	267	554	139	106	130	321	276	152	27	345	219	57	17	198	175	440	165	15	104	280	66	175	222	361	150	342	398	35	37	86	33	65	23	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2378	27	89	48	4	80	44	174	65	52	82	55	73	61	43	92	60	47	50	37	37	52	40	42	41	37	29	15	58	30	81	36	10	35	44	56	48	57	49	79	48	45	137	63	26	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63931	1343	2090	2164	327	1784	1868	2002	1870	1179	1412	1992	1622	1432	1661	1841	1383	1714	1344	833	1242	1872	1508	2331	1914	1444	414	868	1544	1595	1479	798	425	711	1076	878	1577	1921	1790	2271	2010	1357	1428	200	588	167	535	77	50					
9	Число недействительных избирательных бюллетеней	643	21	21	14	7	7	0	13	2	12	10	34	17	16	16	8	20	20	2	2	16	14	28	22	28	57	0	2	9	68	9	13	9	5	3	8	11	10	25	5	0	14	10	3	9	5	2	16	0					
10	Число действительных избирательных бюллетеней	65666	1349	2158	2198	324	1857	1912	2163	1933	1219	1484	2013	1678	1477	1688	1925	1423	1741	1392	868	1263	1910	1520	2351	1927	1424	443	881	1593	1557	1551	821	426	741	1117	926	1614	1968	1814	2345	2058	1388	1555	260	605	162	533	61	50					
