Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Макушинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14359	897	734	892	1132	638	782	730	878	302	176	461	92	100	432	112	146	511	664	555	242	347	165	237	509	368	678	579	388	169	176	267									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14400	850	750	875	1150	650	800	725	875	325	175	475	100	100	425	100	150	500	675	550	250	350	150	225	525	375	675	575	400	175	175	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5849	389	303	368	451	161	230	217	299	120	85	220	47	61	174	59	51	193	269	264	103	140	113	125	282	204	237	195	158	71	116	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	728	28	27	34	21	22	46	24	16	36	8	24	0	0	38	14	23	21	29	19	14	18	14	22	34	43	40	54	28	10	7	14									
6	Число погашенных избирательных бюллетеней	7823	433	420	473	678	467	524	484	560	169	82	231	53	39	213	27	76	286	377	267	133	192	23	78	209	128	398	326	214	94	52	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	728	28	27	34	21	22	46	24	16	36	8	24	0	0	38	14	23	21	29	19	14	18	14	22	34	43	40	54	28	10	7	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5848	389	303	368	451	161	230	217	299	120	85	220	47	61	174	59	51	193	269	263	103	140	113	125	282	204	237	195	158	71	116	144									
9	Число недействительных избирательных бюллетеней	105	10	4	9	3	7	7	2	10	7	0	6	0	0	4	1	0	4	8	0	2	0	0	0	4	3	3	3	0	2	1	5									
10	Число действительных избирательных бюллетеней	6471	407	326	393	469	176	269	239	305	149	93	238	47	61	208	72	74	210	290	282	115	158	127	147	312	244	274	246	186	79	122	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	363	20	20	20	20	15	15	15	15	10	11	17	3	3	10	3	10	10	15	10	5	10	10	10	15	15	10	10	10	6	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	168	5	10	6	6	1	6	6	3	5	11	17	3	0	10	0	5	0	9	3	5	2	1	0	15	3	3	4	10	6	7	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	3	9	17	4	0	3	4	4	0	1	5	1	1	6	3	1	2	0	1	0	2	1	2	2	1	0	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	195	15	10	14	14	14	9	9	12	5	0	0	0	3	0	3	5	10	6	7	0	8	9	10	0	12	7	6	0	0	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	67	14	7	6	12	5	2	2	2	6	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	2	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	83	5	4	5	6	2	2	1	5	2	2	6	2	0	1	2	2	2	2	8	0	0	2	4	2	1	1	3	5	2	1	3									
		1.26%	1.20%	1.21%	1.24%	1.27%	1.09%	0.72%	0.41%	1.59%	1.28%	2.15%	2.46%	4.26%	0.00%	0.47%	2.74%	2.70%	0.93%	0.67%	2.84%	0.00%	0.00%	1.57%	2.72%	0.63%	0.40%	0.36%	1.20%	2.69%	2.47%	0.81%	1.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	248	17	9	10	20	3	11	7	9	7	2	12	1	1	10	5	4	11	13	11	3	6	4	8	11	8	10	8	15	3	3	6									
		3.77%	4.08%	2.73%	2.49%	4.24%	1.64%	3.99%	2.90%	2.86%	4.49%	2.15%	4.92%	2.13%	1.64%	4.72%	6.85%	5.41%	5.14%	4.36%	3.90%	2.56%	3.80%	3.15%	5.44%	3.48%	3.24%	3.61%	3.21%	8.06%	3.70%	2.44%	3.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	130	10	4	5	14	1	5	6	10	0	5	3	1	0	4	5	3	4	8	3	0	1	1	3	12	6	3	6	4	2	0	1									
		1.98%	2.40%	1.21%	1.24%	2.97%	0.55%	1.81%	2.49%	3.17%	0.00%	5.38%	1.23%	2.13%	0.00%	1.89%	6.85%	4.05%	1.87%	2.68%	1.06%	0.00%	0.63%	0.79%	2.04%	3.80%	2.43%	1.08%	2.41%	2.15%	2.47%	0.00%	0.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3063	171	127	178	178	81	125	107	127	88	36	135	26	45	118	32	41	123	132	134	65	81	74	70	156	121	115	118	86	31	89	53									
		46.58%	41.01%	38.48%	44.28%	37.71%	44.26%	45.29%	44.40%	40.32%	56.41%	38.71%	55.33%	55.32%	73.77%	55.66%	43.84%	55.41%	57.48%	44.30%	47.52%	55.56%	51.27%	58.27%	47.62%	49.37%	48.99%	41.52%	47.39%	46.24%	38.27%	72.36%	33.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	0	1	2	0	1	4	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	3	0	0	0	1									
		0.32%	0.24%	0.00%	0.25%	0.42%	0.00%	0.36%	1.66%	0.63%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.63%	0.00%	0.00%	0.63%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	2	0	1	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0									
		0.20%	0.48%	0.00%	0.25%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	1.37%	1.35%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.68%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1480	84	76	95	120	53	77	65	80	34	27	27	9	6	43	12	11	45	72	74	32	36	24	32	63	55	87	45	26	9	22	39									
		22.51%	20.14%	23.03%	23.63%	25.42%	28.96%	27.90%	26.97%	25.40%	21.79%	29.03%	11.07%	19.15%	9.84%	20.28%	16.44%	14.86%	21.03%	24.16%	26.24%	27.35%	22.78%	18.90%	21.77%	19.94%	22.27%	31.41%	18.07%	13.98%	11.11%	17.89%	24.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	1	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0									
		0.15%	0.00%	0.30%	0.25%	0.42%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	0	0	4	2	2	0	2	6	0	2	0	0	0	1	1	0	0	0	3	0	0	1	0	0	1	0	1	0	1	0	0									
		0.41%	0.00%	0.00%	0.99%	0.42%	1.09%	0.00%	0.83%	1.90%	0.00%	2.15%	0.00%	0.00%	0.00%	0.47%	1.37%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.79%	0.00%	0.00%	0.40%	0.00%	0.40%	0.00%	1.23%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.11%	0.24%	0.00%	0.25%	0.00%	0.00%	0.36%	0.41%	0.00%	0.64%	0.00%	0.00%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	0	3	3	0	0	0	2	5	0	0	2	0	0	1	0	3	0	0	0	0	0	2	0	1	3	0	0	1	0	0	4									
		0.46%	0.00%	0.91%	0.75%	0.00%	0.00%	0.00%	0.83%	1.59%	0.00%	0.00%	0.82%	0.00%	0.00%	0.47%	0.00%	4.05%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.00%	0.32%	1.21%	0.00%	0.00%	0.54%	0.00%	0.00%	2.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	802	51	45	55	67	24	24	22	40	9	14	13	7	6	16	9	5	13	51	40	11	16	15	24	35	37	35	37	39	10	5	27									
		12.20%	12.23%	13.64%	13.68%	14.19%	13.11%	8.70%	9.13%	12.70%	5.77%	15.05%	5.33%	14.89%	9.84%	7.55%	12.33%	6.76%	6.07%	17.11%	14.18%	9.40%	10.13%	11.81%	16.33%	11.08%	14.98%	12.64%	14.86%	20.97%	12.35%	4.07%	17.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	1	2	3	1	1	0	3	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	3	3	1	0	0	0									
		0.38%	0.24%	0.61%	0.75%	0.21%	0.55%	0.00%	1.24%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.34%	0.35%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	1.08%	1.20%	0.54%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	532	64	55	31	54	9	23	19	18	8	5	39	0	2	13	4	4	12	9	7	4	15	4	5	25	11	20	22	9	20	2	19									
		8.09%	15.35%	16.67%	7.71%	11.44%	4.92%	8.33%	7.88%	5.71%	5.13%	5.38%	15.98%	0.00%	3.28%	6.13%	5.48%	5.41%	5.61%	3.02%	2.48%	3.42%	9.49%	3.15%	3.40%	7.91%	4.45%	7.22%	8.84%	4.84%	24.69%	1.63%	12.03%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
