Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Ефремовская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49396	835	1201	1073	1233	518	1572	1124	1193	1585	1153	1023	428	1399	586	1547	1592	1366	1118	1748	1700	1512	1574	1327	1493	1269	880	602	356	374	806	1051	441	151	416	238	236	828	440	371	206	630	745	333	481	439	616	271	659	1029	301	268	587	208	383	346	651	605	177	631	303	380	368	420									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40300	700	1000	900	1000	400	1300	900	1000	1300	1000	900	300	1100	450	1300	1300	1100	1000	1400	1400	1200	1200	1100	1200	1000	700	500	350	300	700	900	350	150	350	200	200	700	350	300	150	500	600	300	400	350	500	200	500	900	250	200	450	150	300	250	500	500	150	500	250	300	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19361	297	503	453	492	156	700	456	538	613	487	442	183	568	208	611	629	608	463	656	736	513	588	542	565	536	283	342	175	119	278	396	174	69	219	65	62	275	163	241	13	184	305	149	135	157	237	98	255	414	36	102	209	68	161	119	202	252	86	264	77	121	191	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2377	29	11	13	59	6	18	8	9	19	8	10	7	69	19	11	18	0	4	19	25	15	19	30	17	21	3	30	52	46	76	44	42	40	22	46	54	65	69	14	71	131	50	43	72	70	76	40	15	97	130	38	111	40	15	16	60	33	17	47	52	19	37	30									
6	Число погашенных избирательных бюллетеней	18562	374	486	434	449	238	582	436	453	668	505	448	110	463	223	678	653	492	533	725	639	672	593	528	618	443	414	128	123	135	346	460	134	41	109	89	84	360	118	45	66	185	245	108	193	123	187	62	230	389	84	60	130	42	124	115	238	215	47	189	121	160	72	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2377	29	11	13	59	6	18	8	9	19	8	10	7	69	19	11	18	0	4	19	25	15	19	30	17	21	3	30	52	46	76	44	42	40	22	46	54	65	69	14	71	131	50	43	72	70	76	40	15	97	130	38	111	40	15	16	60	33	17	47	52	19	37	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19358	297	503	453	492	156	700	456	538	613	487	441	183	567	208	611	629	608	463	656	736	513	587	542	565	536	283	342	175	119	278	396	174	69	219	65	62	275	163	241	13	184	305	149	135	157	237	98	255	414	36	102	209	68	161	119	202	252	86	264	77	121	191	122									
9	Число недействительных избирательных бюллетеней	502	16	12	11	23	0	15	18	15	0	9	12	6	10	7	13	17	10	15	26	16	16	27	16	22	18	8	10	1	0	3	19	5	0	0	2	1	7	7	0	0	5	9	0	3	0	4	0	8	21	0	4	4	0	1	2	3	0	0	5	1	3	12	4									
10	Число действительных избирательных бюллетеней	21233	310	502	455	528	162	703	446	532	632	486	439	184	626	220	609	630	598	452	649	745	512	579	556	560	539	278	362	226	165	351	421	211	109	241	109	115	333	225	255	84	310	346	192	204	227	309	138	262	490	166	136	316	108	175	133	259	285	103	306	128	137	216	148									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	592	10	10	13	15	5	25	10	15	20	10	10	5	18	5	20	20	20	10	20	20	20	20	18	20	13	5	5	5	5	5	10	5	5	5	5	5	10	5	5	5	5	7	5	5	7	5	5	7	10	5	5	5	5	5	5	9	5	5	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	405	4	6	9	15	3	23	5	13	6	9	10	1	16	4	8	13	18	5	20	20	16	13	15	14	12	3	2	0	1	3	7	1	5	5	2	2	8	2	2	1	1	6	1	5	7	5	3	5	8	0	3	4	5	3	0	7	4	0	6	1	1	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	330	14	11	11	5	4	20	3	6	8	3	8	13	15	5	10	5	12	5	6	6	13	8	10	12	9	10	1	0	4	2	3	3	1	2	5	2	2	2	3	2	3	3	0	6	3	4	2	3	3	1	3	1	3	1	3	2	4	3	6	3	0	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	187	6	4	4	0	2	2	5	2	14	1	0	4	2	1	12	7	2	5	0	0	4	7	3	6	1	2	3	5	4	2	3	4	0	0	3	3	2	3	3	4	4	1	4	0	0	0	2	2	2	5	2	1	0	2	5	2	1	5	4	4	4	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	135	3	2	5	3	1	7	4	0	4	3	1	2	5	0	2	3	4	2	6	7	2	3	3	3	5	3	2	0	0	0	3	2	0	1	0	2	2	11	1	0	0	4	0	3	1	3	1	1	0	0	1	2	1	3	2	0	1	1	1	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	275	6	9	6	5	7	12	13	11	8	8	6	4	9	4	6	8	7	3	6	17	4	11	8	7	3	2	0	2	1	4	8	0	0	1	1	0	8	1	2	0	3	4	1	3	1	3	3	4	4	1	2	2	0	0	7	2	8	2	5	0	1	0	1									
		1.27%	1.84%	1.75%	1.29%	0.91%	4.32%	1.67%	2.80%	2.01%	1.27%	1.62%	1.33%	2.11%	1.42%	1.76%	0.96%	1.24%	1.15%	0.64%	0.89%	2.23%	0.76%	1.82%	1.40%	1.20%	0.54%	0.70%	0.00%	0.88%	0.61%	1.13%	1.82%	0.00%	0.00%	0.41%	0.90%	0.00%	2.35%	0.43%	0.78%	0.00%	0.95%	1.13%	0.52%	1.45%	0.44%	0.96%	2.17%	1.48%	0.78%	0.60%	1.43%	0.63%	0.00%	0.00%	5.19%	0.76%	2.81%	1.94%	1.61%	0.00%	0.71%	0.00%	0.66%									
