Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Руднянская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13339	1040	387	1030	1007	1063	340	1057	331	221	229	755	439	867	336	967	501	257	925	260	402	359	116	450									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13330	1050	380	1030	1010	1060	340	1060	330	220	220	760	440	870	340	980	500	250	930	260	400	350	110	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5157	353	122	347	416	381	119	414	128	64	51	300	114	365	220	363	234	141	380	80	172	148	51	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	849	15	12	43	64	29	20	41	10	27	28	75	67	70	36	71	62	21	46	13	38	27	5	29									
6	Число погашенных избирательных бюллетеней	7324	682	246	640	530	650	201	605	192	129	141	385	259	435	84	546	204	88	504	167	190	175	54	217									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	849	15	12	43	64	29	20	41	10	27	28	75	67	70	36	71	62	21	46	13	38	27	5	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5156	353	122	347	416	381	119	413	128	64	51	300	114	365	220	363	234	141	380	80	172	148	51	194									
9	Число недействительных избирательных бюллетеней	108	6	3	9	10	13	4	6	1	1	3	12	2	1	3	7	6	4	11	2	1	1	1	1									
10	Число действительных избирательных бюллетеней	5897	362	131	381	470	397	135	448	137	90	76	363	179	434	253	427	290	158	415	91	209	174	55	222									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	374	30	10	30	30	30	10	30	10	7	7	20	10	25	10	31	13	7	25	7	10	10	4	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	10	5	2	6	4	1	4	2	1	1	1	0	0	10	6	3	0	3	0	0	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	0	5	0	5	0	3	0	1	0	0	2	0	2	1	1	3	1	0	1	1	3	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	311	20	5	28	24	26	9	26	8	6	6	19	10	25	0	25	10	7	22	7	10	10	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	4	0	1	2	2	2	6	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	52	3	6	8	4	0	0	3	0	0	2	2	1	1	0	9	2	1	1	1	4	2	1	1									
		0.87%	0.82%	4.48%	2.05%	0.83%	0.00%	0.00%	0.66%	0.00%	0.00%	2.53%	0.53%	0.55%	0.23%	0.00%	2.07%	0.68%	0.62%	0.23%	1.08%	1.90%	1.14%	1.79%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	235	10	3	14	23	19	7	23	7	4	1	9	3	16	2	10	17	8	22	6	10	7	2	12									
		3.91%	2.72%	2.24%	3.59%	4.79%	4.63%	5.04%	5.07%	5.07%	4.40%	1.27%	2.40%	1.66%	3.68%	0.78%	2.30%	5.74%	4.94%	5.16%	6.45%	4.76%	4.00%	3.57%	5.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	151	13	4	6	14	8	12	8	2	2	0	7	5	12	2	11	4	4	14	3	7	8	2	3									
		2.51%	3.53%	2.99%	1.54%	2.92%	1.95%	8.63%	1.76%	1.45%	2.20%	0.00%	1.87%	2.76%	2.76%	0.78%	2.53%	1.35%	2.47%	3.29%	3.23%	3.33%	4.57%	3.57%	1.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2791	166	52	139	229	194	50	214	66	49	32	154	114	212	180	210	127	63	200	38	85	82	23	112									
		46.48%	45.11%	38.81%	35.64%	47.71%	47.32%	35.97%	47.14%	47.83%	53.85%	40.51%	41.07%	62.98%	48.74%	70.31%	48.39%	42.91%	38.89%	46.95%	40.86%	40.48%	46.86%	41.07%	50.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	4	0	2	1	2	0	4	0	1	2	3	2	1	2	3	0	0	3	0	2	2	0	0									
		0.57%	1.09%	0.00%	0.51%	0.21%	0.49%	0.00%	0.88%	0.00%	1.10%	2.53%	0.80%	1.10%	0.23%	0.78%	0.69%	0.00%	0.00%	0.70%	0.00%	0.95%	1.14%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0									
		0.15%	0.54%	0.00%	0.26%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.57%	1.79%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1145	69	33	104	77	65	24	83	39	16	28	82	21	76	37	94	52	30	83	20	41	31	9	31									
		19.07%	18.75%	24.63%	26.67%	16.04%	15.85%	17.27%	18.28%	28.26%	17.58%	35.44%	21.87%	11.60%	17.47%	14.45%	21.66%	17.57%	18.52%	19.48%	21.51%	19.52%	17.71%	16.07%	13.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	1	0	0	4	2	0	1	1	0	0	1	0	0	0	0	2	0	0	1	0	1	0	2									
