Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Тарасовская районная																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1165	УИК №1166	УИК №1167	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №2467	УИК №2568					
1	"Число избирателей, внесенных в списки избирателей"	24149	584	271	469	588	822	151	758	430	459	154	271	374	246	270	115	408	433	354	1076	1788	1116	789	800	803	990	648	367	792	240	374	296	349	194	474	233	313	202	202	630	123	776	283	212	354	280	157	221	703	298	93	816					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21410	526	242	410	536	704	132	683	382	430	140	245	328	227	245	110	360	385	297	960	1575	990	698	653	710	870	575	328	707	218	335	263	315	175	430	210	280	182	172	555	110	674	250	187	316	250	140	204	627	264	85	720					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13218	367	195	181	366	486	103	446	252	269	108	194	253	155	191	85	182	334	161	513	856	458	480	407	414	526	248	158	456	143	286	156	234	104	305	143	191	107	110	344	46	416	137	92	219	156	85	184	365	72	57	422					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2796	46	22	143	38	99	21	57	59	46	14	24	44	20	18	23	73	16	33	83	72	60	159	52	60	66	171	71	70	15	19	22	36	27	43	35	75	45	24	37	47	71	63	57	30	34	30	7	170	107	13	129					
6	Число погашенных избирательных бюллетеней	5396	113	25	86	132	119	8	180	71	115	18	27	31	52	36	2	105	35	103	364	647	472	59	194	236	278	156	99	181	60	30	85	45	44	82	32	14	30	38	174	17	187	50	38	67	60	25	13	92	85	15	169					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2795	46	22	143	38	99	21	57	59	46	14	24	44	20	18	23	73	16	33	83	72	60	159	52	60	66	171	71	70	15	19	22	36	27	43	35	75	45	24	37	47	71	62	57	30	34	30	7	170	107	13	129					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13218	367	195	181	366	486	103	446	252	269	108	194	253	155	191	85	182	334	161	513	856	458	480	407	414	526	248	158	456	143	286	156	234	104	305	143	191	107	110	344	46	416	137	92	219	156	85	184	365	72	57	422					
9	Число недействительных избирательных бюллетеней	83	4	1	1	7	5	0	0	1	2	0	0	2	1	3	0	4	2	2	6	4	2	0	5	1	6	1	2	1	0	1	0	3	2	1	3	0	0	2	0	0	1	1	0	0	1	0	0	4	0	0	1					
10	Число действительных избирательных бюллетеней	15930	409	216	323	397	580	124	503	310	313	122	218	295	174	206	108	251	348	192	590	924	516	639	454	473	586	418	227	525	158	304	178	267	129	347	175	266	152	132	381	93	486	198	149	249	189	115	191	531	179	70	550					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	495	10	5	10	17	10	5	15	7	22	5	5	10	15	15	5	20	5	5	20	60	15	20	15	10	16	5	5	10	5	5	5	5	5	10	5	5	5	3	10	3	10	5	5	4	3	5	5	9	3	3	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	327	10	5	3	16	3	0	10	1	22	5	3	10	12	13	3	3	5	2	11	28	6	7	14	10	14	5	2	10	5	3	4	5	3	8	3	5	5	0	3	3	10	1	1	4	3	4	3	9	3	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	167	1	1	3	1	30	2	4	1	1	2	0	17	4	2	4	1	1	13	7	7	5	3	7	6	11	2	0	4	0	1	0	1	0	3	1	0	1	1	2	0	5	2	0	2	2	2	2	1	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	168	0	0	7	1	7	5	5	6	0	0	2	0	3	2	2	17	0	3	9	32	9	13	1	0	2	0	3	0	0	2	1	0	2	2	2	0	0	3	7	0	0	4	4	0	0	1	2	0	0	1	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
