Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Иглинская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445					
1	"Число избирателей, внесенных в список"	24702	893	872	852	868	921	838	897	877	869	876	912	922	443	397	566	435	280	169	472	157	775	337	75	571	160	550	196	470	154	130	511	132	408	120	145	444	136	115	40	258	124	346	88	626	98	990	389	315	127	209	295	248	225	901	318	160					
2	Число полученных избирательных бюллетеней	24543	912	874	856	867	893	822	894	894	893	876	891	894	445	399	585	437	272	174	486	159	740	320	75	560	170	555	187	467	156	133	490	130	408	118	147	446	135	117	40	269	123	348	84	590	92	931	392	315	129	226	283	249	223	890	326	156					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20769	813	804	802	798	843	791	869	793	671	636	757	807	392	377	525	421	256	156	243	127	513	273	65	385	133	438	133	336	145	116	399	48	408	95	129	392	129	107	40	255	95	271	73	508	83	803	129	186	75	195	250	229	158	835	307	152					
5	"Число избирательных бюллетеней, выданных вне помещения"	2866	19	16	16	11	14	8	14	37	144	240	121	50	20	8	13	10	16	13	207	22	227	44	10	148	21	84	52	131	6	14	78	78	0	23	13	30	3	0	0	0	28	73	10	76	9	128	260	129	52	14	25	13	53	20	11	4					
6	Число погашенных избирательных бюллетеней	908	80	54	38	58	36	23	11	64	78	0	13	37	33	14	47	6	0	5	36	10	0	3	0	27	16	33	2	0	5	3	13	4	0	0	5	24	3	10	0	14	0	4	1	6	0	0	3	0	2	17	8	7	12	35	8	0					
7	Число избирательных бюллетеней в переносных ящиках	2866	19	16	16	11	14	8	14	37	144	240	121	50	20	8	13	10	16	13	207	22	227	44	10	148	21	84	52	131	6	14	78	78	0	23	13	30	3	0	0	0	28	73	10	76	9	128	260	129	52	14	25	13	53	20	11	4					
8	Число бюллетеней в стационарных ящиках для голосования	20769	813	804	802	798	843	791	869	793	671	636	757	807	392	377	525	421	256	156	243	127	513	273	65	385	133	438	133	336	145	116	399	48	408	95	129	392	129	107	40	255	95	271	73	508	83	803	129	186	75	195	250	229	158	835	307	152					
9	Число недействительных избирательных бюллетеней	79	2	3	0	3	15	1	0	0	0	0	12	7	1	1	1	1	0	0	2	1	2	0	0	9	1	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	0	3					
10	Число действительных избирательных бюллетеней	23556	830	817	818	806	842	798	883	830	815	876	866	850	411	384	537	430	272	169	448	148	738	317	75	524	153	522	185	467	151	130	473	126	408	118	142	421	132	105	40	255	123	344	83	584	92	931	389	315	127	208	274	241	210	852	318	153					
