Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Нововаршавская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18693	1361	1304	1413	1109	279	990	1338	1301	774	391	202	203	270	1087	36	87	404	116	117	495	200	130	770	228	297	151	89	680	179	190	1536	722	86	29	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18600	1345	1260	1382	1080	290	1000	1330	1300	800	380	201	200	260	1040	37	87	400	116	114	500	210	130	752	235	290	153	90	710	180	191	1550	740	90	28	129									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8281	597	522	662	468	99	423	568	599	407	160	115	113	111	406	22	51	259	45	59	293	119	49	293	103	125	38	33	305	84	97	593	335	47	21	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	435	18	22	26	11	6	28	15	22	32	12	0	7	4	44	0	7	9	0	0	21	16	3	12	3	10	0	0	16	12	3	40	36	0	0	0									
6	Число погашенных избирательных бюллетеней	9884	730	716	694	601	185	549	747	679	361	208	86	80	145	590	15	29	132	71	55	186	75	78	447	129	155	115	57	389	84	91	917	369	43	7	69									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	435	18	22	26	11	6	28	15	22	32	12	0	7	4	44	0	7	9	0	0	21	16	3	12	3	10	0	0	16	12	3	40	36	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8281	597	522	662	468	99	423	568	599	407	160	115	113	111	406	22	51	259	45	59	293	119	49	293	103	125	38	33	305	84	97	593	335	47	21	60									
9	Число недействительных избирательных бюллетеней	338	24	28	27	23	2	10	14	22	19	6	11	1	16	16	0	1	1	3	0	12	10	0	15	10	9	1	0	7	3	2	6	33	4	0	2									
10	Число действительных избирательных бюллетеней	8378	591	516	661	456	103	441	569	599	420	166	104	119	99	434	22	57	267	42	59	302	125	52	290	96	126	37	33	314	93	98	627	338	43	21	58									
