Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Железногорская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230					
1	"Число избирателей, внесенных в списки"	76820	1654	2052	1596	1793	1770	1875	1885	1887	2450	1613	2315	1695	1429	2109	1739	1769	1707	1820	1749	1852	1626	2088	2138	1952	2020	2096	2000	1962	2069	1999	709	2933	1878	2246	1681	2327	1986	2181	1965	2205					
2	"Число бюллетеней, полученных участковыми комиссиями"	67716	1480	1813	1424	1541	1579	1664	1687	1674	2116	1352	1981	1529	1269	1889	1531	1566	1516	1593	1544	1633	1434	1836	1874	1700	1843	1831	1734	1738	1852	1763	588	2534	1661	1990	1507	2096	1776	1947	1727	1904					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41865	720	1041	903	966	961	979	1028	1027	1242	746	1259	936	823	1147	816	1016	818	1011	979	1037	957	1156	1122	1078	1202	1197	998	1086	1163	1121	353	1689	1008	1203	878	1309	1136	1265	1151	1338					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	670	136	19	28	49	11	11	5	6	9	34	19	18	16	11	19	12	8	16	10	6	12	9	6	21	55	8	5	14	8	3	23	10	7	9	6	15	4	7	1	4					
6	Число погашенных бюллетеней	25181	624	753	493	526	607	674	654	641	865	572	703	575	430	731	696	538	690	566	555	590	465	671	746	601	586	626	731	638	681	639	212	835	646	778	623	772	636	675	575	562					
7	Число бюллетеней в переносных ящиках для голосования	670	136	19	28	49	11	11	5	6	9	34	19	18	16	11	19	12	8	16	10	6	12	9	6	21	55	8	5	14	8	3	23	10	7	9	6	15	4	7	1	4					
8	Число бюллетеней в стационарных ящиках для голосования	41808	720	1036	903	962	961	974	1028	1026	1239	743	1259	936	823	1147	816	1014	815	1011	979	1037	946	1154	1122	1078	1197	1194	998	1086	1171	1121	351	1689	1008	1203	877	1309	1131	1265	1150	1329					
9	Число недействительных бюллетеней	653	17	24	32	11	22	11	17	16	24	19	10	18	13	26	7	18	13	6	23	17	12	13	14	18	29	27	14	21	26	12	8	17	12	11	10	5	7	20	21	12					
10	Число действительных бюллетеней	41825	839	1031	899	1000	950	974	1016	1016	1224	758	1268	936	826	1132	828	1008	810	1021	966	1026	946	1150	1114	1081	1223	1175	989	1079	1153	1112	366	1682	1003	1201	873	1319	1128	1252	1130	1321					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	484	20	10	10	10	10	10	15	10	20	10	15	10	10	10	10	10	10	10	14	15	10	10	20	20	10	20	15	10	15	10	5	15	10	10	10	10	10	10	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	304	8	4	7	8	6	8	11	7	16	5	14	7	6	10	4	7	6	1	11	11	10	7	10	13	2	11	9	5	11	7	3	9	9	5	4	7	6	1	8	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	0	1	5	1	0	1	1	1	0	3	5	1	0	3	0	1	2	5	3	3	3	3	5	4	5	2	6	1	0	2	3	5	1	3	4	5	0	0	0	4					
14	Число погашенных открепительных удостоверений	180	12	6	3	2	4	2	4	3	4	5	1	3	4	0	6	3	4	9	3	4	0	3	10	7	8	9	6	5	4	3	2	6	1	5	6	3	4	9	2	5					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
