Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Тазовская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183					
1	"Число избирателей, внесенных в списки"	13234	879	1264	2033	619	3285	1449	1300	1756	649					
2	"Число бюллетеней, полученных участковыми комиссиями"	11300	700	1000	1700	550	2850	1100	1200	1600	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	2370	0	73	285	0	0	140	618	892	362					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6522	504	637	848	344	2342	749	509	401	188					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	178	8	13	10	39	47	30	13	18	0					
6	Число погашенных бюллетеней	2230	188	277	557	167	461	181	60	289	50					
7	Число бюллетеней в переносных ящиках для голосования	2547	8	86	294	39	47	170	631	910	362					
8	Число бюллетеней в стационарных ящиках для голосования	6518	504	637	847	344	2339	749	509	401	188					
9	Число недействительных бюллетеней	84	4	4	18	3	17	7	9	9	13					
10	Число действительных бюллетеней	8981	508	719	1123	380	2369	912	1131	1302	537					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	10	10	15	10	0	15	15	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	4	10	13	5	0	14	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	1	3	3	2	77	8	2	2	4					
14	Число погашенных открепительных удостоверений	35	6	0	2	5	0	1	11	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	163	8	16	28	11	25	11	33	17	14					
		1.79%	1.56%	2.21%	2.45%	2.87%	1.04%	1.19%	2.89%	1.29%	2.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	211	16	16	28	12	91	16	23	6	3					
		2.32%	3.12%	2.21%	2.45%	3.13%	3.81%	1.74%	2.01%	0.45%	0.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	163	14	12	24	3	46	23	16	21	4					
		1.79%	2.73%	1.65%	2.10%	0.78%	1.92%	2.50%	1.40%	1.60%	0.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	261	23	30	21	13	114	22	8	27	3					
		2.87%	4.49%	4.14%	1.84%	3.39%	4.77%	2.39%	0.70%	2.05%	0.54%					
22	"5. ""За Русь Святую"""	31	0	0	4	1	11	5	3	6	1					
		0.34%	0.0%	0.0%	0.35%	0.26%	0.46%	0.54%	0.26%	0.45%	0.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	0	7	1	2	2	0	7	5					
		0.26%	0.0%	0.0%	0.61%	0.26%	0.08%	0.21%	0.0%	0.53%	0.90%					
24	"7. ""Новый курс - Автомобильная Россия"""	82	3	11	8	1	47	6	0	5	1					
		0.90%	0.58%	1.52%	0.70%	0.26%	1.96%	0.65%	0.0%	0.38%	0.18%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	1	0	1	2	0	5	3					
		0.14%	0.19%	0.0%	0.08%	0.0%	0.04%	0.21%	0.0%	0.38%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	2	7	5	0	10	1	4	6	1					
		0.39%	0.39%	0.96%	0.43%	0.0%	0.41%	0.10%	0.35%	0.45%	0.18%					
27	"10. ""Аграрная партия России"""	127	7	7	7	2	62	12	13	16	1					
		1.40%	1.36%	0.96%	0.61%	0.52%	2.59%	1.30%	1.14%	1.22%	0.18%					
28	"11. ""Истинные патриоты России"""	21	1	0	1	1	9	2	0	7	0					
		0.23%	0.19%	0.0%	0.08%	0.26%	0.37%	0.21%	0.0%	0.53%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	75	6	8	7	10	17	11	7	8	1					
		0.82%	1.17%	1.10%	0.61%	2.61%	0.71%	1.19%	0.61%	0.61%	0.18%					
30	"13. ""Демократическая партия России"""	26	1	1	3	0	6	1	5	7	2					
		0.28%	0.19%	0.13%	0.26%	0.0%	0.25%	0.10%	0.43%	0.53%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	0	2	3	4	2	0	5	1					
		0.19%	0.19%	0.0%	0.17%	0.78%	0.16%	0.21%	0.0%	0.38%	0.18%					
32	"15. ""Партия СЛОН"""	7	0	0	0	1	4	1	0	0	1					
		0.07%	0.0%	0.0%	0.0%	0.26%	0.16%	0.10%	0.0%	0.0%	0.18%					
33	"16. ""Родина"" (народно-патриотический союз)"""	391	35	35	34	11	153	48	36	32	7					
		4.31%	6.83%	4.84%	2.97%	2.87%	6.41%	5.22%	3.15%	2.44%	1.27%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	2	3	5	0	0	8	6	12	2					
		0.41%	0.39%	0.41%	0.43%	0.0%	0.0%	0.87%	0.52%	0.91%	0.36%					
35	"18. ""ЛДПР"""	1194	74	104	140	38	493	181	56	69	39					
		13.17%	14.45%	14.38%	12.26%	9.92%	20.66%	19.69%	4.91%	5.26%	7.09%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	127	5	3	8	3	17	44	11	29	7					
		1.40%	0.97%	0.41%	0.70%	0.78%	0.71%	4.78%	0.96%	2.21%	1.27%					
37	"20. ""Политическая партия ""Единая Россия"""	5042	249	411	712	225	859	422	851	890	423					
