Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Ялуторовская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105					
1	"Число избирателей, внесенных в список избирателей"	28473	1438	1529	1205	1544	1405	1363	1388	1453	1409	1410	1785	1435	1277	1309	1352	1350	1136	1494	1640	1551					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28340	1460	1495	1230	1555	1410	1385	1270	1430	1370	1430	1765	1450	1280	1330	1305	1360	1140	1520	1610	1545					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21858	1095	1255	1006	1208	1108	1042	975	1132	1009	1119	1566	1089	994	998	1036	1060	790	1102	1179	1095					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1348	50	91	20	31	37	67	158	57	40	34	38	50	23	110	83	42	56	89	245	27					
6	Число погашенных избирательных бюллетеней	5134	315	149	204	316	265	276	137	241	321	277	161	311	263	222	186	258	294	329	186	423					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1348	50	91	20	31	37	67	158	57	40	34	38	50	23	110	83	42	56	89	245	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21851	1095	1255	1006	1208	1108	1042	975	1125	1009	1119	1566	1089	994	998	1036	1060	790	1102	1179	1095					
9	Число недействительных избирательных бюллетеней	199	2	0	7	12	16	8	30	19	6	0	9	0	12	2	8	8	19	28	7	6					
10	Число действительных избирательных бюллетеней	23000	1143	1346	1019	1227	1129	1101	1103	1163	1043	1153	1595	1139	1005	1106	1111	1094	827	1163	1417	1116					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	635	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	40	45	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	460	24	21	24	20	18	24	17	32	13	29	19	26	16	20	13	20	21	31	45	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	435	21	22	20	17	14	7	39	59	44	14	12	17	22	6	23	27	18	17	24	12					
14	Число погашенных неиспользованных открепительных удостоверений	175	6	9	6	10	12	6	13	8	17	1	11	4	14	10	17	10	9	9	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	1	0	1	1	0	0	2	0	1	0	0	1	0	0	0	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	904	6	19	14	24	15	61	119	153	122	33	59	15	51	29	51	27	32	20	53	1					
		3.90%	0.52%	1.41%	1.36%	1.94%	1.31%	5.50%	10.50%	12.94%	11.63%	2.86%	3.68%	1.32%	5.01%	2.62%	4.56%	2.45%	3.78%	1.68%	3.72%	0.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2898	175	31	49	216	115	88	232	208	225	78	209	165	98	102	174	205	64	133	132	199					
