Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Муезерская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11018	1436	1515	1006	555	1007	209	167	160	1093	84	790	354	1863	643	136									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10660	1450	1550	1000	550	1000	200	150	150	1000	80	750	300	1800	550	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3899	567	528	336	223	277	72	58	50	385	35	314	137	590	261	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	221	20	11	25	20	23	9	4	0	23	2	23	9	26	17	9									
6	Число погашенных избирательных бюллетеней	6540	863	1011	639	307	700	119	88	100	592	43	413	154	1184	272	55									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	221	20	11	25	20	23	9	4	0	23	2	23	9	26	17	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3899	567	528	336	223	277	72	58	50	385	35	314	137	590	261	66									
9	Число недействительных избирательных бюллетеней	110	17	21	10	4	5	0	3	3	11	1	11	4	18	2	0									
10	Число действительных избирательных бюллетеней	4010	570	518	351	239	295	81	59	47	397	36	326	142	598	276	75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	40	40	20	10	20	10	10	10	30	10	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	57	13	16	4	4	0	0	0	0	4	0	4	2	8	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	8	0	2	2	1	3	0	0	5	0	14	12	10	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	203	27	24	16	6	20	10	10	10	26	10	6	8	12	8	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	2	6	5	0	2	1	3	0	9	1	1	2	8	4	1									
		1.09%	0.34%	1.11%	1.39%	0.00%	0.67%	1.23%	4.84%	0.00%	2.21%	2.70%	0.30%	1.37%	1.30%	1.44%	1.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	128	19	17	16	7	11	0	2	0	16	0	9	1	22	7	1									
		3.11%	3.24%	3.15%	4.43%	2.88%	3.67%	0.00%	3.23%	0.00%	3.92%	0.00%	2.67%	0.68%	3.57%	2.52%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	16	10	12	15	5	1	3	2	13	3	7	6	9	12	2									
		2.82%	2.73%	1.86%	3.32%	6.17%	1.67%	1.23%	4.84%	4.00%	3.19%	8.11%	2.08%	4.11%	1.46%	4.32%	2.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1922	234	219	170	92	133	47	28	35	178	15	198	87	272	171	43									
		46.65%	39.86%	40.63%	47.09%	37.86%	44.33%	58.02%	45.16%	70.00%	43.63%	40.54%	58.75%	59.59%	44.16%	61.51%	57.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	4	3	1	0	0	0	0	0	1	0	0	1	6	2	1									
		0.46%	0.68%	0.56%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.68%	0.97%	0.72%	1.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	2	2	1	1	0	0	0	0	1	0	0	1	0	0	1									
		0.22%	0.34%	0.37%	0.28%	0.41%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.68%	0.00%	0.00%	1.33%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	836	117	111	79	69	78	12	12	4	93	7	62	26	126	30	10									
		20.29%	19.93%	20.59%	21.88%	28.40%	26.00%	14.81%	19.35%	8.00%	22.79%	18.92%	18.40%	17.81%	20.45%	10.79%	13.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	2	1	3	1	0	0	0	0	4	0	3	0	2	0	1									
		0.41%	0.34%	0.19%	0.83%	0.41%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.89%	0.00%	0.32%	0.00%	1.33%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	39	8	6	2	4	0	0	0	0	1	0	2	2	3	11	0									
		0.95%	1.36%	1.11%	0.55%	1.65%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.59%	1.37%	0.49%	3.96%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.07%	0.17%	0.19%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	106	15	18	9	3	6	0	0	0	14	2	5	2	22	6	4									
		2.57%	2.56%	3.34%	2.49%	1.23%	2.00%	0.00%	0.00%	0.00%	3.43%	5.41%	1.48%	1.37%	3.57%	2.16%	5.33%									
