Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Бийская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624					
1	"Число избирателей, внесенных в список избирателей"	28513	681	778	372	2391	452	1314	811	474	89	864	1620	269	1872	460	1744	435	430	1231	106	422	420	2327	2244	2615	1192	1067	192	207	297	192	945					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25769	622	703	339	2190	410	1194	726	427	78	760	1484	240	1698	410	1577	385	380	1114	106	383	378	2050	2040	2394	1069	976	174	183	264	169	846					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12870	289	319	202	949	190	671	428	273	55	522	846	127	1034	205	768	165	187	465	35	144	122	963	1104	978	474	507	83	90	155	96	424					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	921	44	62	4	49	12	87	34	32	0	31	41	4	42	11	21	8	3	124	4	4	1	38	23	95	48	34	0	8	10	13	34					
6	Число погашенных избирательных бюллетеней	11978	289	322	133	1192	208	436	264	122	23	207	597	109	622	194	788	212	190	525	67	235	255	1049	913	1321	547	435	91	85	99	60	388					
7	Число избирательных бюллетеней в переносных ящиках для голосования	921	44	62	4	49	12	87	34	32	0	31	41	4	42	11	21	8	3	124	4	4	1	38	23	95	48	34	0	8	10	13	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12870	289	319	202	949	190	671	428	273	55	522	846	127	1034	205	768	165	187	465	35	144	122	963	1104	978	474	507	83	90	155	96	424					
9	Число недействительных избирательных бюллетеней	225	3	5	3	6	4	13	10	6	0	2	28	0	6	6	14	5	2	9	2	2	2	13	20	16	8	16	2	4	4	1	13					
10	Число действительных избирательных бюллетеней	13566	330	376	203	992	198	745	452	299	55	551	859	131	1070	210	775	168	188	580	37	146	121	988	1107	1057	514	525	81	94	161	108	445					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	4	1	3	19	1	6	7	2	1	4	17	4	9	3	15	2	4	3	1	1	3	15	27	18	8	7	0	0	0	3	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	192	4	1	3	19	1	6	7	2	1	4	17	4	9	3	15	2	4	3	0	1	3	15	26	18	8	7	0	0	0	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	176	6	4	3	7	5	6	9	3	3	15	4	4	5	4	12	10	5	4	2	1	3	23	10	8	2	4	0	4	1	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2190	22	50	45	143	34	130	65	46	6	65	233	19	199	37	115	23	17	86	1	35	15	183	163	150	93	45	13	10	24	19	104					
		15.88%	6.61%	13.12%	21.84%	14.33%	16.83%	17.15%	14.07%	15.08%	10.91%	11.75%	26.27%	14.50%	18.49%	17.13%	14.58%	13.29%	8.95%	14.60%	2.56%	23.65%	12.20%	18.28%	14.46%	13.98%	17.82%	8.32%	15.66%	10.20%	14.55%	17.43%	22.71%					
