Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Миасская городская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №145	УИК №146	УИК №147	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	137148	1103	795	1001	2549	2014	1241	1460	1734	1459	1461	2774	2277	985	1899	1815	1698	2521	2284	2305	2382	2564	2209	2249	2473	1208	1572	2533	2262	2279	1857	1997	1320	1710	927	2099	1191	1976	1918	1750	1337	1772	1811	2542	1448	2022	2133	1353	1412	1851	1399	1932	1890	1491	1395	1606	2242	1461	2859	1449	2156	1070	1492	1345	1787	1442	1411	1100	1739	1737	2041	1878	1646	1443	1529	1010	586	1184	985	1120	511	680									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109810	1000	600	700	2000	1500	1000	1100	1500	1100	1100	2000	2000	700	1500	1500	1500	2000	2000	2010	2000	2000	2000	2000	2000	1000	1100	2000	2000	2000	1500	1500	1000	1500	700	2000	1000	2000	1500	1300	1000	1500	1500	2000	1100	1500	1500	1000	1000	1500	1000	1500	1500	1100	1000	1200	2000	1100	2100	1100	2000	1000	1100	1000	1300	1100	1000	1000	1300	1300	1500	1500	1200	1100	1100	1000	500	1000	700	1000	400	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54568	299	269	384	869	939	626	736	769	646	601	1341	988	378	755	801	809	1074	1107	1012	1172	1201	936	756	1088	536	696	963	846	944	772	980	463	703	324	773	534	840	608	657	592	715	838	1128	650	864	890	554	645	803	477	744	857	394	570	801	989	539	915	467	826	297	587	511	528	373	364	393	599	562	642	548	586	451	422	314	244	411	367	381	175	360									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1360	63	9	8	30	18	7	14	8	27	6	14	13	5	21	16	13	9	17	12	12	2	9	76	6	4	11	7	23	30	7	8	5	24	43	32	3	25	16	51	13	21	10	14	6	7	2	4	3	20	9	21	7	6	18	4	9	15	14	14	15	2	15	7	26	8	22	40	6	13	13	10	5	11	53	37	8	61	27	31	26	3									
6	Число погашенных избирательных бюллетеней	53882	638	322	308	1101	543	367	350	723	427	493	645	999	317	724	683	678	917	876	986	816	797	1055	1168	906	460	393	1030	1131	1026	721	512	532	773	333	1195	463	1135	876	592	395	764	652	858	444	629	608	442	352	677	514	735	636	700	412	395	1002	546	1171	619	1159	701	498	482	746	719	614	567	695	725	845	942	609	638	625	649	248	528	306	588	199	237									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1360	63	9	8	30	18	7	14	8	27	6	14	13	5	21	16	13	9	17	12	12	2	9	76	6	4	11	7	23	30	7	8	5	24	43	32	3	25	16	51	13	21	10	14	6	7	2	4	3	20	9	21	7	6	18	4	9	15	14	14	15	2	15	7	26	8	22	40	6	13	13	10	5	11	53	37	8	61	27	31	26	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54532	299	269	384	869	939	626	735	769	646	601	1338	988	378	755	801	809	1073	1105	1012	1163	1198	935	756	1088	536	696	962	846	944	772	972	463	703	324	773	534	840	608	657	591	715	838	1127	650	863	890	554	645	803	477	744	857	394	570	801	989	539	915	467	826	296	587	511	528	373	364	392	599	562	640	548	586	451	422	314	244	411	367	381	175	360									
9	Число недействительных избирательных бюллетеней	1898	10	13	20	25	20	21	27	21	21	21	42	23	9	14	17	30	28	29	30	29	23	28	62	47	18	36	39	35	40	24	37	11	25	9	36	16	29	21	25	19	20	34	32	15	30	36	40	25	27	15	20	25	18	25	22	37	16	30	22	22	10	29	17	13	21	12	14	22	24	38	31	31	14	12	11	6	16	9	17	4	6									
10	Число действительных избирательных бюллетеней	53994	352	265	372	874	937	612	722	756	652	586	1310	978	374	762	800	792	1054	1093	994	1146	1177	916	770	1047	522	671	930	834	934	755	943	457	702	358	769	521	836	603	683	585	716	814	1109	641	840	856	518	623	796	471	745	839	382	563	783	961	538	899	459	819	288	573	501	541	360	374	418	583	551	615	527	560	448	463	340	246	456	385	395	197	357									
