Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Пономаревская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1447	УИК №1448									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12109	186	302	460	120	475	520	253	86	365	247	713	732	159	202	1501	581	742	1505	97	500	101	346	279	984	416	85	152									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11870	179	302	455	120	463	520	254	80	358	242	703	735	158	204	1430	560	704	1420	96	521	100	339	272	995	428	85	147									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6071	99	162	180	57	384	289	178	56	207	119	323	316	69	91	829	276	357	695	75	309	32	141	192	315	194	53	73									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	776	13	41	50	32	8	14	28	10	51	63	29	27	27	45	27	16	27	13	0	21	20	50	9	92	45	7	11									
6	Число погашенных избирательных бюллетеней	5023	67	99	225	31	71	217	48	14	100	60	351	392	62	68	574	268	320	712	21	191	48	148	71	588	189	25	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	776	13	41	50	32	8	14	28	10	51	63	29	27	27	45	27	16	27	13	0	21	20	50	9	92	45	7	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6068	99	162	180	57	384	289	178	56	207	119	323	316	69	91	829	276	357	695	75	309	32	141	192	312	194	53	73									
9	Число недействительных избирательных бюллетеней	95	1	0	1	1	5	9	2	0	0	1	10	8	0	2	6	0	2	18	1	12	0	5	2	5	1	3	0									
10	Число действительных избирательных бюллетеней	6749	111	203	229	88	387	294	204	66	258	181	342	335	96	134	850	292	382	690	74	318	52	186	199	399	238	57	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	3	6	9	2	9	10	5	2	7	5	14	15	3	4	20	10	15	20	2	8	2	6	5	20	20	0	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	38	0	1	1	0	0	0	0	0	0	0	2	4	0	0	2	3	1	9	1	3	0	1	0	5	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	1	1	3	1	3	1	1	2	1	1	2	0	0	3	3	1	5	2	0	1	1	2	1	1	1	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	187	3	5	8	2	9	10	5	2	7	5	12	11	3	4	18	7	14	11	1	5	2	5	5	15	15	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	0	0	0	0	0	0	1	0	0	0	0	3	0	1	7	2	2	7	0	1	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	0	0	2	1	20	1	1	2	0	2	3	1	1	0	11	3	4	16	1	4	0	0	1	10	1	0	2									
		1.27%	0.00%	0.00%	0.87%	1.12%	5.10%	0.33%	0.49%	3.03%	0.00%	1.10%	0.85%	0.29%	1.04%	0.00%	1.29%	1.03%	1.04%	2.26%	1.33%	1.21%	0.00%	0.00%	0.50%	2.48%	0.42%	0.00%	2.38%									
