Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Электрогорская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263					
1	"Число избирателей, внесенных в списки избирателей"	17466	2416	2640	2524	2451	2447	2472	2516					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11994	1677	1828	1746	1679	1689	1726	1649					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9520	1196	1356	1334	1323	1416	1435	1460					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	162	24	43	22	18	9	22	24					
6	Число погашенных избирательных бюллетеней	2312	457	429	390	338	264	269	165					
7	Число избирательных бюллетеней в переносных ящиках для голосования	162	24	43	22	18	9	22	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9516	1196	1356	1334	1320	1415	1435	1460					
9	Число недействительных избирательных бюллетеней	190	26	37	25	22	19	32	29					
10	Число действительных избирательных бюллетеней	9488	1194	1362	1331	1316	1405	1425	1455					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	20	20	40	40	30	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	149	16	17	24	22	25	30	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	120	11	7	6	9	7	17	63					
14	Число погашенных неиспользованных открепительных удостоверений	51	4	3	16	18	5	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	222	29	36	22	34	34	38	29					
		2.29%	2.38%	2.57%	1.62%	2.54%	2.39%	2.61%	1.95%					
19	2.Всероссийская политическая партия «Гражданская Сила»	106	12	15	15	14	29	8	13					
		1.10%	0.98%	1.07%	1.11%	1.05%	2.04%	0.55%	0.88%					
20	3.Политическая партия «Демократическая партия России»	12	0	1	1	2	1	3	4					
		0.12%	0.00%	0.07%	0.07%	0.15%	0.07%	0.21%	0.27%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2353	302	303	386	285	364	380	333					
		24.31%	24.75%	21.66%	28.47%	21.30%	25.56%	26.08%	22.44%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	110	15	14	18	19	16	12	16					
		1.14%	1.23%	1.00%	1.33%	1.42%	1.12%	0.82%	1.08%					
23	6.Политическая партия «Партия социальной справедливости»	24	2	7	2	3	4	3	3					
		0.25%	0.16%	0.50%	0.15%	0.22%	0.28%	0.21%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	1438	202	238	143	178	234	239	204					
		14.86%	16.56%	17.01%	10.55%	13.30%	16.43%	16.40%	13.75%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	684	78	88	86	114	121	88	109					
		7.07%	6.39%	6.29%	6.34%	8.52%	8.50%	6.04%	7.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	118	18	23	15	10	22	19	11					
		1.22%	1.48%	1.64%	1.11%	0.75%	1.54%	1.30%	0.74%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4235	511	606	613	636	554	606	709					
		43.76%	41.89%	43.32%	45.21%	47.53%	38.90%	41.59%	47.78%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	186	25	31	30	21	26	29	24					
		1.92%	2.05%	2.22%	2.21%	1.57%	1.83%	1.99%	1.62%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
