Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
"Наименование Избирательной комиссии:    Красноярск, Кировская"																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237					
1	"Число избирателей, внесенных в списки"	91869	1883	2246	2162	1390	1552	1782	1823	1755	1734	1903	1780	1887	1961	1877	1847	1960	2055	2139	1972	2092	2093	1904	1871	1716	1898	1879	1907	2119	2023	1909	1742	1720	1842	1842	2001	1882	1964	1752	1756	1568	1570	1566	1887	1820	1790	1557	1914	1985	1852	740					
2	"Число бюллетеней, полученных участковыми комиссиями"	91690	1864	2246	2180	1379	1548	1787	1824	1752	1728	1908	1782	1896	1966	1868	1843	1960	2017	2148	1966	2107	2095	1920	1880	1714	1894	1877	1918	2091	1900	1911	1748	1756	1832	1842	2011	1864	1956	1751	1766	1590	1568	1577	1888	1808	1811	1472	1906	1989	1859	727					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37341	439	578	863	598	615	708	717	514	669	878	780	896	789	743	817	832	830	888	891	602	832	797	872	798	909	896	870	742	718	750	795	491	877	862	931	766	839	681	532	591	572	688	892	690	773	537	953	998	821	221					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	822	36	5	13	11	15	10	8	12	1	16	8	14	9	26	16	21	16	18	15	11	8	15	6	19	10	14	12	16	17	28	29	9	28	14	28	24	26	9	13	28	12	7	39	12	26	18	31	17	26	0					
6	Число погашенных бюллетеней	53526	1389	1663	1304	770	918	1069	1099	1226	1058	1014	994	986	1168	1099	1010	1107	1171	1242	1060	1494	1255	1108	1002	897	975	967	1036	1333	1165	1133	924	1255	927	966	1052	1074	1091	1061	1221	971	984	882	957	1106	1012	917	922	974	1012	506					
7	Число бюллетеней в переносных ящиках для голосования	822	36	5	13	11	15	10	8	12	1	16	8	14	9	26	16	21	16	18	15	11	8	15	6	19	10	14	12	16	17	28	29	9	28	14	28	24	26	9	13	28	12	7	39	12	26	18	31	17	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	37331	439	578	863	597	615	708	717	514	668	878	780	895	789	743	817	832	830	888	891	601	832	797	872	798	909	896	870	742	718	750	794	491	877	862	931	766	839	681	532	591	572	688	892	688	771	536	953	998	821	221					
9	Число недействительных бюллетеней	547	10	11	13	17	16	4	2	7	7	14	10	12	8	12	32	12	5	20	15	12	9	11	12	11	11	12	15	5	9	15	15	11	11	9	17	10	10	7	14	13	14	7	9	8	2	6	8	15	8	4					
10	Число действительных бюллетеней	37606	465	572	863	591	614	714	723	519	662	880	778	897	790	757	801	841	841	886	891	600	831	801	866	806	908	898	867	753	726	763	808	489	894	867	942	780	855	683	531	606	570	688	922	692	795	548	976	1000	839	217					
