Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
1	"Число избирателей, внесенных в списки"	124577	1423	1586	2881	2986	2474	2685	1728	1706	2705	2543	2658	2800	2596	2150	2122	2283	2373	1844	1922	2547	1335	2137	2584	2877	2746	1921	2076	1222	2230	2743	2097	2086	1746	1670	1890	1127	357	2392	297	2664	2746	1060	2432	2018	2149	2235	1692	2216	1165	2141	1016	756	1086	2136	851	994	916	733	2619	226	2018	1632	944	1708	232	217	1194	383	373	261	71	110	38					
2	"Число бюллетеней, полученных участковыми комиссиями"	121084	1300	1500	2800	2900	2400	2600	1600	1600	2700	2500	2600	2700	2500	2100	2000	2200	2300	1800	1900	2500	1300	2200	2500	2900	2700	1900	2000	1200	2200	2700	2100	2100	1600	1600	1800	1100	320	2400	250	2600	2700	1000	2400	2000	2100	2100	1600	2100	1100	2000	1000	700	1000	2200	800	900	900	700	2400	220	2000	1600	900	1600	200	200	1100	350	350	250	350	182	112					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50937	478	686	1312	1215	1013	1231	771	759	1360	1176	1202	1285	1144	1057	784	809	764	795	914	1271	581	851	1138	1236	1229	811	961	604	1132	1268	943	922	771	630	671	490	96	800	80	1074	1027	381	723	770	739	952	684	875	475	730	395	210	307	850	361	359	409	258	914	92	707	650	248	459	82	93	356	110	166	114	65	41	21					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2558	66	21	24	27	15	16	57	40	56	25	19	26	18	13	46	68	33	50	29	44	28	35	22	30	35	19	8	18	34	28	43	26	12	25	22	45	49	68	112	20	31	5	122	56	44	29	23	21	5	49	43	18	47	38	10	29	13	11	85	19	20	33	92	51	22	29	86	35	11	36	0	56	17					
6	Число погашенных бюллетеней	67589	756	793	1464	1658	1372	1353	772	801	1284	1299	1379	1389	1338	1030	1170	1323	1503	955	957	1185	691	1314	1340	1634	1436	1070	1031	578	1034	1404	1114	1152	817	945	1107	565	175	1532	58	1506	1642	614	1555	1174	1317	1119	893	1204	620	1221	562	472	646	1312	429	512	478	431	1401	109	1273	917	560	1090	96	78	658	205	173	100	285	85	74					
7	Число бюллетеней в переносных ящиках для голосования	2557	66	21	24	27	15	16	57	40	56	25	19	26	18	13	46	68	33	50	29	44	28	35	22	30	35	19	8	18	34	28	43	26	12	25	22	44	49	68	112	20	31	5	122	56	44	29	23	21	5	49	43	18	47	38	10	29	13	11	85	19	20	33	92	51	22	29	86	35	11	36	0	56	17					
8	Число бюллетеней в стационарных ящиках для голосования	50924	478	686	1312	1215	1013	1230	771	759	1360	1176	1201	1285	1144	1057	784	808	764	795	913	1271	581	851	1137	1235	1229	811	960	604	1132	1267	943	921	771	630	671	491	96	800	80	1074	1027	381	723	770	737	950	684	875	475	730	395	210	307	850	361	359	409	258	913	92	707	650	248	459	82	93	356	110	166	114	65	41	21					
9	Число недействительных бюллетеней	767	11	2	20	13	20	15	18	11	28	23	22	21	10	14	0	10	15	4	5	10	8	18	7	20	8	3	13	11	6	15	11	17	14	15	6	10	0	37	3	13	18	14	13	19	13	13	8	10	13	15	2	4	5	10	5	10	9	14	13	2	2	9	4	13	2	0	8	3	4	2	0	1	2					
10	Число действительных бюллетеней	52714	533	705	1316	1229	1008	1231	810	788	1388	1178	1198	1290	1152	1056	830	866	782	841	937	1305	601	868	1152	1245	1256	827	955	611	1160	1280	975	930	769	640	687	525	145	831	189	1081	1040	372	832	807	768	966	699	886	467	764	436	224	349	878	366	378	413	255	985	109	725	674	336	497	102	122	434	142	173	148	65	96	36					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1198	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	20	10	20	20	20	20	20	20	20	20	20	10	20	10	10	10	20	10	10	10	10	20	10	20	10	10	10	10	10	20	10	10	8	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	339	2	3	6	7	5	15	7	6	13	7	8	4	5	5	1	1	9	5	4	9	7	6	9	12	10	0	4	4	7	6	3	9	5	8	4	6	1	8	1	12	7	4	2	8	3	2	2	2	0	8	3	1	3	4	2	3	7	2	5	4	3	4	1	3	0	0	5	3	0	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	296	3	2	2	1	2	3	2	2	9	2	7	4	3	7	2	1	1	2	3	5	1	2	11	5	8	0	1	22	3	1	2	2	6	9	3	1	4	3	4	4	6	4	2	1	6	2	2	9	2	1	2	3	8	3	7	3	0	5	10	0	6	0	3	6	3	17	1	6	4	7	2	1	9					
14	Число погашенных открепительных удостоверений	859	18	17	14	13	15	5	13	14	7	13	12	16	15	15	19	19	11	15	16	11	13	14	11	8	10	20	16	16	13	14	17	11	15	12	16	4	9	12	9	8	13	16	18	12	17	18	18	18	10	12	7	9	7	16	8	7	3	8	15	6	17	6	9	7	10	10	15	7	10	4	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	"1. ""ЕДИНЕНИЕ"""	538	7	5	3	20	8	13	4	5	14	8	19	8	6	7	10	7	10	6	6	16	5	8	7	16	13	4	9	8	11	17	13	7	9	6	5	13	0	8	1	11	11	4	21	21	9	13	4	4	7	8	6	4	5	9	3	3	8	4	3	2	3	6	3	8	1	1	1	0	2	3	0	7	1					
		1.00%	1.28%	0.70%	0.22%	1.61%	0.77%	1.04%	0.48%	0.62%	0.98%	0.66%	1.55%	0.61%	0.51%	0.65%	1.20%	0.79%	1.25%	0.71%	0.63%	1.21%	0.82%	0.90%	0.60%	1.26%	1.02%	0.48%	0.92%	1.28%	0.94%	1.31%	1.31%	0.73%	1.14%	0.91%	0.72%	2.42%	0.0%	0.92%	0.52%	1.00%	1.03%	1.03%	2.48%	2.54%	1.15%	1.32%	0.56%	0.44%	1.45%	1.02%	1.36%	1.75%	1.41%	1.01%	0.80%	0.77%	1.89%	1.48%	0.30%	1.80%	0.41%	0.87%	0.88%	1.56%	0.96%	0.81%	0.22%	0.0%	1.12%	2.0%	0.0%	7.21%	2.63%					
