Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Ковровская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662					
1	"Число избирателей, внесенных в списки"	24179	664	205	221	1743	944	2715	308	189	411	399	826	314	324	1035	177	207	744	357	213	1226	436	187	412	403	654	897	446	761	494	1013	630	1367	1613	1644					
2	"Число бюллетеней, полученных участковыми комиссиями"	22410	650	200	200	1600	900	2050	300	200	350	350	800	300	300	1000	170	200	700	350	200	1200	400	190	400	400	650	800	400	750	500	1000	600	1300	1500	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11214	329	103	128	791	360	1933	108	90	172	150	380	148	154	333	119	81	332	58	42	525	180	43	206	143	293	498	132	161	265	665	323	556	676	737					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1321	59	44	12	33	19	17	61	15	61	38	26	0	0	97	14	39	25	103	55	32	40	57	6	53	54	3	70	181	9	17	4	25	28	24					
6	Число погашенных бюллетеней	9875	262	53	60	776	521	100	131	95	117	162	394	152	146	570	37	80	343	189	103	643	180	90	188	204	303	299	198	408	226	318	273	719	796	739					
7	Число бюллетеней в переносных ящиках для голосования	1321	59	44	12	33	19	17	61	15	61	38	26	0	0	97	14	39	25	103	55	32	40	57	6	53	54	3	70	181	9	17	4	25	28	24					
8	Число бюллетеней в стационарных ящиках для голосования	11214	329	103	128	791	360	1933	108	90	172	150	380	148	154	333	119	81	332	58	42	525	180	43	206	143	293	498	132	161	265	665	323	556	676	737					
9	Число недействительных бюллетеней	187	4	5	7	15	6	3	2	6	7	3	3	2	0	7	0	2	5	4	0	8	6	3	5	3	6	9	9	2	0	11	3	14	12	15					
10	Число действительных бюллетеней	12348	384	142	133	809	373	1947	167	99	226	185	403	146	154	423	133	118	352	157	97	549	214	97	207	193	341	492	193	340	274	671	324	567	692	746					
