Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Балаганская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7172	569	152	452	397	97	182	667	83	426	807	1627	1024	689									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7200	568	152	456	398	96	186	670	86	435	812	1625	1021	695									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2816	368	105	141	121	33	62	245	31	137	214	659	475	225									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	176	25	4	20	14	9	10	7	3	5	23	39	8	9									
6	Число погашенных избирательных бюллетеней	4208	175	43	295	263	54	114	418	52	293	575	927	538	461									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	176	25	4	20	14	9	10	7	3	5	23	39	8	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2816	368	105	141	121	33	62	245	31	137	214	659	475	225									
9	Число недействительных избирательных бюллетеней	64	7	4	3	0	0	0	5	1	5	7	17	10	5									
10	Число действительных избирательных бюллетеней	2928	386	105	158	135	42	72	247	33	137	230	681	473	229									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	40	15	30	30	15	15	40	15	40	40	50	50	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	22	1	0	0	0	0	1	1	0	10	0	5	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	2	0	0	0	3	0	3	1	1	0	3	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	398	39	15	30	30	15	14	39	15	30	40	45	47	39									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	2	0	3	0	0	1	2	0	2	2	4	5	1									
		0.74%	0.51%	0.00%	1.86%	0.00%	0.00%	1.39%	0.79%	0.00%	1.41%	0.84%	0.57%	1.04%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	131	20	8	10	5	6	3	6	1	5	11	28	16	12									
		4.38%	5.09%	7.34%	6.21%	3.70%	14.29%	4.17%	2.38%	2.94%	3.52%	4.64%	4.01%	3.31%	5.13%									
