Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Красногорская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131					
1	"Число избирателей, внесенных в список избирателей"	146978	1897	723	2540	1372	1514	2423	2304	2153	2159	2257	2043	2244	2023	2402	2275	2068	2125	2075	2306	2647	2706	2477	2466	2469	2209	2205	2064	1925	2450	2784	2746	2498	1995	1981	2123	2136	1535	1312	901	2449	2275	1936	2109	325	2372	1292	439	170	439	1235	2839	2731	2328	2535	2317	2594	2880	3036	2477	2141	2204	1275	2325	1317	2378	1526	2137	1486	2087	524	1051	751	1122	602	2742					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	137540	1800	600	2400	1250	1200	2400	2300	2100	2000	2000	2000	2000	1900	2300	2300	2000	2100	2000	2200	2700	2700	2100	2400	2200	2200	2200	2050	1850	2300	2700	2700	2500	2000	1900	2100	2100	1450	1200	750	2400	2200	1500	2000	290	1750	800	600	600	400	1200	2800	2700	2300	2400	2200	2400	2600	2100	2400	2100	2100	1200	2100	1100	1850	1100	1800	1500	2000	500	900	700	1000	400	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	67316	843	306	1120	624	911	1100	1079	1029	911	1114	982	941	734	1087	1135	925	946	828	879	1203	1297	1188	1207	1291	968	987	975	783	1093	1254	1180	1102	825	904	855	1033	642	580	416	1133	970	1064	1157	137	1126	697	282	105	170	389	1231	1165	847	971	1087	1273	1460	1380	1257	1012	1027	609	1156	663	1269	825	894	677	949	219	558	197	522	342	1219					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2120	18	11	52	25	61	33	30	26	9	14	12	11	2	16	27	36	16	28	10	21	30	28	52	32	33	23	25	7	20	18	16	33	24	30	24	18	14	13	26	13	7	12	14	1	0	5	157	57	6	47	15	11	28	42	9	3	6	32	22	14	10	4	22	5	100	14	30	26	35	21	21	375	13	7	12					
6	Число погашенных избирательных бюллетеней	68104	939	283	1228	601	228	1267	1191	1045	1080	872	1006	1048	1164	1197	1138	1039	1138	1144	1311	1476	1373	884	1141	877	1199	1190	1050	1060	1187	1428	1504	1365	1151	966	1221	1049	794	607	308	1254	1223	424	829	152	624	98	161	438	224	764	1554	1524	1425	1387	1104	1124	1134	688	1121	1074	1063	587	922	432	481	261	876	797	1016	260	321	128	465	51	1369					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2120	18	11	52	25	61	33	30	26	9	14	12	11	2	16	27	36	16	28	10	21	30	28	52	32	33	23	25	7	20	18	16	33	24	30	24	18	14	13	26	13	7	12	14	1	0	5	157	57	6	47	15	11	28	42	9	3	6	32	22	14	10	4	22	5	100	14	30	26	35	21	21	375	13	7	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67149	842	306	1118	620	910	1100	1079	1029	910	1111	982	940	734	1072	1135	925	943	828	879	1191	1297	1188	1205	1259	964	987	975	783	1093	1254	1180	1102	825	904	852	1013	642	580	415	1133	970	1064	1154	136	1122	697	282	105	169	386	1231	1165	845	970	1081	1273	1460	1380	1257	1012	1027	608	1156	663	1262	825	864	677	946	219	558	197	522	342	1219					
9	Число недействительных избирательных бюллетеней	1889	24	8	23	16	84	32	38	24	22	19	20	13	10	23	29	31	31	22	17	27	44	12	33	28	27	25	21	29	32	35	43	40	19	35	28	28	22	17	8	32	25	31	44	3	19	8	16	3	10	9	34	24	14	44	32	23	30	39	24	30	25	13	45	22	43	20	33	15	40	9	16	10	16	15	34					
10	Число действительных избирательных бюллетеней	67380	836	309	1147	629	887	1101	1071	1031	897	1106	974	938	726	1065	1133	930	928	834	872	1185	1283	1204	1224	1263	970	985	979	761	1081	1237	1153	1095	830	899	848	1003	634	576	433	1114	952	1045	1124	134	1103	694	423	159	165	424	1212	1152	859	968	1058	1253	1436	1373	1255	996	1012	599	1133	646	1319	819	861	688	941	231	563	562	519	334	1197					
