Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Красногорская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101					
1	"Число избирателей, внесенных в списки избирателей"	132755	1351	2451	801	1165	1352	2524	2455	2285	2039	2264	2351	1626	2291	1608	2498	1956	2455	2041	2651	2475	2481	1100	2088	2162	2000	2064	2260	2192	1736	1326	2893	2158	1594	1582	2595	2042	979	1259	1561	2205	2095	2575	2096	629	350	409	1192	2647	2631	2417	2958	3332	1893	2909	2730	1679	1648	1483	1916	2018	1678	1953	1263	1511	2133	476	1251	344	1317	492	1814					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	121000	1000	2000	600	1000	1000	2500	2500	2000	2000	2000	2000	1500	2000	1500	2500	1500	2500	2000	2500	2500	2500	2000	2000	2000	2000	2000	2000	2000	1500	1000	2500	2000	1500	1500	2500	2000	1000	1000	1500	2000	2000	2500	2000	650	1000	400	1000	2500	2500	2000	2500	2500	1500	2500	2500	1500	1500	1000	1500	1500	1500	1500	1000	1500	2000	400	1000	350	1200	400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	68258	764	1247	378	560	806	1178	1213	1243	1077	1116	1146	771	934	770	1135	1026	1316	994	1374	1391	1284	1065	1067	1066	1024	995	1059	1105	958	596	1412	967	791	784	1219	1108	514	618	739	1134	1065	1466	1160	566	309	225	493	1381	1324	987	1602	1849	865	1537	1460	861	1001	796	995	1089	871	1022	650	728	1095	262	619	207	593	275	961					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2278	29	43	40	25	6	32	22	28	17	42	20	36	10	11	25	19	16	10	35	40	31	35	30	13	19	15	25	32	20	12	19	11	9	10	46	15	8	12	30	14	10	26	17	0	0	19	67	11	22	48	3	26	18	31	19	14	2	41	49	50	14	13	10	49	87	40	265	17	353	18	27					
6	Число погашенных избирательных бюллетеней	50462	207	710	182	415	188	1290	1265	729	906	842	834	693	1056	719	1340	455	1168	996	1091	1069	1185	900	903	921	957	990	916	863	522	392	1069	1022	700	706	1235	877	478	370	731	852	925	1008	823	84	691	156	440	1108	1154	965	895	625	617	932	1021	625	497	163	456	361	615	465	340	723	818	98	114	126	254	107	512					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2278	29	43	40	25	6	32	22	28	17	42	20	36	10	11	25	19	16	10	35	40	31	35	30	13	19	15	25	32	20	12	19	11	9	10	46	15	8	12	30	14	10	26	17	0	0	19	67	11	22	48	3	26	18	31	19	14	2	41	49	50	14	13	10	49	87	40	265	17	353	18	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68209	764	1247	378	560	806	1177	1208	1243	1076	1116	1142	771	934	770	1129	1024	1313	991	1374	1391	1284	1065	1067	1062	1019	994	1059	1101	958	596	1412	967	791	784	1218	1108	514	618	737	1134	1065	1465	1158	566	308	225	493	1381	1324	986	1602	1849	865	1537	1460	861	1001	796	995	1089	871	1022	650	728	1093	262	619	207	593	275	961					
9	Число недействительных избирательных бюллетеней	1044	10	24	1	9	8	22	17	17	17	30	8	8	18	17	13	8	14	15	14	20	19	23	10	14	12	13	16	14	15	8	22	14	15	11	8	19	8	11	11	19	19	33	18	13	5	3	2	16	24	15	34	26	5	18	27	11	9	5	13	24	31	33	8	9	20	5	10	4	7	6	19					
10	Число действительных избирательных бюллетеней	69443	783	1266	417	576	804	1187	1213	1254	1076	1128	1154	799	926	764	1141	1035	1315	986	1395	1411	1296	1077	1087	1061	1026	996	1068	1119	963	600	1409	964	785	783	1256	1104	514	619	756	1129	1056	1458	1157	553	303	241	558	1376	1322	1019	1571	1849	878	1550	1452	864	994	832	1031	1115	854	1002	652	768	1160	297	874	220	939	287	969					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3430	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	20	40	40	70	50	0	0	50	50	50	50	50	80	50	50	50	50	50	50	50	50	145	30	35	50	50	50	50	50	10	30	30	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1773	14	20	5	7	19	27	25	20	17	20	18	12	37	31	25	21	32	37	36	33	37	31	27	24	24	31	29	25	18	14	40	25	16	20	30	25	8	11	15	23	29	58	28	0	0	2	9	39	30	28	70	50	19	50	48	24	27	19	14	138	23	25	9	12	19	7	14	0	15	4	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1862	28	46	17	22	28	15	15	12	7	10	15	7	21	15	25	14	24	16	22	28	16	9	16	17	18	15	18	21	19	88	39	18	13	13	19	25	17	6	21	20	13	32	11	42	91	12	44	30	17	16	63	22	19	15	23	12	23	63	40	104	88	52	10	17	18	3	28	43	61	10	25					
14	Число погашенных неиспользованных открепительных удостоверений	1657	36	30	45	43	31	23	25	30	33	30	32	38	13	19	25	29	18	13	14	17	13	19	23	26	26	19	21	25	32	36	10	25	34	30	20	25	42	39	5	17	11	12	22	0	0	48	41	11	20	22	10	0	31	0	2	26	23	31	36	7	7	10	41	38	31	43	36	10	15	26	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	2	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	2	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
