Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Кедровская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298					
1	"Число избирателей, внесенных в список избирателей"	3188	974	879	234	703	337	61					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3110	1000	800	200	700	350	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1386	417	393	109	307	120	40					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	119	31	21	14	30	18	5					
6	Число погашенных избирательных бюллетеней	1605	552	386	77	363	212	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	119	31	21	14	30	18	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1386	417	393	109	307	120	40					
9	Число недействительных избирательных бюллетеней	14	5	0	5	3	0	1					
10	Число действительных избирательных бюллетеней	1491	443	414	118	334	138	44					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	100	100	30	100	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	148	35	20	6	72	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	7	22	3	10	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	222	65	80	24	28	15	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	2	4	1	3	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	263	99	67	13	49	30	5					
		17.48%	22.10%	16.18%	10.57%	14.54%	21.74%	11.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	265	77	87	21	48	29	3					
		17.61%	17.19%	21.01%	17.07%	14.24%	21.01%	6.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	3	6	6	9	3	2					
		1.93%	0.67%	1.45%	4.88%	2.67%	2.17%	4.44%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	243	73	77	16	60	14	3					
		16.15%	16.29%	18.60%	13.01%	17.80%	10.14%	6.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	31	12	11	1	6	1	0					
		2.06%	2.68%	2.66%	0.81%	1.78%	0.72%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	650	176	162	60	160	61	31					
		43.19%	39.29%	39.13%	48.78%	47.48%	44.20%	68.89%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	3	4	1	2	0	0					
		0.66%	0.67%	0.97%	0.81%	0.59%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
