Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Кедровская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300					
1	"Число избирателей, внесенных в списки избирателей"	3096	912	939	221	662	195	116	51					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3020	900	860	230	680	190	110	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1619	492	450	132	323	112	62	48					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	135	53	23	10	32	6	9	2					
6	Число погашенных избирательных бюллетеней	1266	355	387	88	325	72	39	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	135	53	23	10	32	6	9	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1619	492	450	132	323	112	62	48					
9	Число недействительных избирательных бюллетеней	14	4	2	0	6	2	0	0					
10	Число действительных избирательных бюллетеней	1740	541	471	142	349	116	71	50					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	60	60	30	60	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	149	30	24	19	50	4	15	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	28	12	0	2	5	0	6					
14	Число погашенных неиспользованных открепительных удостоверений	151	30	36	11	10	26	15	23					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	86	53	22	0	7	3	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	34	7	9	7	8	2	1	0					
		1.94%	1.28%	1.90%	4.93%	2.25%	1.69%	1.41%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	8	3	1	1	3	0	0	0					
		0.46%	0.55%	0.21%	0.70%	0.85%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	1	1	0	1	0					
		0.17%	0.00%	0.00%	0.70%	0.28%	0.00%	1.41%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	89	25	20	11	29	2	2	0					
		5.07%	4.59%	4.23%	7.75%	8.17%	1.69%	2.82%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	4	1	0	0	0	0	0					
		0.29%	0.73%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	1	1	0	0	0	0	0					
		0.11%	0.18%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	250	59	91	18	39	26	9	8					
		14.25%	10.83%	19.24%	12.68%	10.99%	22.03%	12.68%	16.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	150	49	41	5	22	13	11	9					
		8.55%	8.99%	8.67%	3.52%	6.20%	11.02%	15.49%	18.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	1	3	0	2	1	1	0					
		0.46%	0.18%	0.63%	0.00%	0.56%	0.85%	1.41%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1170	389	296	99	238	71	44	33					
		66.70%	71.38%	62.58%	69.72%	67.04%	60.17%	61.97%	66.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	21	3	8	0	7	1	2	0					
		1.20%	0.55%	1.69%	0.00%	1.97%	0.85%	2.82%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
