Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Сосновоборская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967					
1	"Число избирателей, внесенных в список избирателей"	54026	2808	2718	2814	2741	2893	2588	2474	2688	2907	2587	2577	2469	2641	2654	2827	2751	2653	2772	2731	2733					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42300	2200	2150	2200	2100	2350	2000	1950	2150	2300	2000	2000	1950	2100	2100	2150	2150	2100	2150	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30076	1445	1482	1526	1549	1328	1342	1365	1583	1708	1406	1387	1360	1471	1544	1560	1499	1628	1656	1573	1664					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	368	15	26	38	56	79	19	14	8	11	20	11	9	9	14	5	4	8	10	6	6					
6	Число погашенных избирательных бюллетеней	11855	740	642	636	495	943	639	571	559	581	574	602	581	620	542	585	647	464	484	521	429					
7	Число избирательных бюллетеней в переносных ящиках для голосования	368	15	26	38	56	79	19	14	8	11	20	11	9	9	14	5	4	8	10	6	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30050	1445	1481	1526	1549	1328	1342	1365	1580	1705	1406	1385	1360	1468	1542	1557	1498	1624	1654	1571	1664					
9	Число недействительных избирательных бюллетеней	512	39	18	37	28	34	15	16	32	24	19	34	20	25	28	24	33	27	22	19	18					
10	Число действительных избирательных бюллетеней	29906	1421	1489	1527	1577	1373	1346	1363	1556	1692	1407	1362	1349	1452	1528	1538	1469	1605	1642	1558	1652					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	386	47	23	20	14	13	17	17	17	15	16	15	21	18	12	15	18	22	20	28	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	290	19	17	14	38	17	12	6	6	8	8	6	10	11	6	14	8	18	20	27	25					
14	Число погашенных неиспользованных открепительных удостоверений	914	18	42	45	51	52	48	48	48	50	49	50	44	47	53	50	47	43	45	37	47					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	1	1	2	3	2	0	0	2	1	4	1	0	0	1	0	0	1	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8011	216	442	410	404	266	372	379	456	446	421	359	399	398	434	385	422	482	414	445	461					
		26.34%	14.79%	29.33%	26.21%	25.17%	18.91%	27.33%	27.48%	28.72%	25.99%	29.52%	25.72%	29.15%	26.95%	27.89%	24.65%	28.10%	29.53%	24.88%	28.22%	27.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3971	289	174	201	191	238	185	156	194	200	172	195	190	193	149	248	170	183	220	201	222					
		13.05%	19.79%	11.55%	12.85%	11.90%	16.92%	13.59%	11.31%	12.22%	11.66%	12.06%	13.97%	13.88%	13.07%	9.58%	15.88%	11.32%	11.21%	13.22%	12.75%	13.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	436	21	16	14	31	21	18	19	20	25	16	17	21	28	25	25	18	22	19	26	34					
		1.43%	1.44%	1.06%	0.90%	1.93%	1.49%	1.32%	1.38%	1.26%	1.46%	1.12%	1.22%	1.53%	1.90%	1.61%	1.60%	1.20%	1.35%	1.14%	1.65%	2.04%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6997	186	334	398	385	330	325	320	357	440	346	337	297	329	332	383	329	389	413	386	381					
