Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    ЗАТО Первомайский											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950					
1	"Число избирателей, внесенных в списки избирателей"	4221	973	1458	940	850					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3900	900	1400	850	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3204	765	1076	755	608					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	240	15	190	13	22					
6	Число погашенных избирательных бюллетеней	456	120	134	82	120					
7	Число избирательных бюллетеней в переносных ящиках для голосования	240	15	190	13	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3202	765	1075	755	607					
9	Число недействительных избирательных бюллетеней	28	9	12	2	5					
10	Число действительных избирательных бюллетеней	3414	771	1253	766	624					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	255	81	90	40	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	255	81	90	40	44					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	90	22	47	15	6					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	5	50	13	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	89	24	21	27	17					
		2.59%	3.08%	1.66%	3.52%	2.70%					
19	2.Всероссийская политическая партия «Гражданская Сила»	32	11	8	11	2					
		0.93%	1.41%	0.63%	1.43%	0.32%					
20	3.Политическая партия «Демократическая партия России»	4	0	3	1	0					
		0.12%	0.00%	0.24%	0.13%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	155	43	43	47	22					
		4.50%	5.51%	3.40%	6.12%	3.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	14	7	3	4	0					
		0.41%	0.90%	0.24%	0.52%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	13	2	4	4	3					
		0.38%	0.26%	0.32%	0.52%	0.48%					
24	7.Политическая партия «Либерально-демократическая партия России»	565	146	194	127	98					
		16.41%	18.72%	15.34%	16.54%	15.58%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	205	52	54	56	43					
		5.96%	6.67%	4.27%	7.29%	6.84%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	45	15	15	9	6					
		1.31%	1.92%	1.19%	1.17%	0.95%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2272	466	901	476	429					
		66.01%	59.74%	71.23%	61.98%	68.20%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	5	7	4	4					
		0.58%	0.64%	0.55%	0.52%	0.64%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
