Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    ЗАТО Первомайский											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950					
1	"Число избирателей, внесенных в список избирателей"	4509	1276	1179	1142	912					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4545	1275	1200	1100	970					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	67	25	13	7	22					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3095	880	771	630	814					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	100	4	9	15	72					
6	Число погашенных избирательных бюллетеней	1283	366	407	448	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	167	29	22	22	94					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3095	880	771	630	814					
9	Число недействительных избирательных бюллетеней	40	15	11	9	5					
10	Число действительных избирательных бюллетеней	3222	894	782	643	903					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	100	100	100	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	49	12	18	15	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	32	20	10	0					
14	Число погашенных неиспользованных открепительных удостоверений	281	88	82	85	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	7	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	244	88	56	75	25					
		7.48%	9.68%	7.06%	11.50%	2.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	818	236	212	185	185					
		25.08%	25.96%	26.73%	28.37%	20.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	14	11	6	7					
		1.16%	1.54%	1.39%	0.92%	0.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	295	88	89	75	43					
		9.04%	9.68%	11.22%	11.50%	4.74%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	18	11	6	8					
		1.32%	1.98%	1.39%	0.92%	0.88%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1770	445	398	296	631					
		54.26%	48.95%	50.19%	45.40%	69.49%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	5	5	0	4					
		0.43%	0.55%	0.63%	0.00%	0.44%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
