Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Тулунская 																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427					
1	"Число избирателей, внесенных в список избирателей"	21008	449	178	277	143	1059	236	441	983	232	397	397	536	751	109	343	150	521	1011	132	174	592	58	132	782	91	373	392	156	807	516	620	251	145	475	888	177	87	276	378	293	823	213	884	544	500	408	85	323	854	279	87					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20358	478	173	264	134	998	224	419	962	220	378	374	526	736	103	329	146	490	976	129	170	571	56	128	770	88	357	382	150	795	534	606	243	142	468	865	174	84	264	363	282	826	213	806	526	479	380	80	312	827	274	84					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12073	320	88	119	73	822	156	188	582	156	328	194	272	422	75	160	114	395	410	89	106	217	48	65	316	70	140	215	97	507	345	378	124	116	324	512	83	41	195	144	175	346	156	528	333	347	200	57	168	477	208	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1163	11	15	35	13	15	10	37	52	14	0	85	19	26	2	23	5	6	78	10	22	59	0	5	39	0	72	7	0	7	40	29	18	0	23	23	14	29	17	81	17	134	0	11	12	0	14	0	0	19	11	4					
6	Число погашенных избирательных бюллетеней	7122	147	70	110	48	161	58	194	328	50	50	95	235	288	26	146	27	89	488	30	42	295	8	58	415	18	145	160	53	281	149	199	101	26	121	330	77	14	52	138	90	346	57	267	181	132	166	23	144	331	55	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1163	11	15	35	13	15	10	37	52	14	0	85	19	26	2	23	5	6	78	10	22	59	0	5	39	0	72	7	0	7	40	29	18	0	23	23	14	29	17	81	17	134	0	11	12	0	14	0	0	19	11	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12072	320	88	119	73	822	156	188	582	156	328	194	272	422	75	160	113	395	410	89	106	217	48	65	316	70	140	215	97	507	345	378	124	116	324	512	83	41	195	144	175	346	156	528	333	347	200	57	168	477	208	72					
9	Число недействительных избирательных бюллетеней	114	3	0	0	1	0	0	0	3	1	0	0	2	4	1	0	3	4	3	0	1	1	0	0	3	0	0	4	2	7	7	6	1	2	4	11	0	4	0	5	2	7	2	9	4	1	5	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	13121	328	103	154	85	837	166	225	631	169	328	279	289	444	76	183	115	397	485	99	127	275	48	70	352	70	212	218	95	507	378	401	141	114	343	524	97	66	212	220	190	473	154	530	341	346	209	57	168	496	218	76					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	482	58	3	0	3	18	4	8	24	4	5	5	10	19	4	1	4	5	19	3	3	10	2	3	10	3	5	11	3	14	39	10	4	3	8	14	4	3	4	5	5	42	14	19	8	4	8	2	5	14	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	430	58	3	0	3	7	0	1	24	0	5	5	10	19	4	0	4	1	19	3	3	7	2	3	10	1	5	11	1	14	39	10	4	3	8	14	4	3	0	5	5	42	14	19	5	4	3	0	5	14	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	173	6	1	2	0	6	1	3	0	3	1	6	1	3	4	0	1	6	6	1	1	1	3	1	1	1	1	2	1	5	2	2	1	1	3	3	1	1	1	1	1	7	1	64	1	1	3	1	3	6	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	52	0	0	0	0	11	4	7	0	4	0	0	0	0	0	1	0	4	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	5	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1303	40	3	11	8	98	14	15	44	13	42	28	33	49	12	8	3	46	63	17	3	33	4	6	31	6	35	31	11	74	39	40	10	3	16	43	12	4	30	12	33	44	11	75	26	25	16	4	22	45	12	0					
		9.85%	12.08%	2.91%	7.14%	9.30%	11.71%	8.43%	6.67%	6.94%	7.65%	12.80%	10.04%	11.34%	10.94%	15.58%	4.37%	2.54%	11.47%	12.91%	17.17%	2.34%	11.96%	8.33%	8.57%	8.73%	8.57%	16.51%	13.96%	11.34%	14.40%	10.13%	9.83%	7.04%	2.59%	4.61%	8.04%	12.37%	5.71%	14.15%	5.33%	17.19%	9.17%	7.05%	13.91%	7.54%	7.20%	7.48%	7.02%	13.10%	9.07%	5.48%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2251	93	30	20	10	144	40	36	139	24	38	49	31	79	5	26	19	46	96	22	17	61	13	25	77	21	42	38	25	79	73	66	28	11	44	65	13	17	35	42	34	71	18	96	50	54	52	3	20	81	23	10					
