Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Дуванская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814					
1	"Число избирателей, внесенных в список избирателей"	21068	436	1095	942	891	1634	593	697	521	244	340	320	285	579	318	431	225	257	659	484	800	159	1090	662	657	455	633	163	203	213	378	716	753	348	673	425	592	759	438					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21720	436	1110	941	912	1660	604	713	536	263	338	334	283	598	325	460	243	272	674	492	815	164	1140	683	696	468	658	165	208	221	385	762	811	352	692	432	615	785	474					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17549	382	912	802	825	1417	521	522	454	199	303	302	258	446	298	383	195	221	564	397	612	131	941	523	524	366	507	134	197	187	334	611	549	291	580	357	499	425	380					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1336	7	42	18	13	13	19	101	15	30	12	0	0	49	14	13	16	15	24	26	125	15	9	72	53	30	46	23	0	0	10	26	127	34	46	24	34	216	19					
6	Число погашенных избирательных бюллетеней	2835	47	156	121	74	230	64	90	67	34	23	32	25	103	13	64	32	36	86	69	78	18	190	88	119	72	105	8	11	34	41	125	135	27	66	51	82	144	75					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1336	7	42	18	13	13	19	101	15	30	12	0	0	49	14	13	16	15	24	26	125	15	9	72	53	30	46	23	0	0	10	26	127	34	46	24	34	216	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17549	382	912	802	825	1417	521	522	454	199	303	302	258	446	298	383	195	221	564	397	612	131	941	523	524	366	507	134	197	187	334	611	549	291	580	357	499	425	380					
9	Число недействительных избирательных бюллетеней	87	2	1	10	0	3	2	16	4	1	0	0	0	2	0	3	0	4	2	7	3	0	4	0	1	0	0	0	0	0	0	3	5	0	1	0	0	10	3					
10	Число действительных избирательных бюллетеней	18798	387	953	810	838	1427	538	607	465	228	315	302	258	493	312	393	211	232	586	416	734	146	946	595	576	396	553	157	197	187	344	634	671	325	625	381	533	631	396					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	468	10	13	14	20	30	12	10	8	9	1	11	9	20	0	25	12	17	8	0	5	1	15	6	8	7	9	3	3	2	5	35	47	3	8	2	20	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	468	10	13	14	20	30	12	10	8	9	1	11	9	20	0	25	12	17	8	0	5	1	15	6	8	7	9	3	3	2	5	35	47	3	8	2	20	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	9	7	8	2	5	4	0	0	1	1	0	0	2	1	0	1	2	2	0	1	0	0	2	2	1	0	0	0	1	0	0	0	0	1	2	0	18	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	1	0	1	2	4	2	1	2	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	3	2	1	1	0	0	0	0	1	1	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	336	5	20	10	21	23	23	3	3	4	3	1	8	5	2	2	5	2	3	5	7	1	29	3	16	0	18	0	7	11	3	6	13	5	5	4	9	41	10					
